
[00:00:00.000 --> 00:00:04.200]  哥倫多後書的十二章基本上已經到達一個尾聲
[00:00:04.200 --> 00:00:08.000]  整卷哥倫多後書其中一個很重要的重點
[00:00:08.000 --> 00:00:12.520]  就是當時哥倫多教會被一群假仕途蒙蔽
[00:00:12.520 --> 00:00:16.720]  去將保羅那種仕途的身份
[00:00:16.720 --> 00:00:19.320]  去有一個很大的攻擊
[00:00:19.320 --> 00:00:22.520]  保羅在這裡可以說是被迫的
[00:00:22.520 --> 00:00:26.520]  去要將自己所擁有的經驗
[00:00:26.520 --> 00:00:29.520]  和那種能力去表露出來
[00:00:29.520 --> 00:00:31.320]  保羅在這裡說
[00:00:31.320 --> 00:00:33.720]  其實這種他也是迫不得已
[00:00:33.720 --> 00:00:36.520]  去將他這些所謂在人間來說
[00:00:36.520 --> 00:00:38.520]  那一種的能力
[00:00:38.520 --> 00:00:41.120]  那一種的優點去表露出來
[00:00:41.120 --> 00:00:42.320]  但是保羅他自覺
[00:00:42.320 --> 00:00:44.920]  其實這一種都是一種很愚蠢的表現
[00:00:44.920 --> 00:00:47.320]  他自己成為一個愚人
[00:00:47.320 --> 00:00:48.320]  為了什麼呢?
[00:00:48.320 --> 00:00:50.320]  就是去幫助教會的信徒
[00:00:50.320 --> 00:00:53.520]  去明白他自己那個仕途的身份
[00:00:53.520 --> 00:00:54.920]  在這一段經文裏面
[00:00:54.920 --> 00:00:58.720]  保羅去回復他自己那個仕途的權柄
[00:00:58.720 --> 00:01:00.720]  他再不以自己愚人
[00:01:00.720 --> 00:01:02.520]  愚蠢的人去自稱
[00:01:02.520 --> 00:01:03.920]  他在這裡說出
[00:01:03.920 --> 00:01:08.520]  他是耶穌基督所揀選的一個仕途
[00:01:08.520 --> 00:01:09.720]  在這一段經文裏面
[00:01:09.720 --> 00:01:10.720]  保羅到最後
[00:01:10.720 --> 00:01:12.520]  他對多倫多教會的信徒
[00:01:12.520 --> 00:01:15.920]  有一個很嚴厲的警告
[00:01:15.920 --> 00:01:16.720]  告訴他們
[00:01:16.720 --> 00:01:18.720]  如果你們再不悔改
[00:01:18.720 --> 00:01:20.720]  再不離開那一群的假仕途
[00:01:20.720 --> 00:01:25.520]  你們將要面對上帝一個很重的刑罰
[00:01:25.520 --> 00:01:27.520]  在這一段經文裏面
[00:01:27.520 --> 00:01:28.520]  保羅一開始
[00:01:28.520 --> 00:01:31.120]  的確可以說他自己是一個愚妄人
[00:01:31.120 --> 00:01:32.520]  我成了愚妄人
[00:01:32.520 --> 00:01:35.720]  都是一個被迫的情況下去做
