
[00:00:00.000 --> 00:00:03.000]  大家會看到在聖經裏面所提到的
[00:00:03.000 --> 00:00:05.000]  當主耶穌復活了之後
[00:00:05.000 --> 00:00:08.000]  他要交託給他的教會
[00:00:08.000 --> 00:00:11.000]  他的門徒一個重要的使命
[00:00:11.000 --> 00:00:14.000]  就是作主的見證
[00:00:14.000 --> 00:00:16.000]  我們是主的見證
[00:00:16.000 --> 00:00:18.000]  亦意味著教會今天在地上
[00:00:18.000 --> 00:00:23.000]  是代表著主耶穌來見證上帝
[00:00:23.000 --> 00:00:26.000]  因此在我們很多不同的學習裏面
[00:00:26.000 --> 00:00:28.000]  聖經裏面特別提及
[00:00:28.000 --> 00:00:31.000]  就是當主耶穌在他升天之前
[00:00:31.000 --> 00:00:34.000]  他頒佈大使命
[00:00:34.000 --> 00:00:37.000]  而大使命正是讓教會能夠達到
[00:00:37.000 --> 00:00:40.000]  作主見證的目標
[00:00:40.000 --> 00:00:43.000]  因為當我們去遵從大使命的時候
[00:00:43.000 --> 00:00:47.000]  我們才能夠完成主對我們的心意
[00:00:47.000 --> 00:00:51.000]  才能夠成為主耶穌的見證
[00:00:51.000 --> 00:00:53.000]  所以今天當我們在堂慶的時候
[00:00:53.000 --> 00:00:55.000]  我們特別再一次思想
[00:00:55.000 --> 00:00:59.000]  我們所領受主給我們的大使命
[00:00:59.000 --> 00:01:02.000]  大使命究竟包括甚麼內容?
[00:01:02.000 --> 00:01:05.000]  聖經在這裏的第十六節
[00:01:05.000 --> 00:01:07.000]  就一直講述
[00:01:07.000 --> 00:01:10.000]  聖經提到十一個門徒在加利利去
[00:01:10.000 --> 00:01:11.000]  往加利利去
[00:01:11.000 --> 00:01:13.000]  到了耶穌指定的山上
[00:01:13.000 --> 00:01:16.000]  他們看見耶穌就拜他
[00:01:16.000 --> 00:01:19.000]  雖然還有一些仍然有懷疑
[00:01:19.000 --> 00:01:22.000]  聖經提到當主耶穌復活之後
[00:01:22.000 --> 00:01:25.000]  他就透過天使向當時的一些姐妹
[00:01:25.000 --> 00:01:28.000]  一些婦女來顯現
