
[00:00:00.000 --> 00:00:02.360]  我們翻開聖經的羅馬書第一章
[00:00:02.360 --> 00:00:04.360]  我們剛才讀過的經文
[00:00:04.360 --> 00:00:07.280]  大家知道我們這個季度
[00:00:07.280 --> 00:00:11.240]  一路思想回聖經怎麼看很多時代的倫理
[00:00:11.240 --> 00:00:15.240]  基督徒在很多眾說紛紜裡面
[00:00:15.240 --> 00:00:16.920]  很多不同的看法裡面
[00:00:16.920 --> 00:00:19.240]  我們怎麼去了解
[00:00:19.240 --> 00:00:22.280]  究竟這位創造的主
[00:00:22.280 --> 00:00:25.880]  對人類對我們的心意是怎麼樣的
[00:00:25.880 --> 00:00:27.520]  或者我們看聖經之前
[00:00:27.520 --> 00:00:28.720]  我想也提一提
[00:00:29.080 --> 00:00:32.160]  在香港在去年有一件事情
[00:00:32.160 --> 00:00:35.200]  也令教會很多的基督徒很驚訝的
[00:00:35.200 --> 00:00:37.200]  就是去年6月份
[00:00:37.200 --> 00:00:40.520]  有一群二十幾位的牧師傳道
[00:00:40.520 --> 00:00:42.520]  他們一起有個研討會
[00:00:42.520 --> 00:00:45.920]  之後他們發表了一個聯合的聲明
[00:00:45.920 --> 00:00:48.400]  這個聲明令我們很驚訝
[00:00:48.400 --> 00:00:50.080]  因為他們聲明當中提及
[00:00:50.080 --> 00:00:54.040]  他說同性戀不是道德的問題
[00:00:54.040 --> 00:00:57.080]  同性戀不是罪
[00:00:58.200 --> 00:01:00.120]  反而他們覺得當教會
[00:01:00.120 --> 00:01:03.400]  去接納同性戀的行為的時候
[00:01:03.400 --> 00:01:06.640]  是教會一個歷史發展的里程碑
[00:01:06.640 --> 00:01:08.040]  是一個進步
[00:01:08.040 --> 00:01:11.880]  當我們聽到這些宣言的時候
[00:01:11.880 --> 00:01:12.960]  我們很驚訝
[00:01:12.960 --> 00:01:17.280]  因為按在福音信仰的教會
[00:01:17.280 --> 00:01:19.840]  一路來持守聖經信仰的教會
[00:01:19.840 --> 00:01:23.200]  清楚知道這個不是聖經的看法
[00:01:23.200 --> 00:01:26.760]  當然也不單止有些的基督徒是這樣看
[00:01:26.760 --> 00:01:29.360]  更加在社會當中你會聽到很多不同
[00:01:29.360 --> 00:01:32.760]  對同性戀的一種回應和看法
[00:01:32.760 --> 00:01:35.240]  大家會聽過香港有一個機構
[00:01:35.240 --> 00:01:37.080]  香港小童群益會
[00:01:37.080 --> 00:01:40.560]  是一個服務很多小朋友的組織
[00:01:40.560 --> 00:01:42.880]  他們所出版的刊物裡面
[00:01:42.880 --> 00:01:45.600]  其中有一本叫做《校園錦囊》
[00:01:45.600 --> 00:01:49.440]  在《校園錦囊》裡面有提到
[00:01:49.440 --> 00:01:52.840]  同性戀按他們所寫的
[00:01:53.320 --> 00:01:57.920]  同性戀是自然的和正常的性傾向
[00:01:57.920 --> 00:02:01.760]  當小朋友看到這些文字
[00:02:01.760 --> 00:02:03.120]  這些教導的時候
[00:02:03.120 --> 00:02:04.640]  他們也會很有疑問
[00:02:04.640 --> 00:02:06.240]  是不是真的自然呢?
[00:02:06.240 --> 00:02:08.160]  是不是真的正常呢?
[00:02:08.160 --> 00:02:10.600]  今天你和我
[00:02:10.600 --> 00:02:14.240]  當我們相信聖經是神所默示的
[00:02:14.240 --> 00:02:16.240]  也知道聖經所說
[00:02:16.240 --> 00:02:18.840]  創造天地的上帝告訴我們
[00:02:18.840 --> 00:02:22.440]  祂按自己的形象做男做女
[00:02:23.440 --> 00:02:26.520]  而這位上帝在聖經裡面告訴我們
[00:02:26.520 --> 00:02:29.040]  祂創造人類的計劃
[00:02:29.040 --> 00:02:32.080]  創造人的心意是怎樣
[00:02:32.080 --> 00:02:34.840]  我們就要小心問
[00:02:34.840 --> 00:02:36.400]  小心了解
[00:02:36.400 --> 00:02:39.720]  究竟聖經怎樣看同性戀的事情
[00:02:39.720 --> 00:02:43.160]  我們怎樣去明白去理解
[00:02:43.160 --> 00:02:45.760]  而其中聖經的羅馬書第一章
[00:02:45.760 --> 00:02:48.160]  就很清楚來說述這件事情
[00:02:48.160 --> 00:02:51.160]  所以大家翻看聖經的羅馬書第一章
[00:02:51.400 --> 00:02:53.080]  第二十四節
[00:02:53.080 --> 00:02:57.080]  在第一章的第二十四節
[00:02:57.080 --> 00:02:59.280]  一開始聖經就說「因此」
[00:02:59.280 --> 00:03:02.360]  所以我們知道這段經文和上文
[00:03:02.360 --> 00:03:03.560]  是很有關係
[00:03:03.560 --> 00:03:06.960]  所以我們先看看前面的第十六節
[00:03:06.960 --> 00:03:09.360]  前面一章第十六節
[00:03:09.360 --> 00:03:13.480]  聖經提到福音是神的大能
[00:03:13.480 --> 00:03:15.760]  要救一切相信的人
[00:03:15.760 --> 00:03:19.440]  一路講述到神賜給人的福音
[00:03:19.960 --> 00:03:21.760]  但十八節就轉移
[00:03:21.760 --> 00:03:23.960]  就講到一個現實
[00:03:23.960 --> 00:03:25.360]  第十八節
[00:03:25.360 --> 00:03:30.040]  神的震怒從天上向所有不乾不易的人
[00:03:30.040 --> 00:03:31.680]  顯露出來
[00:03:31.680 --> 00:03:33.560]  聖經提及
[00:03:33.560 --> 00:03:35.480]  沒錯上帝是慈愛的
[00:03:35.480 --> 00:03:36.840]  賜給人拯救
[00:03:36.840 --> 00:03:40.360]  但上帝同時是公義的審判者
[00:03:40.360 --> 00:03:43.920]  祂不會以有罪的為無罪
[00:03:43.920 --> 00:03:46.200]  因為聖潔的上帝
[00:03:46.200 --> 00:03:48.600]  是會作公義的審判的
[00:03:48.960 --> 00:03:50.080]  所以聖經提及
[00:03:50.080 --> 00:03:54.480]  神的震怒會臨到不乾不易的人的身上
[00:03:54.480 --> 00:03:56.760]  不知道大家有沒有留意
[00:03:56.760 --> 00:03:59.960]  上星期二有黑雨
[00:03:59.960 --> 00:04:04.200]  香港有幾年沒有試過黑雨
[00:04:04.200 --> 00:04:07.480]  剛好那段時間我在一個公園
[00:04:07.480 --> 00:04:10.120]  突然風雲大轉
[00:04:10.120 --> 00:04:15.080]  很大的雨水傾盆下來
[00:04:15.080 --> 00:04:17.640]  我在一個地方避雨的時候
[00:04:17.640 --> 00:04:22.480]  就留心到那時候在天空有很大的雷聲
[00:04:22.480 --> 00:04:25.840]  然後我看到小件的閃電
[00:04:25.840 --> 00:04:30.920]  很清楚很強的電光在上面照射下來
[00:04:30.920 --> 00:04:32.160]  我也嚇一嚇
[00:04:32.160 --> 00:04:36.360]  然後聽見很強大的雷轟的聲音
[00:04:36.360 --> 00:04:39.560]  在當時一個這樣的情景
[00:04:39.560 --> 00:04:43.080]  我突然間也想起神的震怒
[00:04:44.440 --> 00:04:46.480]  聖經提及到這位上帝的公義
[00:04:46.480 --> 00:04:48.000]  一種表達方式
[00:04:48.000 --> 00:04:52.160]  是用震怒來描述神自己的審判
[00:04:52.160 --> 00:04:54.680]  聖經提到神的審判
[00:04:54.680 --> 00:04:59.240]  神的震怒從天上向所有不乾不易的人
[00:04:59.240 --> 00:05:01.080]  顯露出來
[00:05:01.080 --> 00:05:02.440]  是為什麼?
[00:05:02.440 --> 00:05:04.800]  接著的二十一節就說
[00:05:04.800 --> 00:05:06.320]  後面二十一節
[00:05:06.320 --> 00:05:10.600]  因為他們雖然知道神
[00:05:10.600 --> 00:05:12.560]  從自然界的各方面
[00:05:12.560 --> 00:05:14.160]  人會知道有神
[00:05:14.560 --> 00:05:16.880]  但卻不尊祂為神
[00:05:16.880 --> 00:05:18.560]  也不感謝祂
[00:05:18.560 --> 00:05:21.520]  反而心思變為虛妄
