
[00:00:00.000 --> 00:00:04.400]  大家知道我們七月開始有一個新的崇拜講道的主題
[00:00:04.400 --> 00:00:06.800]  大家記不記得?
[00:00:06.800 --> 00:00:10.400]  敬虔生命是什麼?
[00:00:10.400 --> 00:00:12.400]  當我們講到敬虔生命的時候
[00:00:12.400 --> 00:00:14.800]  不單單在密室裡面
[00:00:14.800 --> 00:00:17.600]  我們和神有很親密的關係
[00:00:17.600 --> 00:00:19.200]  同時在講的是
[00:00:19.200 --> 00:00:23.600]  敬虔生命是在我們生活的言語、行為
[00:00:23.600 --> 00:00:28.400]  我們與人、與社會的關係當中去表達出來的
[00:00:28.400 --> 00:00:31.800]  因此敬虔的生命是可以看得見的
[00:00:31.800 --> 00:00:36.600]  是在你的行為當中可以見到、可以明白的
[00:00:36.600 --> 00:00:38.600]  你知道我們講到這個季度裡面
[00:00:38.600 --> 00:00:40.400]  敬虔生命是什麼的時候
[00:00:40.400 --> 00:00:44.200]  我們會講到敬虔是愛鄰舍
[00:00:44.200 --> 00:00:46.400]  是愛窮人
[00:00:46.400 --> 00:00:50.800]  又會提到敬虔生命是一種不懼怕權勢
[00:00:50.800 --> 00:00:54.000]  願意去學習、去輔助別人
[00:00:54.000 --> 00:00:56.800]  去釋放那些被捆綁的人
[00:00:56.800 --> 00:01:01.400]  這些一切都是一種敬虔生命的表現
[00:01:01.400 --> 00:01:03.200]  而我們今天所講到的就是
[00:01:03.200 --> 00:01:05.000]  愛仇敵
[00:01:05.000 --> 00:01:09.600]  也都更加同時是敬虔生命的一種表現
[00:01:09.600 --> 00:01:13.200]  怎能夠在一種好像很困難的處境
[00:01:13.200 --> 00:01:15.400]  而堅持地去愛人
[00:01:15.400 --> 00:01:18.000]  這個是聖經今天對我們的教導
[00:01:18.000 --> 00:01:19.400]  我們一起來掀開聖經
[00:01:19.400 --> 00:01:21.200]  看神給我們的說話
[00:01:21.200 --> 00:01:25.000]  剛才讀過的路加福音第六章的經文
[00:01:25.800 --> 00:01:30.200]  第六章我們首先所看到的就是
[00:01:30.200 --> 00:01:32.200]  聖經告訴我們知道
[00:01:32.200 --> 00:01:36.800]  愛仇敵是一種生命的選擇
[00:01:36.800 --> 00:01:39.800]  是人一種有意識的選擇
[00:01:39.800 --> 00:01:43.400]  在六章第二十七節
[00:01:43.400 --> 00:01:44.200]  主耶穌說
[00:01:44.200 --> 00:01:46.800]  「只是我告訴你們聽道的人
[00:01:46.800 --> 00:01:49.200]  當愛你們的仇敵
[00:01:49.200 --> 00:01:52.800]  善待恨你們的人」
[00:01:52.800 --> 00:01:54.200]  之前的經文提到的
[00:01:54.200 --> 00:01:55.200]  大家會熟悉的就是
[00:01:55.200 --> 00:01:59.600]  登山寶訓主耶穌說到福和禍
[00:01:59.600 --> 00:02:01.600]  馬太福音說到八福
[00:02:01.600 --> 00:02:03.600]  但路加福音不單說到福
[00:02:03.600 --> 00:02:05.200]  也都說到禍
[00:02:05.200 --> 00:02:07.200]  有四種情況要面對著
[00:02:07.200 --> 00:02:11.600]  將來的審判和將來的損失
[00:02:11.600 --> 00:02:14.200]  在當中聖經提及一件重要的事情
[00:02:14.200 --> 00:02:17.800]  就是在永恆的角度看
[00:02:17.800 --> 00:02:19.000]  有很多事情
[00:02:19.000 --> 00:02:23.600]  不可以單從世界的一個常規來理解
[00:02:23.600 --> 00:02:24.800]  因此馬太福音第五章
[00:02:24.800 --> 00:02:27.200]  提及到這段經文時會說
[00:02:27.200 --> 00:02:29.800]  「你們聽見有人說
[00:02:29.800 --> 00:02:34.200]  以眼還眼 以牙還牙
[00:02:34.200 --> 00:02:38.800]  這是一般世界上人的常規做法
[00:02:38.800 --> 00:02:40.400]  只是主耶穌說
[00:02:40.400 --> 00:02:42.800]  只是我告訴你們」
[00:02:42.800 --> 00:02:44.000]  就是這句話
[00:02:44.000 --> 00:02:46.600]  「當愛你們的仇敵
[00:02:46.600 --> 00:02:50.400]  善待恨你們的人」
[00:02:50.400 --> 00:02:51.400]  這裡所說的愛
[00:02:51.400 --> 00:02:55.800]  並不是說友情之間的愛
[00:02:55.800 --> 00:02:59.200]  也不是說男女感情的愛
[00:02:59.200 --> 00:03:01.800]  這兩方面形容不同的字眼
[00:03:01.800 --> 00:03:03.600]  但這裡所說的字眼
[00:03:03.600 --> 00:03:05.800]  大家會熟悉的阿加皮
[00:03:05.800 --> 00:03:09.600]  是說屬靈的 屬神的愛
[00:03:09.600 --> 00:03:11.200]  這種愛是說
[00:03:11.200 --> 00:03:14.800]  去愛一些不值得愛的人
[00:03:14.800 --> 00:03:18.200]  關鍵不是在對象
[00:03:18.200 --> 00:03:21.200]  不在乎他們是可愛或不可愛
[00:03:21.200 --> 00:03:23.800]  只是在於愛的人
[00:03:23.800 --> 00:03:27.200]  他的生命的本質是愛
[00:03:27.200 --> 00:03:29.400]  因此這種不變的本質
[00:03:29.400 --> 00:03:31.600]  無論遇到任何的處境
[00:03:31.600 --> 00:03:35.200]  仍然堅持著去愛對方
[00:03:35.200 --> 00:03:36.400]  這就是聖經所說的
[00:03:36.400 --> 00:03:39.800]  這種阿加皮屬神的愛
[00:03:39.800 --> 00:03:42.800]  按照他的本質選擇
[00:03:42.800 --> 00:03:44.200]  無論是什麼處境
[00:03:44.200 --> 00:03:47.200]  仍然堅持著去愛
[00:03:47.200 --> 00:03:48.200]  聖經說
[00:03:48.200 --> 00:03:50.600]  要愛你們的仇敵
[00:03:50.600 --> 00:03:55.000]  去善待那些恨你們的人
[00:03:55.000 --> 00:03:56.600]  而聖經在說的時候說
[00:03:56.600 --> 00:03:57.800]  就在你們的
[00:03:57.800 --> 00:03:59.600]  要為他們祝福
[00:03:59.600 --> 00:04:01.000]  凌辱你們的
[00:04:01.000 --> 00:04:03.200]  要為他們禱告
[00:04:03.200 --> 00:04:05.800]  不單是告訴我們要忍耐著
[00:04:05.800 --> 00:04:08.600]  而是主動地去祝福
[00:04:08.600 --> 00:04:11.800]  去代禱
[00:04:11.800 --> 00:04:13.800]  我記得以前我和弟兄姐妹提及過
[00:04:13.800 --> 00:04:16.200]  一位我認識的弟兄
[00:04:16.200 --> 00:04:19.600]  他曾經得到香港十大傑出青年獎
[00:04:19.600 --> 00:04:23.600]  但過去他曾經是黑社會的人物
[00:04:23.600 --> 00:04:24.600]  後來當他信主之後
[00:04:24.600 --> 00:04:26.200]  生命有很大的改變
[00:04:26.200 --> 00:04:31.200]  後來令到很多社會人士對他的獎勵鼓勵
[00:04:31.200 --> 00:04:33.400]  有一次他和他媽媽去看醫生
[00:04:33.400 --> 00:04:35.800]  是他過去從未做過的事情
[00:04:35.800 --> 00:04:36.800]  他和他媽媽在醫院
[00:04:36.800 --> 00:04:39.000]  在一個診所裏面的時候
[00:04:39.000 --> 00:04:41.600]  突然在診所等待的時間
[00:04:41.600 --> 00:04:45.000]  見到一位男士進來診所
[00:04:45.000 --> 00:04:46.600]  一見到他的時候
[00:04:46.600 --> 00:04:48.600]  這位弟兄他就說
