
[00:00:00.000 --> 00:00:02.920]  今天和大家一起來思想彼得前書
[00:00:02.920 --> 00:00:05.720]  剛才我們讀的那段聖經
[00:00:05.720 --> 00:00:07.760]  我想大家如果有聖經的話
[00:00:07.760 --> 00:00:09.360]  你都可以繼續打開
[00:00:09.360 --> 00:00:11.800]  我們看回彼得前書的第一章
[00:00:11.800 --> 00:00:14.280]  今天我們特別想看13節
[00:00:14.280 --> 00:00:16.640]  一直到第二章的第三節
[00:00:16.640 --> 00:00:20.000]  這段聖經究竟有什麼重要呢?
[00:00:20.000 --> 00:00:21.840]  如果你是過去
[00:00:21.840 --> 00:00:25.400]  又一直在全福堂崇拜的話
[00:00:25.400 --> 00:00:26.440]  你都會留意
[00:00:26.440 --> 00:00:29.520]  其實我都講了幾次關於彼得前書
[00:00:29.520 --> 00:00:33.440]  彼得前書也是我最近自己一直看聖經
[00:00:33.440 --> 00:00:38.360]  特別提醒自己要閱讀的經卷
[00:00:38.360 --> 00:00:43.160]  今天的講章就在大家的程序單
[00:00:43.160 --> 00:00:46.840]  如果沒有的話都不要緊的
[00:00:46.840 --> 00:00:51.120]  主要我是有些大綱
[00:00:51.120 --> 00:00:56.360]  為什麼要讀彼得前書呢?
[00:00:56.360 --> 00:01:01.360]  因為我經常覺得今天我們所面對的信徒的挑戰
[00:01:01.360 --> 00:01:04.320]  今天你和我所面對的壓力
[00:01:04.320 --> 00:01:06.840]  好像2000年前
[00:01:06.840 --> 00:01:11.440]  當彼得前書給當時的會友的時候
[00:01:11.440 --> 00:01:14.200]  那些基督徒同樣面對的情況
[00:01:14.200 --> 00:01:16.640]  雖然是槍殺了2000年
[00:01:16.640 --> 00:01:18.280]  但有很多是相同的
[00:01:18.280 --> 00:01:20.040]  剛才讀的時候大家可能留意
[00:01:20.040 --> 00:01:22.400]  譬如第六節講到和第七節
[00:01:22.400 --> 00:01:25.280]  講到好像火一樣的試煉
[00:01:25.280 --> 00:01:30.600]  使我們有四方八面來的攻擊
[00:01:30.600 --> 00:01:33.880]  我相信當我們讀到的時候
[00:01:33.880 --> 00:01:36.600]  心裏面都有這樣的功名
[00:01:36.600 --> 00:01:43.000]  是用百般的試煉這個說話
[00:01:43.000 --> 00:01:46.880]  如果今天你和我問
[00:01:46.880 --> 00:01:53.600]  究竟在面對什麼生活上的壓力和挑戰
[00:01:53.600 --> 00:01:55.320]  和難處
[00:01:55.320 --> 00:01:57.200]  什麼叫百般的試煉呢?
[00:01:57.200 --> 00:02:00.000]  大概我們可以將它看到有四方面
[00:02:00.000 --> 00:02:03.080]  今天這段聖經特別要提出來
[00:02:03.080 --> 00:02:05.000]  要我們一起去面對
[00:02:05.000 --> 00:02:08.800]  也是提醒我們怎樣去面對的四方面
[00:02:08.800 --> 00:02:11.280]  所以今天我列了有四樣東西
[00:02:11.280 --> 00:02:13.280]  這段聖經裏面提到四樣東西
[00:02:13.280 --> 00:02:16.160]  也是我們真的不容易面對的
[00:02:16.160 --> 00:02:18.880]  首先第一樣我寫在大綱裏面
[00:02:18.880 --> 00:02:20.560]  就是我們面對前路
[00:02:20.560 --> 00:02:22.720]  我們有些覺得茫茫無
[00:02:22.720 --> 00:02:25.160]  可以說是一種茫茫前路
[00:02:25.160 --> 00:02:27.040]  我們不知道怎樣走上去
[00:02:27.040 --> 00:02:28.840]  真的我們面對前面的路
[00:02:28.840 --> 00:02:30.320]  有時候我們不知道怎樣走
[00:02:30.320 --> 00:02:32.040]  很困難
[00:02:32.040 --> 00:02:34.440]  從個人自己所面對的
[00:02:34.440 --> 00:02:35.680]  社會面對的
[00:02:35.680 --> 00:02:36.920]  整個世界
[00:02:36.920 --> 00:02:38.440]  我們都不知道怎樣去走
[00:02:38.440 --> 00:02:42.440]  前面好像很難走下去
[00:02:42.440 --> 00:02:44.040]  第二個的挑戰
[00:02:44.040 --> 00:02:45.720]  就是我們周圍
[00:02:45.720 --> 00:02:50.000]  這個社會充滿了很多的罪惡
[00:02:50.000 --> 00:02:52.160]  很多的誘惑
[00:02:52.160 --> 00:02:55.240]  讓我們的心都受到很大的挑戰
[00:02:55.240 --> 00:02:57.720]  我們怎樣可以過一個聖潔的生活
[00:02:57.720 --> 00:03:00.040]  我們知道需要過一個聖潔的生活
[00:03:00.040 --> 00:03:02.240]  但我們發覺周圍的力量很厲害
[00:03:02.240 --> 00:03:03.360]  不斷的誘惑
[00:03:03.360 --> 00:03:05.160]  引誘我們
[00:03:05.160 --> 00:03:06.480]  我們不單止看前面
[00:03:06.480 --> 00:03:07.960]  我們看不到前路
[00:03:07.960 --> 00:03:10.240]  我們周圍有很多的壓力
[00:03:10.240 --> 00:03:11.840]  看回我們內心
[00:03:11.840 --> 00:03:13.760]  我們發覺我們很疲倦
[00:03:13.760 --> 00:03:15.520]  好像我們有心無力
[00:03:15.520 --> 00:03:17.040]  我們都很想去面對
[00:03:17.040 --> 00:03:18.760]  我們都很想繼續走下去
[00:03:18.760 --> 00:03:21.240]  但我們發覺我們自己都很累
[00:03:21.240 --> 00:03:22.960]  我們好像很無力
[00:03:22.960 --> 00:03:24.160]  第四樣
[00:03:24.160 --> 00:03:26.760]  我們相信作為基督徒
[00:03:26.760 --> 00:03:28.080]  我們在教會裏面
[00:03:28.080 --> 00:03:29.680]  能夠有一個好的團契
[00:03:29.680 --> 00:03:30.960]  互相的鼓勵
[00:03:30.960 --> 00:03:34.720]  互相的安慰
[00:03:34.720 --> 00:03:36.600]  一起走這條路的時候
[00:03:36.600 --> 00:03:38.480]  有時甚至禮分禮拜堂
[00:03:38.480 --> 00:03:39.880]  在教會裏面
[00:03:39.880 --> 00:03:42.080]  有令我們很失望的地方
[00:03:42.080 --> 00:03:44.960]  有令我們難過的時刻
[00:03:44.960 --> 00:03:49.240]  究竟我們這條路怎樣繼續走下去呢?
[00:03:49.240 --> 00:03:51.600]  我相信剛才我所說的話
[00:03:51.600 --> 00:03:53.840]  給你心裏有些共鳴的話
[00:03:53.840 --> 00:03:58.080]  正是今天彼得在這段聖經裏面
[00:03:58.080 --> 00:04:01.000]  要回答的四個方面
[00:04:01.000 --> 00:04:03.240]  我們特別留心聽
[00:04:03.240 --> 00:04:06.520]  看神的話究竟怎樣幫我們回答
[00:04:06.520 --> 00:04:08.760]  我們面對著這些難處
[00:04:08.760 --> 00:04:11.280]  雖然是二千年前的作品
[00:04:11.280 --> 00:04:15.080]  但神藉著彼得所說的神的話
[00:04:15.080 --> 00:04:17.840]  今天都和你和我一起來說
[00:04:17.840 --> 00:04:20.320]  我們一起來看第一方面
[00:04:20.320 --> 00:04:27.160]  怎樣可以勇闖前面這條茫茫的前路呢?
[00:04:27.160 --> 00:04:29.480]  特別我想和大家留意彼得
[00:04:29.480 --> 00:04:32.880]  在第一章的第十三和十四節
[00:04:32.880 --> 00:04:35.120]  這兩節的聖經
[00:04:35.120 --> 00:04:36.920]  這兩節的聖經說什麼呢?
[00:04:36.920 --> 00:04:37.960]  剛才我們讀的時候
[00:04:37.960 --> 00:04:42.600]  他就說你們要約束你們自己的心
[00:04:42.600 --> 00:04:45.040]  原文的意思就更加好的
[00:04:45.040 --> 00:04:46.680]  因為其實譯得很好
[00:04:46.680 --> 00:04:54.320]  就說是要束上心中的腰帶
[00:04:54.320 --> 00:04:55.840]  謹慎自守
[00:04:55.840 --> 00:04:57.680]  專心留心這幾個字
[00:04:57.680 --> 00:05:00.200]  盼望向前面
[00:05:00.200 --> 00:05:02.680]  看耶穌基督再回來的時候
[00:05:02.680 --> 00:05:05.720]  我們將來永恆裏面見到耶穌的時候
[00:05:05.720 --> 00:05:09.720]  祂為我們所預備的禮物和恩典
[00:05:09.720 --> 00:05:11.480]  第十四節
[00:05:11.480 --> 00:05:14.480]  祂說既然你們要做順命的兒女
[00:05:14.480 --> 00:05:18.520]  就不要效法從前蒙昧無知的時候
[00:05:18.520 --> 00:05:20.040]  那種放縱私慾的樣子
[00:05:20.040 --> 00:05:22.920]  前面有從前
[00:05:22.920 --> 00:05:24.120]  時間上
[00:05:24.120 --> 00:05:25.720]  剛才我們說我們看向前的時候
[00:05:25.720 --> 00:05:27.080]  好像很難捱的時候
