
[00:00:00.000 --> 00:00:04.000]  多謝各位的禱告
[00:00:04.000 --> 00:00:08.000]  感覺到這一次的培靈會
[00:00:08.000 --> 00:00:12.000]  完全是有禱告把我們拖住了
[00:00:12.000 --> 00:00:16.000]  感覺到培靈會每一次都是要直接禱告
[00:00:16.000 --> 00:00:18.000]  來求神托住
[00:00:18.000 --> 00:00:23.000]  我們這一次的講論是關於主耶穌的事情
[00:00:23.000 --> 00:00:26.000]  我們這一次的講論是關於主耶穌的事情
[00:00:26.000 --> 00:00:34.000]  昨天我們開始是在創造世界宇宙萬物一線的耶穌
[00:00:34.000 --> 00:00:37.000]  昨天我們講到創造宇宙萬物
[00:00:37.000 --> 00:00:39.000]  這個世界以前的耶穌基督
[00:00:39.000 --> 00:00:43.000]  我們今天是講舊約裏面的基督
[00:00:43.000 --> 00:00:46.000]  今天我們要講到舊約裏面的基督
[00:00:46.000 --> 00:00:49.000]  我們沒有時間詳細地講這個題目
[00:00:49.000 --> 00:00:52.000]  我們沒有時間很詳細地講這個題目
[00:00:52.000 --> 00:00:56.000]  短短的期間我們不過對一個鳥竿而算了
[00:00:56.000 --> 00:00:58.000]  我們在很短的時間裏面
[00:00:58.000 --> 00:01:00.000]  只有一個鳥籃式的,讓您看一下
[00:01:00.000 --> 00:01:03.000]  在米加書的五章第二節
[00:01:03.000 --> 00:01:06.000]  在米加書的第五章第二節
[00:01:06.000 --> 00:01:10.000]  講到主耶穌祂太初就有了祂
[00:01:10.000 --> 00:01:14.000]  這裡講到主耶穌從太初就已經有了祂了
[00:01:14.000 --> 00:01:17.000]  祂的根源這兩個字
[00:01:17.000 --> 00:01:19.000]  祂的根源這兩個字呢
[00:01:19.000 --> 00:01:22.000]  也可以說祂的出現
[00:01:22.000 --> 00:01:24.000]  也可以說祂的出現
[00:01:24.000 --> 00:01:28.000]  祂出來的次數都是從永遠就有了
[00:01:28.000 --> 00:01:32.000]  祂出來的這件事就是從永遠都已經有了
[00:01:32.000 --> 00:01:38.000]  所以在舊約裏面一次又一次地可以看見象徵主耶穌的事情
[00:01:38.000 --> 00:01:42.000]  所以在舊約裏面我們可以一次又一次地看見
[00:01:42.000 --> 00:01:44.000]  關於象徵主耶穌的事情
[00:01:44.000 --> 00:01:47.000]  也有很多地方是預表主耶穌
[00:01:47.000 --> 00:01:50.000]  也有很多地方是預表主耶穌的
[00:01:50.000 --> 00:01:53.000]  好像主耶穌的十字架
[00:01:53.000 --> 00:01:58.000]  一邊有嬰兒,有光照的嬰兒
[00:01:58.000 --> 00:02:02.000]  好像一個十字架,一邊有一個影
[00:02:02.000 --> 00:02:05.000]  在祂沒有來的時候就有了祂的嬰兒
[00:02:05.000 --> 00:02:08.000]  在祂沒有來之前已經有了影兒了
[00:02:08.000 --> 00:02:15.000]  那麼主耶穌是特別地生在這個世界
[00:02:15.000 --> 00:02:17.000]  要為我們流血捨命
[00:02:17.000 --> 00:02:22.000]  主耶穌生在這個世界特別是為我們流血捨命
[00:02:22.000 --> 00:02:27.000]  祂是唯一的一個人生在世界是要死的
[00:02:27.000 --> 00:02:32.000]  祂是唯一的人,祂生在這個世界目的就是為了要死的
[00:02:32.000 --> 00:02:37.000]  我們人,其他的人都是為了活著的
[00:02:37.000 --> 00:02:40.000]  我們其他的人都是為了要活著
[00:02:40.000 --> 00:02:43.000]  那麼我們要明白聖經
[00:02:43.000 --> 00:02:45.000]  我們要明白聖經
[00:02:45.000 --> 00:02:48.000]  要找一個合適的鑰匙
[00:02:48.000 --> 00:02:50.000]  要找一個合適的鑰匙
[00:02:50.000 --> 00:02:53.000]  那麼這個鑰匙就是主耶穌
[00:02:53.000 --> 00:02:55.000]  這個鑰匙就是主耶穌了
[00:02:55.000 --> 00:02:58.000]  你在整個的聖經你要找主耶穌
[00:02:58.000 --> 00:03:02.000]  你在整本聖經裏面要尋找主耶穌
[00:03:02.000 --> 00:03:05.000]  祂能給你打開聖經裏面的真理
[00:03:05.000 --> 00:03:08.000]  祂能夠為你打開聖經裏面的真理
[00:03:08.000 --> 00:03:13.000]  因為祂就是聖經裏面的總體
[00:03:13.000 --> 00:03:16.000]  因為祂就是聖經裏面的總體
[00:03:16.000 --> 00:03:18.000]  也有聖靈的光照
[00:03:18.000 --> 00:03:20.000]  也有聖靈的光照
[00:03:20.000 --> 00:03:22.000]  能夠光照我們的心
[00:03:22.000 --> 00:03:24.000]  能夠光照我們的心
[00:03:24.000 --> 00:03:29.000]  主耶穌親自給我們解釋聖經
[00:03:29.000 --> 00:03:32.000]  主耶穌自己有親自為我們解釋聖經
[00:03:32.000 --> 00:03:33.000]  路加福音二十四章
[00:03:33.000 --> 00:03:35.000]  在路加福音的二十四章
[00:03:35.000 --> 00:03:37.000]  二十五到二十七章
[00:03:37.000 --> 00:03:39.000]  二十五到二十七章
[00:03:39.000 --> 00:03:43.000]  當主耶穌這樣給他們解釋自己的事情
[00:03:43.000 --> 00:03:46.000]  當主耶穌跟他們這樣解釋自己的事情
[00:03:46.000 --> 00:03:48.000]  他們心裏火熱起來了
[00:03:48.000 --> 00:03:51.000]  他們的心裏面火熱起來了
[00:03:51.000 --> 00:03:55.000]  以後我們知道聖靈來了
[00:03:55.000 --> 00:03:59.000]  聖靈也將許多關於主耶穌的事情
[00:03:59.000 --> 00:04:01.000]  七十幾種上吐
[00:04:01.000 --> 00:04:03.000]  聖靈又將許多關於主耶穌的事
[00:04:03.000 --> 00:04:05.000]  啟示眾聖徒
[00:04:05.000 --> 00:04:07.000]  今天我們落落地提一點
[00:04:07.000 --> 00:04:09.000]  在舊約裏面的耶穌
[00:04:09.000 --> 00:04:11.000]  今天我們略略提一下
[00:04:11.000 --> 00:04:13.000]  關於舊約裏面的耶穌
[00:04:13.000 --> 00:04:19.000]  創世記第三章十五節
[00:04:19.000 --> 00:04:22.000]  這就是預言將來主耶穌要來
[00:04:22.000 --> 00:04:25.000]  這裏是預言到主耶穌將來要來
[00:04:25.000 --> 00:04:29.000]  還有戈隱亞伯他們的獻祭
[00:04:29.000 --> 00:04:32.000]  還有戈隱亞伯他們的獻祭
[00:04:32.000 --> 00:04:36.000]  為什麼神約納亞伯的祭呢?
[00:04:36.000 --> 00:04:38.000]  為什麼神約納亞伯的祭?
[00:04:38.000 --> 00:04:42.000]  因為亞伯獻了透神的羔羊
[00:04:42.000 --> 00:04:46.000]  因為亞伯獻上投生的羔羊
[00:04:46.000 --> 00:04:48.000]  這是預表主耶穌
[00:04:48.000 --> 00:04:50.000]  這個是預表主耶穌的
[00:04:50.000 --> 00:04:54.000]  這樣我們從七章從創世記開始
[00:04:54.000 --> 00:04:58.000]  人一犯了罪就預言有耶穌來
[00:04:58.000 --> 00:05:02.000]  我們看見在創世記裏面
[00:05:02.000 --> 00:05:04.000]  人一犯罪就預言到耶穌要來
[00:05:04.000 --> 00:05:13.000]  人犯了罪神就懲罰這個世界
[00:05:13.000 --> 00:05:18.000]  洪水氾濫全世界
[00:05:18.000 --> 00:05:24.000]  神要約納預備一個方舟
[00:05:24.000 --> 00:05:27.000]  我們知道主耶穌做了我們的方舟
[00:05:27.000 --> 00:05:31.000]  我們進到祂裏面
[00:05:31.000 --> 00:05:36.000]  讓這個世界的罪惡審判再多
[00:05:36.000 --> 00:05:42.000]  那麼我們還能夠浮在天上
[00:05:42.000 --> 00:05:48.000]  我們可以平安無事地逃脫一切的審判
[00:05:48.000 --> 00:05:56.000]  在聖經記載伊瑟列人出亞幾國的時候
[00:05:56.000 --> 00:06:03.000]  神懲罰了亞幾國的長子
