
[00:00:00.000 --> 00:00:06.000]  在上星期我有機會與一些新受浸的弟兄姊妹坐下來聊天
[00:00:06.000 --> 00:00:10.000]  我記得他們講述他們信主的一些經過
[00:00:10.000 --> 00:00:12.000]  其中一位的姊妹分享到
[00:00:12.000 --> 00:00:17.000]  她說她最初信主的時候是因為很多基督徒朋友的緣故
[00:00:17.000 --> 00:00:20.000]  當我們再聽的時候她解釋
[00:00:20.000 --> 00:00:22.000]  就是她遇到一位朋友
[00:00:22.000 --> 00:00:24.000]  因為朋友很關心她
[00:00:24.000 --> 00:00:28.000]  很多地方很樂意地幫助她
[00:00:28.000 --> 00:00:34.000]  甚至不介意犧牲自己的時間精神去幫助她某些事情
[00:00:34.000 --> 00:00:36.000]  她感到很感動
[00:00:36.000 --> 00:00:38.000]  開始留意這位朋友
[00:00:38.000 --> 00:00:41.000]  然後她留意到原來她是一個基督徒
[00:00:41.000 --> 00:00:45.000]  當她自己靜下再想一想的時候
[00:00:45.000 --> 00:00:47.000]  過去她曾經認識不少的朋友
[00:00:47.000 --> 00:00:53.000]  其中有幾位都是她特別欣賞羨慕的一些人
[00:00:53.000 --> 00:00:57.000]  一想的時候發現這幾位原來都同時是基督徒
[00:00:57.000 --> 00:01:02.000]  突然她發覺基督徒的生命為什麼這麼特別
[00:01:02.000 --> 00:01:06.000]  那時候開始她對信仰有一種渴望
[00:01:06.000 --> 00:01:09.000]  然後她後來來到我們教會
[00:01:09.000 --> 00:01:12.000]  然後在這裡信主然後受洗
[00:01:12.000 --> 00:01:15.000]  聽到她分享的時候就體會到
[00:01:15.000 --> 00:01:17.000]  基督徒生命的見證
[00:01:17.000 --> 00:01:21.000]  是可以帶來很重要的影響
[00:01:21.000 --> 00:01:25.000]  可以吸引人到神的面前
[00:01:25.000 --> 00:01:28.000]  而很多基督徒在過去都體會到
[00:01:28.000 --> 00:01:31.000]  見到人因為自己能夠信主
[00:01:31.000 --> 00:01:34.000]  是一件很快樂很感恩的事情
[00:01:34.000 --> 00:01:38.000]  當然我們會見到很多基督徒人生裡
[00:01:38.000 --> 00:01:42.000]  他們的確是付上代價來作主的見證
[00:01:42.000 --> 00:01:44.000]  而我們看到保羅的人生
[00:01:44.000 --> 00:01:49.000]  就看到他很願意甚至放棄很多自己的權利
[00:01:49.000 --> 00:01:51.000]  自己有的利益
[00:01:51.000 --> 00:01:53.000]  為了一個目的
[00:01:53.000 --> 00:01:57.000]  就是叫人與他同得福音的好處
[00:01:57.000 --> 00:02:00.000]  這個目的成為了他人生的目標
[00:02:00.000 --> 00:02:02.000]  亦都是今天你和我
[00:02:02.000 --> 00:02:05.000]  我們有的一個目標
[00:02:05.000 --> 00:02:06.000]  大家看下去的時候
[00:02:06.000 --> 00:02:09.000]  聖經第九章一開始就提到
[00:02:09.000 --> 00:02:12.000]  保羅的心智是要清除一切
[00:02:12.000 --> 00:02:15.000]  叫別人信主的障礙
[00:02:15.000 --> 00:02:18.000]  任何的障礙他要去清除
[00:02:18.000 --> 00:02:19.000]  在九章一開始的時候
[00:02:19.000 --> 00:02:22.000]  大家會留意到他講述到一件事情
[00:02:22.000 --> 00:02:25.000]  透過講述到舊約和主耶穌的教訓
[00:02:25.000 --> 00:02:28.000]  講述到人傳福音的時候
[00:02:28.000 --> 00:02:31.000]  是可以靠著福音來維生的
[00:02:31.000 --> 00:02:36.000]  講到人在福音上付上很多的精神時間
[00:02:36.000 --> 00:02:38.000]  他亦都可以透過福音
[00:02:38.000 --> 00:02:41.000]  得到他所需要的供養
[00:02:41.000 --> 00:02:46.000]  但是在第十二節下半句就這樣說
[00:02:46.000 --> 00:02:50.000]  然而我們沒有用過這種權利
[00:02:50.000 --> 00:02:52.000]  反而凡事容忍
[00:02:52.000 --> 00:02:57.000]  免得我們難阻了基督的福音
[00:02:57.000 --> 00:03:00.000]  保羅表示沒錯他有這種權利
[00:03:00.000 --> 00:03:04.000]  他是可以有權這樣做
[00:03:04.000 --> 00:03:07.000]  但是他放棄這種權利
[00:03:07.000 --> 00:03:09.000]  特別在今天我們香港的社會
[00:03:09.000 --> 00:03:11.000]  你知道很多人都在說
[00:03:11.000 --> 00:03:13.000]  這是我的權利
[00:03:13.000 --> 00:03:16.000]  沒錯這是屬於某些人的權利
[00:03:16.000 --> 00:03:19.000]  但是保羅講述的
[00:03:19.000 --> 00:03:20.000]  就算是權利
[00:03:20.000 --> 00:03:24.000]  他都甘願意放棄
[00:03:24.000 --> 00:03:28.000]  不願意去賺取這種金錢
[00:03:28.000 --> 00:03:31.000]  來維持自己的生活
[00:03:31.000 --> 00:03:33.000]  原因正如聖經所說
[00:03:33.000 --> 00:03:36.000]  是他要凡事容忍
[00:03:36.000 --> 00:03:40.000]  免得我們難阻了基督的福音
[00:03:40.000 --> 00:03:41.000]  他的目的就是
[00:03:41.000 --> 00:03:43.000]  不願意人誤會了他
[00:03:43.000 --> 00:03:46.000]  是為錢來傳福音
[00:03:46.000 --> 00:03:48.000]  亦都不因為沒有錢
[00:03:48.000 --> 00:03:51.000]  所以不能夠聽到福音
[00:03:51.000 --> 00:03:53.000]  不願意有任何障礙
[00:03:53.000 --> 00:03:56.000]  以致人不能夠得到福音
[00:03:56.000 --> 00:03:57.000]  當然當我們說到障礙的時候
[00:03:57.000 --> 00:03:58.000]  我們都會想到
[00:03:58.000 --> 00:04:01.000]  不單單是金錢的因素
[00:04:01.000 --> 00:04:03.000]  有很多其他的原因
[00:04:03.000 --> 00:04:06.000]  會難阻人聽福音
[00:04:06.000 --> 00:04:08.000]  剛才我們提到有姐妹
[00:04:08.000 --> 00:04:10.000]  她因為別人的見證而信主
[00:04:10.000 --> 00:04:12.000]  但我相信你都會同時聽到
[00:04:12.000 --> 00:04:13.000]  一些你的朋友
[00:04:13.000 --> 00:04:15.000]  你可能會和他們講合信仰的事情
[00:04:15.000 --> 00:04:18.000]  分享你自己的信仰
[00:04:18.000 --> 00:04:20.000]  或者你會聽到有人和你說
[00:04:20.000 --> 00:04:22.000]  信耶穌?
[00:04:22.000 --> 00:04:24.000]  我認識很多基督徒
[00:04:24.000 --> 00:04:25.000]  好像他們這樣
[00:04:25.000 --> 00:04:27.000]  你不要叫我信
[00:04:27.000 --> 00:04:29.000]  有沒有聽過?
