
[00:00:00.000 --> 00:00:02.180]  今年四十日生命更新之旅
[00:00:02.180 --> 00:00:04.980]  我們以宣導會四重呼應
[00:00:04.980 --> 00:00:08.380]  是其中一個很重要的信仰內容
[00:00:08.380 --> 00:00:10.080]  耶穌是再來的主
[00:00:10.080 --> 00:00:12.680]  作為我們的一個主題
[00:00:12.680 --> 00:00:17.260]  今天崇拜我們已經去到第六次的查經
[00:00:17.260 --> 00:00:20.180]  一段經文是說到
[00:00:20.180 --> 00:00:23.980]  耶穌在祂將要被釘十字架之前
[00:00:23.980 --> 00:00:27.680]  祂再說出祂來到地上
[00:00:27.680 --> 00:00:31.200]  祂會施行公義的審判
[00:00:31.200 --> 00:00:33.600]  由二十四章到二十五章
[00:00:33.600 --> 00:00:39.280]  一路說出當祂受死埋葬復活之後
[00:00:39.280 --> 00:00:41.600]  究竟會有什麼事情發生
[00:00:41.600 --> 00:00:49.840]  由祂降生到末日的過程裏
[00:00:49.840 --> 00:00:52.760]  我們應該有什麼態度
[00:00:52.760 --> 00:00:58.600]  去預備自己去迎接這個將要施行大審判的主
[00:00:58.600 --> 00:01:03.280]  在二十五章三十一至四十六節
[00:01:03.280 --> 00:01:09.920]  可以說是耶穌在一個大講論裏面的一個最重要的總結
[00:01:09.920 --> 00:01:12.640]  在二十五章三十一節
[00:01:12.640 --> 00:01:15.880]  耶穌用人子去形容自己
[00:01:15.880 --> 00:01:18.440]  人子代表自己的身份
[00:01:18.440 --> 00:01:26.040]  亦代表著有榮耀的降臨這個表徵
[00:01:26.040 --> 00:01:30.600]  在這裏說到人子不單是那一個君王
[00:01:30.600 --> 00:01:35.800]  耶穌不單是上帝國度裏面統治的君王
[00:01:35.800 --> 00:01:39.280]  而且他亦是一個審判者
[00:01:39.280 --> 00:01:42.280]  他將要審判地上每一個人
[00:01:42.280 --> 00:01:43.280]  也可以這樣說
[00:01:43.280 --> 00:01:50.240]  上帝的旨意通過耶穌去將父神的心意完全表達出來
[00:01:50.240 --> 00:01:59.200]  耶穌在這裏用山羊和綿羊作一個比喻
[00:01:59.200 --> 00:02:03.640]  在這裏可以說到耶穌講出一個方向
