
[00:00:00.000 --> 00:00:10.000]  请静听神的话语,路加福音19章第11到27节,和合本的收听版。
[00:00:10.000 --> 00:00:23.000]  众人正听见这话的时候,耶稣因为将进耶路撒冷,又因他们以为神的国快要显现,就借着讲了一个比喻,说:
[00:00:23.000 --> 00:00:34.000]  有一个贵族往远方去,要为取得王位,然后回来。他叫了至此的十个仆人来,召给他们十锭银子,说:
[00:00:34.000 --> 00:00:44.000]  你们去做生意,直到我回来。他本国的百姓却恨他,打伐使者随后去,说:
[00:00:44.000 --> 00:00:56.000]  我们不愿意这个人做我们的王。他既得了王位,就吩咐叫了领了银子的仆人来,要知道他们做生意赚了多少。
[00:00:56.000 --> 00:01:10.000]  头一个上来说:主啊,你的一定银子,已经赚了十锭。主人对他说:好,我善良的仆人,你既在最小的世上中心,
[00:01:10.000 --> 00:01:24.000]  你由全秉管十座城。第二个来说:主啊,你的一定银子,已经赚了五锭。主人也对这个说:你管五座城。
[00:01:24.000 --> 00:01:33.000]  又有一个来说:主啊,看啊,你的一定银子在这里,我把它包在手经里传说。
[00:01:33.000 --> 00:01:47.000]  我上来怕你,因为你是严厉的人,没有放的也要去拿,没有中的也要去收。主人对他说:你这恶仆,我要凭你的话定你的罪。
[00:01:47.000 --> 00:02:00.000]  你自知道我是严厉的人,没有放的也要去拿,没有中的也要去收。为什么不把我的银子传在银行,等我来的时候连本贷利都取回来呢?
[00:02:00.000 --> 00:02:13.000]  于是他对那些站在旁边的人说:把他这一顶银子夺过来,给那有实定的。他们对他说:主啊,他已经有实定了。
[00:02:13.000 --> 00:02:29.000]  主人说:我告诉你们,凡有的还要给他,没有的连他所有的也要夺过来。至于我那些仇敌,不要我做王的,把他们拉来在我面前杀了。
[00:02:29.000 --> 00:02:41.000]  主持人:今天讲到的题目是:燃尽人生还是受尽人生?敬请本堂的主任贺志勇传道。
[00:02:41.000 --> 00:02:58.000]  贺志勇:谢谢唐医生,他帮我升级了,升级成本堂主任了,其实我们唐主任是解牧师。谢谢,然后让我们做一个开始祷告。
[00:02:58.000 --> 00:03:10.000]  主持人:亲爱天父,感谢祢赐给我们风雨之后的平安,也请祢安慰在风雨之中受灾的人。
[00:03:10.000 --> 00:03:25.000]  神啊,我们知道无论晴天雨天,都是祢在做王掌权,我们都要服服在祢的美意之下,让我们可以享受祢的美意,也使用祢赐给我们的东西。
[00:03:25.000 --> 00:03:45.000]  神啊,也希望祢赐福和使用恩乔堂,让它成为在这个城市里面普通话和广东话的朋友们的桥梁,让他们在这里都可以平安喜乐地去见证祢,一起成为祢美好的弟兄姊妹的团体。
[00:03:45.000 --> 00:03:50.000]  我们这样仰望交托,奉祖耶稣得胜的民囚。阿们。
[00:03:50.000 --> 00:04:03.000]  我以前很喜欢乱买东西,每次出去旅游都会买一些根本用不上的小东西,我不知道你们喜不喜欢买东西。
[00:04:03.000 --> 00:04:19.000]  拿回来之后也不知道摆哪里好,因为东西越来越多。记得有一次去杭州,看到人家张小泉的刀好,就买了一把很重的砍骨刀背回来。
[00:04:19.000 --> 00:04:28.000]  回来之后突然想起来,我根本就不砍骨头,我通常都是买肉的时候请人家砍好了,没有现在还有谁自己砍骨头呢。
[00:04:28.000 --> 00:04:40.000]  所以我就把那把刀只好放在那里了。过了几年那把刀居然生锈了,我顿时恍然大悟,原来不锈钢也会生锈的。
[00:04:40.000 --> 00:04:51.000]  钢会生锈,那银子摆在那里会不会生锈呢?我刚刚听到有人会,看来家里是有银子的。
[00:04:51.000 --> 00:04:59.000]  这个问题我们可以迟点再讨论。今天这段经文讲的是跟银子有关的经文。
[00:04:59.000 --> 00:05:07.000]  这个经文已经很熟了,主耶稣是在快到耶路撒冷的时候讲了这个比喻。
