
[00:00:00.000 --> 00:00:08.000]  今天的正道經文, 《格林多前書》第3章第10到17節。
[00:00:08.000 --> 00:00:17.000]  經文的重點是:基督徒是神的殿, 這殿的根基就是耶穌基督。
[00:00:17.000 --> 00:00:24.000]  我照神所給我的安典, 好像一個聰明的公頭,
[00:00:24.000 --> 00:00:34.000]  立好了根基,別人在上面建造。 只是個人要謹慎怎樣在上面建造,
[00:00:34.000 --> 00:00:45.000]  因為那已經立好的根基就是耶穌基督。 此外,沒有人能立別的根基。
[00:00:45.000 --> 00:00:57.000]  若有人用金銀、寶石、草木、荷葉在這根基上建造, 個人的功成必將顯露,
[00:00:57.000 --> 00:01:04.000]  因為那日子要將它顯明, 由火把它暴露出來。
[00:01:04.000 --> 00:01:09.000]  這火要試煉個人的功成怎樣?
[00:01:09.000 --> 00:01:18.000]  人在那根基上所建造的功成若能保得住, 它將要得賞賜;
[00:01:18.000 --> 00:01:23.000]  人的功成若被燒了, 它將損失。
[00:01:23.000 --> 00:01:31.000]  雖然他自己將得救, 卻要像從火里經過一樣。
[00:01:31.000 --> 00:01:39.000]  難道不知你們是神的殿, 神的靈住在你們裡面嗎?
[00:01:39.000 --> 00:01:47.000]  若有人毀壞神的殿, 神一定要毀滅那人,
[00:01:47.000 --> 00:01:53.000]  因為神的殿是神聖的, 這殿就是你們。
[00:01:53.000 --> 00:01:56.000]  這是神的話語。 感謝神。
[00:01:56.000 --> 00:02:01.000]  請楊師母。
[00:02:01.000 --> 00:02:20.000]  弟兄姊妹平安!
[00:02:20.000 --> 00:02:26.000]  每次來到這裡, 我都有一種很感動的感覺,
[00:02:26.000 --> 00:02:29.000]  因為以前我是在國內服侍的,
[00:02:29.000 --> 00:02:34.000]  然後看見國內很多的弟兄姊妹, 真的覺得很親切。
[00:02:34.000 --> 00:02:41.000]  也有我們西波倫堂的弟兄姊妹, 那種感覺就是回到家裡一樣。
[00:02:41.000 --> 00:02:42.000]  感謝主。
[00:02:42.000 --> 00:02:50.000]  我今天要分享的就是, 剛剛主席幫我們讀的經文。
[00:02:50.000 --> 00:02:54.000]  等一下, 我的Pad有時候有一點問題。
[00:02:54.000 --> 00:02:56.000]  是建造工程。
[00:02:56.000 --> 00:03:02.000]  恩教堂今年的主題是, 扎根主道,活出照命。
[00:03:02.000 --> 00:03:08.000]  是的,基督徒真的要立好根基, 把握每一天為主而活。
[00:03:08.000 --> 00:03:13.000]  尤其是最近, 我覺得真的很像主要快來一樣,
[00:03:13.000 --> 00:03:15.000]  因為地震頻繁。
[00:03:15.000 --> 00:03:20.000]  尤其是3月28日, 你們記得嗎?
[00:03:20.000 --> 00:03:23.000]  就是那個緬甸的大地震。
[00:03:23.000 --> 00:03:28.000]  到4月7日, 死亡人數已經有5000多人。
[00:03:28.000 --> 00:03:34.000]  我就在想, 這5000多人, 有多少人還沒有信主呢?
[00:03:34.000 --> 00:03:38.000]  這一次地震也波及倫國。
[00:03:38.000 --> 00:03:44.000]  我記得在泰國曼谷, 有一座新建中的大樓,
[00:03:44.000 --> 00:03:46.000]  30層的,就倒塌了。
[00:03:46.000 --> 00:03:53.000]  所以泰國政府就要求建造商要配合調查,
[00:03:53.000 --> 00:03:57.000]  看看它的材料是不是不合標準。
[00:03:57.000 --> 00:04:06.000]  這件事令我想起1998年9月, 有一次在江西有一個水災。
[00:04:06.000 --> 00:04:14.000]  當時的總理朱鎔基, 他就到水災的現場去看。
[00:04:14.000 --> 00:04:18.000]  他一看就很生氣了,
[00:04:18.000 --> 00:04:25.000]  他說新起的防洪大樓大體, 其實就是豆腐渣工程。
[00:04:25.000 --> 00:04:30.000]  其實生命也是一項工程,
[00:04:30.000 --> 00:04:34.000]  同樣的需要有好的材料, 又打好根基。
[00:04:34.000 --> 00:04:39.000]  所以保羅在臨前三章16節就說,
[00:04:39.000 --> 00:04:46.000]  "豈不知你們是上帝的殿, 上帝的靈就在你們裡頭嗎?"
[00:04:46.000 --> 00:04:54.000]  保羅的聖殿觀, 重點是將神的子民看作一個整體。
[00:04:54.000 --> 00:04:59.000]  這個整體要被建造成為上帝的聖殿。
[00:04:59.000 --> 00:05:03.000]  聖殿當然需要穩固, 要體面,
[00:05:03.000 --> 00:05:07.000]  一定不能是豆腐渣工程。
[00:05:07.000 --> 00:05:14.000]  所以今天我分享的經文, 就會給大家一個很清晰的指引,
[00:05:14.000 --> 00:05:17.000]  讓我們先一起禱告。
[00:05:17.000 --> 00:05:22.000]  親愛的主,感謝禰, 揀選我們成為禰的子民,
[00:05:22.000 --> 00:05:28.000]  也感謝禰討照我們, 讓我們能夠成為禰的器皿。
[00:05:28.000 --> 00:05:33.000]  主啊,真的好像剛剛主席禱告一樣,
[00:05:33.000 --> 00:05:38.000]  我們會被眼前很多事情迷惑, 我們迷失。
[00:05:38.000 --> 00:05:41.000]  我們真的需要, 每一次都需要,
[00:05:41.000 --> 00:05:45.000]  看看我們的根基是否在那裡。
[00:05:45.000 --> 00:05:50.000]  我們也需要看看, 我們的心態,我們的生命,
[00:05:50.000 --> 00:05:53.000]  是否跟隨禰的旨意而行。
[00:05:53.000 --> 00:05:57.000]  主啊,求禰, 讓我們今天來到禰的殿中,
[00:05:57.000 --> 00:06:01.000]  我們再一次謙卑, 聆聽禰的話語,
[00:06:01.000 --> 00:06:05.000]  讓禰的話語再次成為我們的提醒。
[00:06:05.000 --> 00:06:09.000]  主啊,我們需要禰, 我們需要禰的提醒,
[00:06:09.000 --> 00:06:13.000]  需要聖靈的恩高, 需要禰與我們同在,
[00:06:13.000 --> 00:06:19.000]  需要禰帶領我們, 願禰在我們每個身上都得到榮耀。
[00:06:19.000 --> 00:06:24.000]  我們這樣的禱告, 是奉主耶穌基督的聖靈祈求。
[00:06:24.000 --> 00:06:25.000]  Amen!
[00:06:25.000 --> 00:06:33.000]  好,在臨前三章十節, 祂說,我照神所給我的恩,
[00:06:33.000 --> 00:06:41.000]  就是說,在神恩典的帶領下, 教會領袖的角色就好像一個聰明的公頭。
[00:06:41.000 --> 00:06:47.000]  新一本聖經將公頭翻譯為工程師,
[00:06:47.000 --> 00:06:54.000]  但是在希臘文中, 它更多是指向建築工地上的監工。
[00:06:54.000 --> 00:07:00.000]  一個聰明的監工, 當然不會容許豆腐渣工程的發生。
[00:07:00.000 --> 00:07:06.000]  我曾經看過報道, 有一批在國內置業的港人,
[00:07:06.000 --> 00:07:11.000]  他們發現新建的房子有很大的問題,
[00:07:11.000 --> 00:07:17.000]  例如那個牆身用手指一勾, 就會出現破洞。
[00:07:17.000 --> 00:07:23.000]  很明顯,就是說有人在建造工程上蒙混過關。
