
[00:00:00.000 --> 00:00:14.520]  其實這一句說話的「我是」與舊約希伯來外文出一及的三章
[00:00:14.520 --> 00:00:19.900]  耶和華神說「我是」字有「永有」的「我是」是一樣的
[00:00:19.900 --> 00:00:26.160]  因為在70世紀日本,舊約希臘文70世紀日本
[00:00:26.160 --> 00:00:33.200]  翻譯是同一個字,在約翰福音和《出埃及記》
[00:00:33.200 --> 00:00:39.360]  「我是」,說到神自己的屬性是哪一個
[00:00:39.360 --> 00:00:42.160]  今天說的是「我是生命的糧」
[00:00:42.160 --> 00:00:47.360]  其實如果看約翰福音,你會發覺一開始第一章
[00:00:47.360 --> 00:00:52.160]  就已經是耶穌呼召門徒,特別是施洗約翰
[00:00:52.160 --> 00:01:03.160]  指向門徒說「這是被殺的羔羊,請救我們那位羔羊尼塞亞」
[00:01:03.160 --> 00:01:06.160]  然後很多人慢慢地跟從耶穌
[00:01:06.160 --> 00:01:15.160]  特別在第一章我們看到跟從耶穌的安德烈、彼得、肥力、那丹葉等等
[00:01:15.160 --> 00:01:20.160]  然後在第四章我們聽到亞各井旁婦人的故事
[00:01:20.160 --> 00:01:23.160]  亞各井旁婦人為主作見證
[00:01:23.160 --> 00:01:29.160]  見證之後,四章三十節告訴我們已經有很多人慢慢地跟從耶穌
[00:01:29.160 --> 00:01:32.160]  一個一個地跟從耶穌
[00:01:32.160 --> 00:01:36.160]  跟從耶穌有很多原因,包括耶穌有很多明星
[00:01:36.160 --> 00:01:40.160]  他自己也很受歡迎
[00:01:40.160 --> 00:01:47.160]  特別他在約翰福音有很多記號,signs,神蹟
[00:01:47.160 --> 00:01:50.160]  這些神蹟帶給很多人很震撼
[00:01:50.160 --> 00:01:54.160]  包括在第五章將一個三十八年瘸腿的人都治好
[00:01:54.160 --> 00:02:01.160]  我們也看到第六章上文,一至十五節,為百五千人
[00:02:01.160 --> 00:02:08.160]  也是因為這個神蹟,在經文二十六節說到有很多人跟從耶穌
[00:02:08.160 --> 00:02:14.160]  不過其實這個跟從耶穌也不是長久的
[00:02:14.160 --> 00:02:17.160]  因為在經文六章六十六節,他這麼說
[00:02:17.160 --> 00:02:23.160]  從此之後有很多門徒不再跟從耶穌
[00:02:23.160 --> 00:02:25.160]  為什麼不跟從耶穌?
[00:02:25.160 --> 00:02:30.160]  在第六章有兩個主要的原因告訴我們,為什麼門徒不再跟從耶穌
[00:02:30.160 --> 00:02:34.160]  第一個原因在第四十一到四十二節說到什麼?
[00:02:34.160 --> 00:02:37.160]  說到耶穌是從天上來的
[00:02:37.160 --> 00:02:48.160]  這是很奇怪的,因為法理賽人,文士,宗教領袖,甚至群眾都知道耶穌的身份和背景
[00:02:48.160 --> 00:02:52.160]  他的父母是誰,他的兄弟姐妹是誰
[00:02:52.160 --> 00:02:55.160]  為什麼說自己是天上來的,很奇怪
[00:02:55.160 --> 00:03:00.160]  所以有很多爭論,不太明白真理
[00:03:00.160 --> 00:03:05.160]  第二樣更加難的就是第五十二節和第六十節說到什麼?
[00:03:05.160 --> 00:03:08.160]  耶穌說要吃我的肉,喝我的血
[00:03:08.160 --> 00:03:14.160]  非常難聽,甚至根本是很沒繁盛的說話
[00:03:14.160 --> 00:03:18.160]  不可以接受耶穌這樣的言論
[00:03:18.160 --> 00:03:26.160]  所以人們聽著聽著就覺得耶穌不知道在說什麼,就離開了
[00:03:26.160 --> 00:03:31.160]  很多人離開的時候,剩下的就是十二個門徒
[00:03:31.160 --> 00:03:36.160]  所以到最後,耶穌問你們是不是還要走?
[00:03:36.160 --> 00:03:39.160]  你們都走了,你們還要走嗎?
[00:03:39.160 --> 00:03:47.160]  或者說,反過來,耶穌透過他的見證
[00:03:47.160 --> 00:03:51.160]  或者他自己的生命表述
[00:03:51.160 --> 00:03:56.160]  「我是生命的糧」,盼望門徒知道跟從耶穌是什麼一回事
[00:03:56.160 --> 00:04:05.160]  從而幫助不單止昔日的十二個門徒,而是我們如何跟從耶穌
[00:04:05.160 --> 00:04:10.160]  生命的糧,這件事發生在第五十九節
[00:04:10.160 --> 00:04:15.160]  在加伯隆的會堂裡面發生的
[00:04:15.160 --> 00:04:21.160]  在第35和48節,耶穌說我是生命的糧
[00:04:21.160 --> 00:04:27.160]  生命的糧就是麵包,所以我們有生命麵包,是有原因的
