
[00:00:00.000 --> 00:00:04.000]  我記得在幾年前有一個聖誕節
[00:00:04.000 --> 00:00:07.000]  我買了一些食品回家
[00:00:07.000 --> 00:00:10.000]  經過一間餅店
[00:00:10.000 --> 00:00:14.000]  我看到一些像薑餅的東西
[00:00:14.000 --> 00:00:18.000]  薑餅在聖誕節大家常常會留意到
[00:00:18.000 --> 00:00:20.000]  多數是一個人的形狀
[00:00:20.000 --> 00:00:21.000]  薑餅人
[00:00:21.000 --> 00:00:24.000]  我買了回家
[00:00:24.000 --> 00:00:26.000]  在家裡享用的時候和家人一起
[00:00:26.000 --> 00:00:29.000]  有笑有講亦都享用
[00:00:29.000 --> 00:00:33.000]  當時會把手張開
[00:00:33.000 --> 00:00:35.000]  吃著吃著也沒辦法
[00:00:35.000 --> 00:00:38.000]  要把頭張開
[00:00:38.000 --> 00:00:40.000]  吃的時候的感受很有趣
[00:00:40.000 --> 00:00:42.000]  在這次預備聖經的時候
[00:00:42.000 --> 00:00:44.000]  就想起一件事
[00:00:44.000 --> 00:00:47.000]  我想一個叫薑餅人
[00:00:47.000 --> 00:00:49.000]  或者平面人
[00:00:49.000 --> 00:00:52.000]  假設他有意識
[00:00:52.000 --> 00:00:54.000]  他突然間發覺很奇怪
[00:00:54.000 --> 00:00:56.000]  為什麼手會突然間消失
[00:00:56.000 --> 00:00:59.000]  因為他在平面的處境
[00:00:59.000 --> 00:01:02.000]  他不會明白空間的意思
[00:01:02.000 --> 00:01:05.000]  但突然間自己的手消失了
[00:01:05.000 --> 00:01:08.000]  突然間頭消失了
[00:01:08.000 --> 00:01:11.000]  平面的不會明白空間的意思
[00:01:11.000 --> 00:01:14.000]  或者用一些比較哲理的說法
[00:01:14.000 --> 00:01:17.000]  二道空間的存在
[00:01:17.000 --> 00:01:20.000]  不會明白三道空間的真實
[00:01:20.000 --> 00:01:25.000]  但事實上三道空間是真實存在
[00:01:25.000 --> 00:01:27.000]  聖經裡面就是這樣說
[00:01:27.000 --> 00:01:32.000]  聖經裡面清楚把兩種智慧排列出來
[00:01:32.000 --> 00:01:36.000]  第一種智慧叫做屬靈的智慧
[00:01:36.000 --> 00:01:39.000]  第二種智慧叫做世上的智慧
[00:01:39.000 --> 00:01:42.000]  兩種截然不同的智慧
[00:01:42.000 --> 00:01:47.000]  屬靈的智慧是關乎永恆的事情
[00:01:47.000 --> 00:01:49.000]  關乎永恆世界的事情
[00:01:49.000 --> 00:01:54.000]  而地上的智慧是關乎地上短暫
[00:01:54.000 --> 00:01:57.000]  很快會過去的世界
[00:01:57.000 --> 00:02:02.000]  因此是完全關乎兩件事情的兩種智慧
[00:02:02.000 --> 00:02:05.000]  聖經說到什麼是屬靈人呢?
[00:02:05.000 --> 00:02:10.000]  屬靈人就是當人用屬靈的智慧
[00:02:10.000 --> 00:02:13.000]  在地上生活的人
[00:02:13.000 --> 00:02:16.000]  他們就是屬靈人
[00:02:16.000 --> 00:02:18.000]  他們不單單用地上的智慧
[00:02:18.000 --> 00:02:21.000]  他們更加用屬靈的智慧
[00:02:21.000 --> 00:02:24.000]  在地上短暫的日子來過生活
[00:02:24.000 --> 00:02:27.000]  這些人被稱為屬靈人
[00:02:27.000 --> 00:02:28.000]  各位弟兄姊妹
[00:02:28.000 --> 00:02:30.000]  你和我當信主耶穌的時候
[00:02:30.000 --> 00:02:33.000]  已經領受聖靈在你的生命當中
[00:02:33.000 --> 00:02:37.000]  因此在你的本質上你是屬靈人
[00:02:37.000 --> 00:02:40.000]  而聖經教導我們如何更進深地
[00:02:40.000 --> 00:02:43.000]  進入屬靈的智慧裡面
[00:02:43.000 --> 00:02:45.000]  而聖經格林多前書第二章
[00:02:45.000 --> 00:02:48.000]  就正正講述這方面的真理
[00:02:48.000 --> 00:02:51.000]  我們一起思想聖經神的話
[00:02:51.000 --> 00:02:54.000]  在聖經第二章第六節到第八節
[00:02:54.000 --> 00:02:57.000]  就分別出這兩種智慧
[00:02:57.000 --> 00:02:59.000]  屬靈和世上的智慧
[00:02:59.000 --> 00:03:02.000]  你留心第二章第一節到第五節
[00:03:02.000 --> 00:03:04.000]  就講到保羅當時提及
[00:03:04.000 --> 00:03:06.000]  當他侍奉神的時候
[00:03:06.000 --> 00:03:09.000]  是用聖靈和大能的明證
[00:03:09.000 --> 00:03:11.000]  去傳講神的道
[00:03:11.000 --> 00:03:14.000]  不是用人的智慧
[00:03:14.000 --> 00:03:17.000]  所以你留心第二章第四節
[00:03:17.000 --> 00:03:20.000]  我說的話講的道
[00:03:20.000 --> 00:03:23.000]  都不是用智慧的話去說服人
[00:03:23.000 --> 00:03:27.000]  而是用聖靈和能力來證明
[00:03:27.000 --> 00:03:30.000]  使你們的信不是憑著人的智慧
[00:03:30.000 --> 00:03:33.000]  而是憑著神的能力
[00:03:33.000 --> 00:03:36.000]  但是否說保羅就不講智慧呢?
[00:03:36.000 --> 00:03:37.000]  不是
[00:03:37.000 --> 00:03:39.000]  保羅是會講智慧的
[00:03:39.000 --> 00:03:42.000]  因此在下面第六節他接著說
[00:03:42.000 --> 00:03:45.000]  然而在信心成熟的人中間
[00:03:45.000 --> 00:03:47.000]  有講智慧
[00:03:47.000 --> 00:03:49.000]  但不是講世代的智慧
[00:03:49.000 --> 00:03:52.000]  也不是這世代將要滅亡的
[00:03:52.000 --> 00:03:55.000]  執政者的智慧
[00:03:55.000 --> 00:03:57.000]  保羅特別強調
[00:03:57.000 --> 00:03:59.000]  他所講的不是世上的智慧
[00:03:59.000 --> 00:04:03.000]  不是那些有權有勢的人
[00:04:03.000 --> 00:04:05.000]  所講的智慧
[00:04:05.000 --> 00:04:07.000]  這些智慧可能牽涉到
[00:04:07.000 --> 00:04:08.000]  政治的層面
[00:04:08.000 --> 00:04:09.000]  經濟的層面
[00:04:09.000 --> 00:04:13.000]  或者是很多行政的權力的層面等等
[00:04:13.000 --> 00:04:15.000]  當人用人的智慧告訴你
[00:04:15.000 --> 00:04:17.000]  你聽我說
[00:04:17.000 --> 00:04:19.000]  教我這樣買股票
[00:04:19.000 --> 00:04:21.000]  你賺大錢了
[00:04:21.000 --> 00:04:23.000]  或者他教你很多不同的方法
[00:04:23.000 --> 00:04:26.000]  你會得到很多的財富
[00:04:26.000 --> 00:04:29.000]  這是一種地上的智慧
[00:04:29.000 --> 00:04:30.000]  或者他告訴你
[00:04:30.000 --> 00:04:33.000]  你要得到人民對你的尊重
[00:04:33.000 --> 00:04:35.000]  或者在你所屬的公司
[00:04:35.000 --> 00:04:38.000]  你的機構裡得到民心
[00:04:38.000 --> 00:04:39.000]  你跟我這樣做
[00:04:39.000 --> 00:04:40.000]  這樣管理
[00:04:40.000 --> 00:04:42.000]  你就得到人的支持
[00:04:42.000 --> 00:04:44.000]  和擁戴
[00:04:44.000 --> 00:04:46.000]  很多世上的智慧
[00:04:46.000 --> 00:04:48.000]  講關於世上的事情
[00:04:48.000 --> 00:04:51.000]  某方面帶給我們有好處
[00:04:51.000 --> 00:04:53.000]  但聖經就繼續講
[00:04:53.000 --> 00:04:54.000]  這種的智慧
[00:04:54.000 --> 00:04:56.000]  有兩種很特別的特徵
[00:04:56.000 --> 00:04:58.000]  第一種特徵
[00:04:58.000 --> 00:05:00.000]  剛才第六節說
[00:05:00.000 --> 00:05:01.000]  中間說
[00:05:01.000 --> 00:05:06.000]  也不是這世代將要滅亡的智慧
[00:05:06.000 --> 00:05:09.000]  這種智慧原來是會滅亡的
[00:05:09.000 --> 00:05:11.000]  是短暫有果效
