
[00:00:00.000 --> 00:00:05.000]  我們主我們的神,你知道我們今天為甚麼要來這個地方
[00:00:05.000 --> 00:00:12.000]  如果今天我們來到這個地方,我們見不到你親自與我們同在
[00:00:12.000 --> 00:00:15.000]  我們心裡沒有辦法滿足
[00:00:15.000 --> 00:00:19.000]  主,你知道我們心渴望認識你
[00:00:19.000 --> 00:00:23.000]  所以今天我們來這裡坐下來,我們來聆聽你自己的話語
[00:00:23.000 --> 00:00:27.000]  我們主我們的神,我們想求你自己
[00:00:27.000 --> 00:00:30.000]  以過往人的軟弱,掌管這個聚會
[00:00:30.000 --> 00:00:35.000]  以無論這個講的人的軟弱,無論聽的人的軟弱
[00:00:35.000 --> 00:00:40.000]  主,我們知道我們對照耶穌基督給我們體現的要求
[00:00:40.000 --> 00:00:43.000]  就是每一次在你面前,我們的戰機,我們的屈膝
[00:00:43.000 --> 00:00:46.000]  主,我們能夠配做甚麼呢?
[00:00:46.000 --> 00:00:49.000]  我主,我求你憐憫我們
[00:00:49.000 --> 00:00:52.000]  親愛的,證明我們求你在這個時刻裡掌管這個會場
[00:00:52.000 --> 00:00:54.000]  不要擺擺任何左右的工作
[00:00:55.000 --> 00:00:58.000]  或者在過往的時間,在我們不同的人身上有過左右的工作
[00:00:58.000 --> 00:01:01.000]  主,但是這個時間是屬於你自己的
[00:01:01.000 --> 00:01:04.000]  不要擺擺任何的懼怖
[00:01:04.000 --> 00:01:07.000]  親愛的,聖靈我們懇求你自己在這個時刻
[00:01:07.000 --> 00:01:10.000]  引導我們進入你自己的真理
[00:01:10.000 --> 00:01:12.000]  我主,我們需要認識你
[00:01:12.000 --> 00:01:14.000]  我們需要被你的愛所吸引
[00:01:14.000 --> 00:01:16.000]  信下你自己本來就這麼有吸引力
[00:01:16.000 --> 00:01:19.000]  我們求你今天在諸多吸引力的環境當中
[00:01:19.000 --> 00:01:21.000]  讓我們能夠被你自己所吸引
[00:01:21.000 --> 00:01:24.000]  使我們能夠快跑,能夠跟從你
[00:01:24.000 --> 00:01:27.000]  讓我們眼目留在一次看見你
[00:01:27.000 --> 00:01:30.000]  我們禱告去奉耶穌的名
[00:01:30.000 --> 00:01:34.000]  我今天在大家面前說的時候
[00:01:34.000 --> 00:01:36.000]  我心裡有一個很沉重的負擔
[00:01:36.000 --> 00:01:39.000]  我想大家首先面對的就是所謂的獨靈假象的問題
[00:01:39.000 --> 00:01:42.000]  但是如果溫偉耀今天製造一個新的獨靈假象
[00:01:42.000 --> 00:01:44.000]  我相信這個罪我擔當不了
[00:01:44.000 --> 00:01:46.000]  剛才大家真的留意這件事
[00:01:46.000 --> 00:01:49.000]  或者我講一講為甚麼我肯來講
[00:01:49.000 --> 00:01:52.000]  我自己剛才有一個很
[00:01:52.000 --> 00:01:54.000]  跟大家說我一個很沉重的負擔
[00:01:54.000 --> 00:01:56.000]  其實我兩年多在英國回來之後
[00:01:56.000 --> 00:01:59.000]  我自己一直都有這樣的心意
[00:01:59.000 --> 00:02:01.000]  直到今天我相信開始
[00:02:01.000 --> 00:02:05.000]  來滿足一點自己這方面的心意
[00:02:05.000 --> 00:02:10.000]  我記得我自己在兩年多回來香港之後的幾個月
[00:02:10.000 --> 00:02:16.000]  就有一個大專團契刊物的一班編輯
[00:02:16.000 --> 00:02:18.000]  就來找我來聊天
[00:02:18.000 --> 00:02:21.000]  坐下來我記得在辦公室聊天
[00:02:21.000 --> 00:02:23.000]  他們聊到問到英國
[00:02:23.000 --> 00:02:26.000]  問到現在在西方神學的發展
[00:02:26.000 --> 00:02:27.000]  我就跟他們說
[00:02:27.000 --> 00:02:31.000]  說完之後一班編輯就很有興趣
[00:02:31.000 --> 00:02:33.000]  問你現在回到香港
[00:02:33.000 --> 00:02:34.000]  你有甚麼特別的負擔
[00:02:34.000 --> 00:02:36.000]  或者有甚麼大志呢
[00:02:36.000 --> 00:02:38.000]  我就跟他們說
[00:02:38.000 --> 00:02:40.000]  我說我在英國那幾年
[00:02:40.000 --> 00:02:43.000]  曾經有機會給我浸淫很多
[00:02:43.000 --> 00:02:48.000]  關於歷代獨靈操練和獨靈經歷的經典作品
[00:02:48.000 --> 00:02:51.000]  對我生命有一個很徹底的扭轉
[00:02:51.000 --> 00:02:57.000]  我有負擔來將這個獨靈經歷和操練這方面的真理
[00:02:57.000 --> 00:02:59.000]  跟香港的弟兄姊妹分享
[00:02:59.000 --> 00:03:02.000]  說完這句話之後
[00:03:02.000 --> 00:03:05.000]  有一個弟兄
[00:03:05.000 --> 00:03:07.000]  一個扭小拇刀的那個
[00:03:07.000 --> 00:03:10.000]  他跟我說了一句話我很記得的
[00:03:10.000 --> 00:03:13.000]  他就一個陰陰笑笑地對我說
[00:03:13.000 --> 00:03:18.000]  他說現在沒有人說屬靈這件事這麼傻了
[00:03:18.000 --> 00:03:23.000]  我突然間一瞪大眼睛呆了
[00:03:23.000 --> 00:03:25.000]  屬靈的傻
[00:03:25.000 --> 00:03:28.000]  近乎是粗口的字眼來講
[00:03:28.000 --> 00:03:33.000]  出自一個大專的基督徒團體裏面的負責人
[00:03:33.000 --> 00:03:34.000]  我呆了
[00:03:34.000 --> 00:03:35.000]  對不起
[00:03:35.000 --> 00:03:37.000]  如果你在這裏真是不好意思
[00:03:37.000 --> 00:03:39.000]  那天真的氣得我很厲害
[00:03:39.000 --> 00:03:41.000]  真的氣得我很厲害
[00:03:41.000 --> 00:03:44.000]  那時我突然間心裏面有一個很大的震盪
[00:03:44.000 --> 00:03:47.000]  講屬靈的東西是傻的
[00:03:47.000 --> 00:03:49.000]  究竟香港發生了甚麼地步
[00:03:49.000 --> 00:03:52.000]  難怪現在社會公署寫給我們聽
[00:03:52.000 --> 00:03:54.000]  三年一個generation
[00:03:54.000 --> 00:03:56.000]  我想我去了四年
[00:03:56.000 --> 00:03:58.000]  我突然間發覺我對香港很陌生
[00:03:58.000 --> 00:04:01.000]  不過後來我發現這個弟兄不單是特別差
[00:04:01.000 --> 00:04:04.000]  他就是有代表性在這裏
[00:04:04.000 --> 00:04:06.000]  我開始去不同的團體接觸不同的人
[00:04:06.000 --> 00:04:10.000]  我發覺所謂濫屬靈
[00:04:10.000 --> 00:04:12.000]  不如你去祈禱
[00:04:12.000 --> 00:04:14.000]  這些字眼是那些虛偽
[00:04:14.000 --> 00:04:17.000]  或者不想負責任的代名詞
[00:04:17.000 --> 00:04:19.000]  我不知道你們的教會是否這樣
[00:04:19.000 --> 00:04:20.000]  如果是這樣就真是慘了
[00:04:20.000 --> 00:04:22.000]  起碼我見過一些團體
[00:04:22.000 --> 00:04:24.000]  有些人是這樣說來玩笑
[00:04:24.000 --> 00:04:27.000]  我心裏面實在很難過
[00:04:27.000 --> 00:04:28.000]  我心裏面很難過
