
[00:00:00.000 --> 00:00:07.120]  很高興有機會跟大家用兩次來說約伯記
[00:00:07.120 --> 00:00:11.440]  我稱它為約伯記的日子
[00:00:11.440 --> 00:00:20.400]  約伯記的日子當然要用約伯記這本書作為核心的討論
[00:00:20.400 --> 00:00:23.680]  不過我相信如果你是基督徒的話
[00:00:23.680 --> 00:00:27.680]  就算不是基督徒你也猜到或者聽過
[00:00:27.680 --> 00:00:37.440]  一想到約伯記當然會想到二人受苦這個千古的難題
[00:00:37.440 --> 00:00:40.720]  為什麼好人要受苦?
[00:00:40.720 --> 00:00:44.000]  就算有神在的時候
[00:00:44.000 --> 00:00:48.560]  甚至也沒辦法減退人的痛苦
[00:00:48.560 --> 00:00:52.400]  這個就是約伯記最出名的主題
[00:00:52.400 --> 00:01:00.240]  我估計如果你在看約伯記的日子這個節目
[00:01:00.240 --> 00:01:03.920]  你也會想問這個問題
[00:01:03.920 --> 00:01:08.000]  當然我不會逃避這個問題
[00:01:08.000 --> 00:01:12.240]  但當然我們既然稱為聖經的研究
[00:01:12.240 --> 00:01:17.120]  我們也要基於約伯記裡面的課題
[00:01:17.120 --> 00:01:24.160]  意思就是說關於人會受苦的難題
[00:01:24.160 --> 00:01:26.960]  信仰上也好、哲學上也好
[00:01:26.960 --> 00:01:29.440]  有很多角度去研究的
[00:01:29.440 --> 00:01:33.120]  我就不會在這兩次什麼都說完
[00:01:33.120 --> 00:01:38.080]  因為我是要圍繞著約伯記給我們的資料
[00:01:38.080 --> 00:01:40.880]  所以請大家了解一下
[00:01:40.880 --> 00:01:44.240]  可能在你心目中有些關於受苦的問題
[00:01:44.240 --> 00:01:48.640]  你在這兩講裡面未必會聽得到的
[00:01:48.640 --> 00:01:50.800]  好,我們就不要浪費時間了
[00:01:50.800 --> 00:01:54.720]  我們就開始我們的第一講
[00:01:54.720 --> 00:01:57.920]  第一講我就給了一個題目
[00:01:57.920 --> 00:02:05.760]  就叫做《人間的新淫與自然山野間的頌歌》
[00:02:05.760 --> 00:02:08.480]  新淫與頌歌
[00:02:08.480 --> 00:02:11.120]  一個很對比的描述
