
[00:00:00.000 --> 00:00:07.800]  教會在傳統上定十月二十四日為紀念耶穌降生的日子
[00:00:07.800 --> 00:00:10.200]  耶穌的降生與我們很不同
[00:00:10.200 --> 00:00:13.800]  耶穌的降生是為了祂的死亡
[00:00:13.800 --> 00:00:18.200]  這句話其實大家想想是有一個很深的意思在裏面
[00:00:18.200 --> 00:00:24.000]  我們每一個人沒有一個能力去選擇離不離開這個世界
[00:00:24.000 --> 00:00:28.200]  我們也沒有能力選擇離不離開這個世界
[00:00:28.200 --> 00:00:32.400]  但是耶穌可以選擇不離開這個世界
[00:00:32.400 --> 00:00:36.800]  他們也可以選擇不經過死亡離開這個世界
[00:00:36.800 --> 00:00:44.000]  不過耶穌來到地上降生是為了要去承擔人類的罪
[00:00:44.000 --> 00:00:47.000]  所以降生就是為了祂的死亡
[00:00:47.000 --> 00:00:50.000]  為人類的罪釘在十字架上
[00:00:50.000 --> 00:00:54.200]  在這段經文裏面
[00:00:54.200 --> 00:00:59.000]  正正是耶穌在祂侍奉的最後階段裏面
[00:00:59.000 --> 00:01:02.400]  講了一個很重要的信息
[00:01:02.400 --> 00:01:06.200]  就是上帝對人的寬容
[00:01:06.200 --> 00:01:09.000]  上帝對一班以色列人的寬容
[00:01:09.000 --> 00:01:13.000]  但是人如何回應上帝這種寬容
[00:01:13.000 --> 00:01:16.400]  在之前的耶穌在地上
[00:01:16.400 --> 00:01:21.400]  我們在福音書裏面看到耶穌侍奉三年多的時間
[00:01:21.400 --> 00:01:25.400]  到最後一個階段進入耶路撒冷裏面
[00:01:25.400 --> 00:01:29.400]  準備被釘在十字架上
[00:01:29.400 --> 00:01:31.000]  他進入耶路撒冷之後
[00:01:31.000 --> 00:01:33.600]  他就在聖殿裏面對一班群眾
[00:01:33.600 --> 00:01:36.400]  講述了很多雜備的說話
[00:01:36.400 --> 00:01:38.600]  他們有很多宗教外在的行為
[00:01:38.600 --> 00:01:43.000]  但是整個的生命、整個的心就已經離開上帝
[00:01:43.000 --> 00:01:47.000]  然後耶穌就藉著一個比喻去教導
[00:01:47.000 --> 00:01:49.600]  可以說是指責或警告
[00:01:49.600 --> 00:01:53.600]  當時在聖殿裏面的群眾和一些宗教領袖
[00:01:53.600 --> 00:01:55.800]  這個比喻
[00:01:55.800 --> 00:01:59.400]  整個葡萄園的一個比喻
[00:01:59.400 --> 00:02:04.800]  可以指到對象主要是一班宗教領袖
[00:02:04.800 --> 00:02:07.200]  法利塞人和當時的祭司
[00:02:07.200 --> 00:02:10.200]  祭司主要是殺刀該人去負責
[00:02:10.200 --> 00:02:14.400]  和一些普羅大眾的警告
[00:02:14.400 --> 00:02:16.600]  葡萄園在舊約聖經裏面
[00:02:16.600 --> 00:02:21.000]  基本上是指到整個以色列人的一個象徵
[00:02:21.000 --> 00:02:25.400]  講到葡萄園就是講到以色列人整個民族
[00:02:25.400 --> 00:02:27.200]  耶穌在這裏講一個比喻
[00:02:27.200 --> 00:02:30.200]  去講一個園主
[00:02:30.200 --> 00:02:32.600]  他有一個葡萄園
[00:02:32.600 --> 00:02:34.800]  他怎樣安排一個葡萄園呢?
[00:02:34.800 --> 00:02:37.800]  他首先圍上一個泥巴
