
[00:00:00.000 --> 00:00:04.500]  我對於這個主題的了解
[00:00:04.500 --> 00:00:06.500]  好像是有點錯誤
[00:00:06.500 --> 00:00:08.000]  為什麼呢?
[00:00:08.000 --> 00:00:11.500]  這個專題的題目是說
[00:00:11.500 --> 00:00:15.000]  如何順從聖靈的引導
[00:00:15.000 --> 00:00:19.000]  那麼我看見這個題目的時候
[00:00:19.000 --> 00:00:22.000]  把重點就放在聖靈上面
[00:00:22.000 --> 00:00:24.500]  聖靈怎麼引導
[00:00:24.500 --> 00:00:28.000]  我們怎麼樣順服聖靈的引導
[00:00:28.500 --> 00:00:33.000]  但是經過了昨天的時間以後
[00:00:33.000 --> 00:00:36.000]  我忽然覺醒
[00:00:36.000 --> 00:00:40.000]  恐怕定這個題目的弟兄
[00:00:40.000 --> 00:00:43.000]  或者是一個籌備會
[00:00:43.000 --> 00:00:45.000]  籌備小組
[00:00:45.000 --> 00:00:49.000]  他們的心目中那個信息的要點
[00:00:49.000 --> 00:00:52.000]  那是說好像平常時候說的
[00:00:52.000 --> 00:00:55.000]  如何尋求神的旨意
[00:00:55.000 --> 00:00:58.000]  很多的基督徒都有這個問題
[00:00:58.500 --> 00:01:00.500]  神的旨意為我到底是什麼?
[00:01:00.500 --> 00:01:03.500]  為了這件事到底是什麼?
[00:01:03.500 --> 00:01:07.500]  那麼在他們的籌備的時候
[00:01:07.500 --> 00:01:09.500]  心中想的就是
[00:01:09.500 --> 00:01:13.500]  神的旨意藉著聖靈的感動引導
[00:01:13.500 --> 00:01:15.500]  讓我們知道
[00:01:15.500 --> 00:01:19.500]  好讓我們順服來遵守
[00:01:19.500 --> 00:01:22.500]  當我這樣想的時候
[00:01:22.500 --> 00:01:26.500]  我慢慢就覺得大概是這樣
[00:01:26.500 --> 00:01:28.500]  越多越覺得是這樣
[00:01:28.500 --> 00:01:33.500]  所以今天我就要把內容改一改了
[00:01:33.500 --> 00:01:38.500]  所以我就不講在講義裡面的第二部分
[00:01:38.500 --> 00:01:41.500]  講義裡面第二部分是
[00:01:41.500 --> 00:01:47.000]  按照羅馬書第八章來靈授
[00:01:47.000 --> 00:01:50.000]  如何和聖靈合而為一
[00:01:50.000 --> 00:01:53.000]  與聖靈同感
[00:01:53.500 --> 00:01:55.500]  進到聖靈裡面
[00:01:55.500 --> 00:01:59.500]  去工作去禱告去感覺去生活
[00:01:59.500 --> 00:02:05.500]  那麼我就把題目乾脆改一改
[00:02:05.500 --> 00:02:09.500]  如何尋求神的旨意
[00:02:09.500 --> 00:02:11.500]  在我們個人的身上
[00:02:11.500 --> 00:02:13.500]  我這樣改
[00:02:13.500 --> 00:02:18.500]  大家也感覺我是回到那個題目原來的意思裡面去了嗎?
[00:02:18.500 --> 00:02:21.500]  這個有點跟解經差不多
[00:02:22.500 --> 00:02:24.500]  好
[00:02:24.500 --> 00:02:29.500]  我們就按照這個路線來思想
[00:02:29.500 --> 00:02:35.500]  怎麼樣尋求神對我的旨意
[00:02:35.500 --> 00:02:39.500]  神的旨意有兩種
[00:02:39.500 --> 00:02:43.500]  一種是一般性的旨意
[00:02:43.500 --> 00:02:48.500]  The general will of God for his people
[00:02:48.500 --> 00:02:52.500]  God's general will for his people
[00:02:52.500 --> 00:02:54.500]  第二個是
[00:02:54.500 --> 00:02:57.500]  God's specific will for me
[00:02:57.500 --> 00:02:59.500]  or for you
[00:02:59.500 --> 00:03:02.500]  一個是general 一個是specific
[00:03:02.500 --> 00:03:06.500]  一個是一般性的 一個是特殊性的
[00:03:06.500 --> 00:03:10.500]  那麼這兩方面我們都要了解
[00:03:10.500 --> 00:03:11.500]  為什麼呢?
[00:03:11.500 --> 00:03:17.500]  因為神對我的個別的特殊的旨意
[00:03:17.500 --> 00:03:21.500]  一定不會違反他的一般性的旨意
[00:03:21.500 --> 00:03:25.500]  所以這兩樣絕對不會互相矛盾
[00:03:25.500 --> 00:03:27.500]  互相衝突
[00:03:27.500 --> 00:03:28.500]  絕對不會
[00:03:28.500 --> 00:03:34.500]  我們把那個衝突矛盾不一致的可能性先把它去掉
[00:03:34.500 --> 00:03:36.500]  那就是說
[00:03:36.500 --> 00:03:43.500]  我們如果要了解神對我個人的特殊的旨意之前
[00:03:43.500 --> 00:03:48.500]  我們要先知道神的一般性的旨意
[00:03:48.500 --> 00:03:50.500]  那就是在聖經裡面
[00:03:50.500 --> 00:03:54.500]  神向我們說賢明的信義
[00:03:54.500 --> 00:03:56.500]  我們沒有時間去講那個了
[00:03:56.500 --> 00:04:01.500]  我們只是把這個要注意的地方提出來
[00:04:01.500 --> 00:04:04.500]  我們的重點要集中在
[00:04:04.500 --> 00:04:11.500]  如何尋求神對我自己的特殊的旨意
[00:04:11.500 --> 00:04:15.500]  那麼面對人生道路的選擇的時候
[00:04:15.500 --> 00:04:18.500]  特別是在最重要的時刻
[00:04:18.500 --> 00:04:19.500]  重要的關頭
[00:04:19.500 --> 00:04:21.500]  重要的問題上
[00:04:21.500 --> 00:04:25.500]  譬如說我大學畢業了
[00:04:25.500 --> 00:04:29.500]  我選擇職業應該怎麼選擇呢?
[00:04:29.500 --> 00:04:35.500]  面對婚姻我應該怎麼樣選擇對象呢?
