
[00:00:00.000 --> 00:00:01.540]  首先我和大家思想
[00:00:01.540 --> 00:00:07.120]  就是曾經提到這位神是喜悅施恩的上帝
[00:00:07.120 --> 00:00:09.920]  我們常常都說我們所信靠的神
[00:00:09.920 --> 00:00:13.280]  是一位自由永久的神
[00:00:13.280 --> 00:00:17.600]  這位上帝是完全自我足夠的
[00:00:17.600 --> 00:00:20.960]  祂不需要我們加添什麼給祂
[00:00:20.960 --> 00:00:22.600]  我們常常說我們服侍神
[00:00:22.600 --> 00:00:24.000]  我們奉獻的時候
[00:00:24.000 --> 00:00:25.800]  不要以為神有些缺乏
[00:00:25.800 --> 00:00:27.720]  所以我們去幫助下神
[00:00:27.720 --> 00:00:29.720]  幫補下神
[00:00:29.720 --> 00:00:32.360]  祂是完全自我足夠的
[00:00:32.360 --> 00:00:36.280]  不需要我們加添什麼給祂
[00:00:36.280 --> 00:00:37.400]  另一方面我們常常說
[00:00:37.400 --> 00:00:40.800]  這位上帝是豐盛的上帝
[00:00:40.800 --> 00:00:44.200]  一切的豐盛藏在祂的裡面
[00:00:44.200 --> 00:00:45.600]  當祂去付出
[00:00:45.600 --> 00:00:47.320]  當祂去賜予的時候
[00:00:47.320 --> 00:00:49.000]  不因為祂分了出去
[00:00:49.000 --> 00:00:51.360]  祂會減少了一些
[00:00:51.360 --> 00:00:55.640]  因為祂本身就是一切一切的全元
[00:00:55.640 --> 00:00:57.680]  全元是永留不絕的
[00:00:57.680 --> 00:00:59.200]  不因為祂付出了
[00:00:59.200 --> 00:01:01.040]  因此祂減少了
[00:01:01.040 --> 00:01:02.160]  當祂付出的時候
[00:01:02.160 --> 00:01:06.160]  祂仍然是完全的豐富
[00:01:06.160 --> 00:01:09.160]  這位上帝當祂要施恩的時候
[00:01:09.160 --> 00:01:10.720]  聖經清楚描述
[00:01:10.720 --> 00:01:13.440]  祂是一位不吝惜的上帝
[00:01:13.440 --> 00:01:14.640]  祂不會計較一下
[00:01:14.640 --> 00:01:15.560]  給多了一點點
[00:01:15.560 --> 00:01:17.560]  不行 收回
[00:01:17.560 --> 00:01:18.800]  祂是很願意給我們
[00:01:18.800 --> 00:01:21.280]  而且聖經描述祂是很快樂地
[00:01:21.280 --> 00:01:25.040]  將恩典賜給願意接受的人
[00:01:25.040 --> 00:01:28.280]  因此這位上帝很願意將恩典賜下
[00:01:28.280 --> 00:01:29.640]  但聖經勉勵我們
[00:01:29.640 --> 00:01:31.400]  詩篇34篇說
[00:01:31.400 --> 00:01:34.600]  「你們要嘗嘗主恩的滋味
[00:01:34.600 --> 00:01:38.000]  就知道祂是美善」
[00:01:38.000 --> 00:01:39.520]  沒錯 神願意施恩
[00:01:39.520 --> 00:01:41.440]  但有些時候我們不願意接受
[00:01:41.440 --> 00:01:44.000]  聖經勉勵我們要嘗嘗
[00:01:44.000 --> 00:01:47.080]  神的恩典是多麼美善
