
[00:00:00.000 --> 00:00:01.360]  我們今天一起思想的是
[00:00:01.360 --> 00:00:03.200]  路加菲安第二章
[00:00:03.200 --> 00:00:07.920]  兩個渴慕神等候神的人物
[00:00:07.920 --> 00:00:09.280]  一位是西冕
[00:00:09.280 --> 00:00:10.800]  另一位是阿娜
[00:00:10.800 --> 00:00:14.160]  在思想兩位的人物之前
[00:00:14.160 --> 00:00:16.240]  我們先思想一件事
[00:00:16.240 --> 00:00:18.720]  就是剛才所提及的渴慕神
[00:00:18.720 --> 00:00:21.040]  這個重要的訊息
[00:00:21.040 --> 00:00:22.800]  在聖誕節的時候
[00:00:22.800 --> 00:00:24.880]  相信大家都有很多不同的假期
[00:00:24.880 --> 00:00:27.360]  可以和你所愛的親人朋友
[00:00:27.360 --> 00:00:29.680]  相聚開心聊天快樂
[00:00:30.240 --> 00:00:32.000]  但同時你也有空間
[00:00:32.000 --> 00:00:34.160]  你可以自己安靜下來
[00:00:34.160 --> 00:00:37.040]  讓自己的心靈能夠安定
[00:00:37.040 --> 00:00:39.040]  去思念主
[00:00:39.040 --> 00:00:41.280]  去想念祂的恩惠
[00:00:41.280 --> 00:00:43.920]  是聖誕節很適合做的事情
[00:00:43.920 --> 00:00:45.840]  我自己有機會感謝神
[00:00:45.840 --> 00:00:47.600]  讓我一個星期前
[00:00:47.600 --> 00:00:48.800]  有機會去到一個地方
[00:00:48.800 --> 00:00:50.800]  稍微有一點點的退休
[00:00:50.800 --> 00:00:53.360]  在當中有一段獨處的時間
[00:00:53.360 --> 00:00:54.320]  去到房間
[00:00:54.320 --> 00:00:56.560]  發覺有一個金句牌
[00:00:56.560 --> 00:00:58.160]  用英文寫在上面
[00:00:58.160 --> 00:01:00.160]  有一字的金句寫了
[00:01:00.160 --> 00:01:01.680]  它說
[00:01:01.680 --> 00:01:05.840]  I love you with an everlasting love
[00:01:05.840 --> 00:01:07.680]  神對我們說
[00:01:07.680 --> 00:01:10.800]  我以永遠的愛愛你
[00:01:10.800 --> 00:01:13.120]  神對人的愛
[00:01:13.120 --> 00:01:15.440]  不是一些會改變的愛
