
[00:00:00.000 --> 00:00:04.000]  我們今天會一起再思想有關猜拳的訊息
[00:00:04.000 --> 00:00:09.000]  大家都記得我們剛剛完結猜拳年會是第幾屆?
[00:00:09.000 --> 00:00:11.000]  第五十屆
[00:00:11.000 --> 00:00:13.000]  如果你在教會一段時間
[00:00:13.000 --> 00:00:18.000]  你會知道北宣家非常重視宣教猜拳
[00:00:18.000 --> 00:00:20.000]  我記得在很多年前
[00:00:20.000 --> 00:00:24.000]  當我們的前主任牧師藤近輝牧師退休了
[00:00:24.000 --> 00:00:30.000]  他特別寫了一句話留給北宣家
[00:00:30.000 --> 00:00:34.000]  這句話很簡單但很深刻在我心裏
[00:00:34.000 --> 00:00:39.000]  他就說永不減弱北宣的脈搏
[00:00:39.000 --> 00:00:43.000]  一話全服音
[00:00:43.000 --> 00:00:46.000]  他用脈搏形容全服音
[00:00:46.000 --> 00:00:49.000]  大家都知道如果你的脈搏是全服音
[00:00:49.000 --> 00:00:54.000]  突然間減弱了或不規則地跳動
[00:00:54.000 --> 00:00:57.000]  你會很擔心很危險
[00:00:57.000 --> 00:01:00.000]  然後牧師就說一間教會特別是北宣家
[00:01:00.000 --> 00:01:04.000]  如果我們減弱了投入宣教
[00:01:04.000 --> 00:01:06.000]  投入全方位的事情
[00:01:06.000 --> 00:01:09.000]  我們的脈搏就會出問題
[00:01:09.000 --> 00:01:14.000]  所以他說永不減弱北宣家的脈搏
[00:01:14.000 --> 00:01:17.000]  就是繼續全陽服音
[00:01:17.000 --> 00:01:20.000]  弟兄姊妹在我們的生活裏面
[00:01:20.000 --> 00:01:21.000]  我們都會體會到
[00:01:21.000 --> 00:01:24.000]  我們有時會關心宣教的事情
[00:01:24.000 --> 00:01:26.000]  但有什麼困難出現
[00:01:26.000 --> 00:01:28.000]  或者生活有什麼問題
[00:01:28.000 --> 00:01:34.000]  我們很自然將那個關注轉移到自己身上
[00:01:34.000 --> 00:01:36.000]  但當你回到教會
[00:01:36.000 --> 00:01:37.000]  在最早期
[00:01:37.000 --> 00:01:40.000]  當開始猜拳的時候
[00:01:40.000 --> 00:01:44.000]  不是因為當時教會經濟充裕
[00:01:44.000 --> 00:01:47.000]  或者當時很多教會的發展很成熟
[00:01:47.000 --> 00:01:51.000]  所以就現在開始參與猜拳
[00:01:51.000 --> 00:01:52.000]  其實在早年的時候
[00:01:52.000 --> 00:01:56.000]  1957年教會剛剛開始了五年時間
[00:01:56.000 --> 00:02:00.000]  整個教會當時的經濟很緊絀
[00:02:00.000 --> 00:02:02.000]  但教會知道有一個需要
[00:02:02.000 --> 00:02:05.000]  就是在偏遠的離島
[00:02:05.000 --> 00:02:07.000]  在一些地方
[00:02:07.000 --> 00:02:10.000]  就是偏遠的離島
[00:02:10.000 --> 00:02:12.000]  在大澳的地方
[00:02:12.000 --> 00:02:14.000]  有一個宣道會
[00:02:14.000 --> 00:02:18.000]  他們的福音經費是嚴重不足的
[00:02:18.000 --> 00:02:20.000]  在那個時候
[00:02:20.000 --> 00:02:23.000]  教會雖然本身經濟很緊
[00:02:23.000 --> 00:02:26.000]  據很多同工說
[00:02:26.000 --> 00:02:28.000]  在當時教會有的餘款
[00:02:28.000 --> 00:02:31.000]  很緊張地保留些少餘款
[00:02:31.000 --> 00:02:33.000]  是200大元
[00:02:33.000 --> 00:02:35.000]  200元
[00:02:35.000 --> 00:02:37.000]  就是200元
[00:02:37.000 --> 00:02:40.000]  但當時林錦麥博士帶領著教會
[00:02:40.000 --> 00:02:44.000]  決定每一個月支持大澳宣道會
[00:02:44.000 --> 00:02:47.000]  每個月70元
[00:02:47.000 --> 00:02:49.000]  那你說70元
[00:02:49.000 --> 00:02:52.000]  70元可以支持多少個月?
[00:02:52.000 --> 00:02:54.000]  200元
[00:02:54.000 --> 00:02:56.000]  三個月?
[00:02:56.000 --> 00:02:57.000]  不是
[00:02:57.000 --> 00:02:59.000]  是一直這樣支持
[00:02:59.000 --> 00:03:02.000]  因為後來教會很清楚經歷到
[00:03:02.000 --> 00:03:04.000]  在福音的事實上
[00:03:04.000 --> 00:03:06.000]  我們擺上
[00:03:06.000 --> 00:03:08.000]  去關心神所關心的事
[00:03:08.000 --> 00:03:11.000]  神就關心教會的事情
[00:03:11.000 --> 00:03:13.000]  在教會開始猜拳的服事
[00:03:13.000 --> 00:03:15.000]  奉獻之餘
[00:03:15.000 --> 00:03:18.000]  發覺神不斷將新的資源
[00:03:18.000 --> 00:03:19.000]  加給教會
[00:03:19.000 --> 00:03:21.000]  而教會在過去這麼多年
[00:03:21.000 --> 00:03:25.000]  經歷上給我們很豐足的預備
[00:03:25.000 --> 00:03:28.000]  這也是教會很多年的體會
[00:03:28.000 --> 00:03:31.000]  就是何時你關心神的事
[00:03:31.000 --> 00:03:34.000]  神會關心你的事
[00:03:34.000 --> 00:03:37.000]  何時你只關心自己的事
[00:03:37.000 --> 00:03:39.000]  神就讓你自己
[00:03:39.000 --> 00:03:42.000]  單獨去關心自己的事
[00:03:42.000 --> 00:03:44.000]  同樣對教會來說
[00:03:44.000 --> 00:03:47.000]  何時教會懂得關心神的事
[00:03:47.000 --> 00:03:48.000]  我們常常說
[00:03:48.000 --> 00:03:50.000]  神的心就是猜拳
[00:03:50.000 --> 00:03:54.000]  何時懂得關心神所關心猜拳的事
[00:03:54.000 --> 00:03:56.000]  神都會供應教會一切的需要
[00:03:56.000 --> 00:03:58.000]  一切的缺乏
[00:03:58.000 --> 00:04:02.000]  我相信這不是一個純粹的理念
[00:04:02.000 --> 00:04:04.000]  而是很多教會
[00:04:04.000 --> 00:04:06.000]  他們真的聽從神的吩咐
[00:04:06.000 --> 00:04:09.000]  來到投身宣教的事上的時候
[00:04:09.000 --> 00:04:11.000]  他們親身經歷
[00:04:11.000 --> 00:04:15.000]  而我們的教會也是如此的經歷
[00:04:15.000 --> 00:04:17.000]  頂尖我們今天思想的
