
[00:00:00.000 --> 00:00:03.080]  今天是年初四的日子
[00:00:03.080 --> 00:00:06.800]  在中國人的新年見到面都會說一些祝福的話
[00:00:06.800 --> 00:00:09.840]  我在此也說一句祝福的話
[00:00:09.840 --> 00:00:13.480]  我也希望今天教會講題的主題
[00:00:13.480 --> 00:00:17.640]  不只是停留在講道的主題裏面
[00:00:17.640 --> 00:00:19.360]  也希望成為大家的祝福
[00:00:19.360 --> 00:00:22.280]  就是願大家在人生裏面
[00:00:22.280 --> 00:00:25.080]  是以主為榮的一個人生
[00:00:25.080 --> 00:00:28.600]  願這一句話成為你們的祝福
[00:00:28.600 --> 00:00:30.480]  希望你們真的能夠在人生裏面
[00:00:30.480 --> 00:00:31.920]  是以主為榮
[00:00:31.920 --> 00:00:34.000]  我以信靠耶穌為榮
[00:00:34.000 --> 00:00:38.760]  我以榮耀上帝為我人生的一個很重要的方向
[00:00:38.760 --> 00:00:41.400]  在今天我們所讀的這段經文
[00:00:41.400 --> 00:00:46.360]  記載在哥倫多前書的第六章十二至十二十節
[00:00:46.360 --> 00:00:49.320]  其實哥倫多前書有十六章的聖經
[00:00:49.320 --> 00:00:51.040]  可以分開為兩部分
[00:00:51.040 --> 00:00:53.520]  第一部分是第一至第六章
[00:00:53.520 --> 00:00:56.320]  第二部分是第七章至十六章
[00:00:57.320 --> 00:00:59.680]  第一第六章的十二至二十節
[00:00:59.680 --> 00:01:02.160]  可以說是第一部分的總結
[00:01:02.160 --> 00:01:06.280]  但另一方面也有丞相啟下的作用
[00:01:06.280 --> 00:01:11.760]  第七至十六章裏面的教導內容
[00:01:11.760 --> 00:01:14.120]  其實在這九節的經文裏面
[00:01:14.120 --> 00:01:18.400]  都可以找到一些引言
[00:01:18.400 --> 00:01:20.600]  在第十三節裏說
[00:01:20.600 --> 00:01:23.800]  「食物是為禱福,禱福是為了食物
[00:01:23.800 --> 00:01:26.880]  但上帝叫者兩樣都廢還
[00:01:27.240 --> 00:01:29.960]  這裏關於食物的問題
[00:01:29.960 --> 00:01:31.960]  在第八章至第十章裏面
[00:01:31.960 --> 00:01:38.000]  講到保羅討論信徒應不應該吃拜偶像的食物
[00:01:38.000 --> 00:01:41.320]  第十五節裏說
[00:01:41.320 --> 00:01:45.320]  「神既然已經用他的能力使主復活
