
[00:00:00.000 --> 00:00:03.720]  我們會繼續思想到登山補訓的訊息
[00:00:03.720 --> 00:00:08.200]  我們昨天提到關於第五章的第一到第十六節
[00:00:08.200 --> 00:00:11.400]  我們提到我們是炎,我們是光
[00:00:11.400 --> 00:00:14.240]  這個身份,縱使我們喜歡與否
[00:00:14.240 --> 00:00:16.560]  神已經賜給了我們
[00:00:16.560 --> 00:00:18.120]  因此我們可以放心
[00:00:18.120 --> 00:00:21.680]  憑著信心去領受神給我們的應許
[00:00:21.680 --> 00:00:25.400]  因此我們說八福就是帶著恩典的應許
[00:00:25.400 --> 00:00:27.400]  是神樂意賜給我們的
[00:00:27.400 --> 00:00:30.920]  我們只管很放心,來到去憑信心
[00:00:30.920 --> 00:00:33.240]  殷勤地去追求得著
[00:00:33.240 --> 00:00:35.880]  神就必賜給我們
[00:00:35.880 --> 00:00:37.560]  當我們完了這個八福之後
[00:00:37.560 --> 00:00:39.200]  聖經就落到另一段的經文
[00:00:39.200 --> 00:00:42.560]  就提到關於我們的生命的意義的問題
[00:00:42.560 --> 00:00:43.640]  因此我們的題目就是
[00:00:43.640 --> 00:00:49.680]  超越民事的義,和睦順政和忠貞
[00:00:49.680 --> 00:00:51.760]  昨天看報紙的時候留意到一件事情
[00:00:51.760 --> 00:00:53.480]  大家可能都留意到
[00:00:53.480 --> 00:00:57.480]  就提及到在韓國最近有一個特別的現象
[00:00:57.480 --> 00:01:00.080]  就是發覺最近有很多高中學生
[00:01:00.080 --> 00:01:03.760]  是踴躍地去捐血
[00:01:03.760 --> 00:01:04.480]  很多人就說
[00:01:04.480 --> 00:01:07.560]  為什麼這些少年人突然間這麼愛惜這個社會呢?
[00:01:07.560 --> 00:01:10.760]  這麼關心這個需要呢?
[00:01:10.760 --> 00:01:14.560]  但後來發覺不是什麼關心
[00:01:14.560 --> 00:01:17.840]  是因為最近大學的入學指引
[00:01:17.840 --> 00:01:20.480]  提出一個新的方向
[00:01:20.480 --> 00:01:22.520]  就是說如果入學的學生
[00:01:22.520 --> 00:01:26.280]  有好的社會服務的記錄
[00:01:26.280 --> 00:01:28.960]  就會容易被取錄
[00:01:28.960 --> 00:01:33.040]  這個社會服務是包括了捐血
[00:01:33.040 --> 00:01:34.440]  所以有捐血的人
[00:01:34.440 --> 00:01:36.840]  是被認為有社會服務的記錄
[00:01:36.840 --> 00:01:40.880]  因此比較容易被取錄進大學
[00:01:40.880 --> 00:01:42.240]  這個指引一出之後
[00:01:42.240 --> 00:01:45.960]  很多學生就蜂擁去捐血
[00:01:45.960 --> 00:01:47.920]  當然捐血是好事
[00:01:47.920 --> 00:01:49.320]  但背後的動機
[00:01:49.320 --> 00:01:52.560]  如果單單是為了自己能夠入學
[00:01:52.560 --> 00:01:56.080]  這個都是很大的問題
[00:01:56.080 --> 00:01:57.760]  我記得有一次
[00:01:57.760 --> 00:01:59.000]  有一位弟兄
[00:01:59.000 --> 00:02:00.200]  一位老弟兄
[00:02:00.200 --> 00:02:03.800]  他在教會裏面很多時候出席很多聚會
[00:02:03.800 --> 00:02:05.960]  祈禱會 崇拜等等
[00:02:05.960 --> 00:02:08.720]  有一次他請我去到醫院當中
[00:02:08.720 --> 00:02:13.200]  去為他臨終病危的太太來祈禱
[00:02:13.200 --> 00:02:16.080]  我很樂意去為他的太太祈禱
[00:02:16.080 --> 00:02:17.840]  去到醫院的時候
[00:02:17.840 --> 00:02:20.440]  這位弟兄就跟我說
[00:02:20.440 --> 00:02:22.320]  「我太太很心硬
[00:02:22.320 --> 00:02:24.080]  一直都不肯信耶穌
[00:02:24.080 --> 00:02:25.760]  你幫我講一下吧」
[00:02:25.760 --> 00:02:26.760]  我說「試試吧」
[00:02:26.760 --> 00:02:29.600]  嘗試為她來講福音
[00:02:29.600 --> 00:02:30.840]  去到的時候我就發覺
[00:02:30.840 --> 00:02:33.760]  這個先生一去到醫院病床旁邊
[00:02:33.760 --> 00:02:36.600]  他就沒有理會自己的太太
[00:02:36.600 --> 00:02:38.360]  也沒有跟她聊天
[00:02:38.360 --> 00:02:40.880]  這位太太似乎都想避開自己的先生
[00:02:40.880 --> 00:02:42.480]  將面子轉去另一邊
[00:02:42.480 --> 00:02:44.560]  不想跟他接觸
[00:02:44.560 --> 00:02:48.560]  因此這位先生就去了病房外面的騎樓
[00:02:48.560 --> 00:02:50.520]  在那裏祈禱
[00:02:50.520 --> 00:02:52.120]  很敬虔地來祈禱
[00:02:52.120 --> 00:02:56.360]  我相信他是為太太的信主來祈禱也未必
[00:02:56.360 --> 00:02:57.680]  我嘗試跟他太太聊天
[00:02:57.680 --> 00:02:59.240]  太太似乎不太接受
[00:02:59.240 --> 00:03:01.920]  後來突然間他的女兒又出現
[00:03:01.920 --> 00:03:03.200]  這個女兒已經結婚
[00:03:03.200 --> 00:03:05.680]  來到的時候見到媽媽這樣的情況
[00:03:05.680 --> 00:03:07.120]  就很難過
[00:03:07.120 --> 00:03:09.320]  聊天的時候就流出眼淚
[00:03:09.320 --> 00:03:10.160]  「媽媽對不起
[00:03:10.160 --> 00:03:11.920]  我有自己的頭家顧不到你
[00:03:11.920 --> 00:03:13.840]  關心不到你」
[00:03:13.840 --> 00:03:16.440]  接著我就跟這位女士聊天
[00:03:16.440 --> 00:03:20.040]  這位女士就不斷向我埋怨投訴她的爸爸
[00:03:20.040 --> 00:03:23.040]  怎樣輕視忽視她媽媽的需要
[00:03:23.040 --> 00:03:24.520]  沒有照顧她
[00:03:24.520 --> 00:03:27.320]  因此令她很憤怒
[00:03:27.320 --> 00:03:29.640]  當我再嘗試去觀察各種情況
[00:03:29.640 --> 00:03:31.640]  跟這個家庭接觸的時候
