
[00:00:00.000 --> 00:00:05.000]  怎樣尋求神對我的旨意
[00:00:05.000 --> 00:00:09.000]  神的旨意有兩種
[00:00:09.000 --> 00:00:13.000]  一種是一般性的旨意
[00:00:13.000 --> 00:00:23.000]  第二個是
[00:00:29.000 --> 00:00:32.000]  一個是general 一個是specific
[00:00:32.000 --> 00:00:36.000]  一個是一般性的 一個是特殊性的
[00:00:36.000 --> 00:00:40.000]  那麼這兩方面我們都要了解
[00:00:40.000 --> 00:00:41.000]  為什麼呢
[00:00:41.000 --> 00:00:47.000]  因為神對我的個別的特殊的旨意
[00:00:47.000 --> 00:00:51.000]  一定不會違反他的一般性的旨意
[00:00:51.000 --> 00:00:55.000]  所以這兩樣絕對不會互相矛盾
[00:00:55.000 --> 00:00:58.000]  互相衝突 絕對不會
[00:00:58.000 --> 00:01:01.000]  我們把那個衝突矛盾
[00:01:01.000 --> 00:01:04.000]  不一致的可能性先把它去掉
[00:01:04.000 --> 00:01:06.000]  那就是說
[00:01:06.000 --> 00:01:13.000]  我們如果要了解神對我個人的特殊的旨意之前
[00:01:13.000 --> 00:01:18.000]  要先知道神的一般性的旨意
[00:01:18.000 --> 00:01:20.000]  那就是在聖經裡面
[00:01:20.000 --> 00:01:23.000]  神向我們說賢明的心意
[00:01:23.000 --> 00:01:26.000]  我們沒有時間去講那個了
[00:01:26.000 --> 00:01:31.000]  我們只是把這個要注意的地方提出來
[00:01:31.000 --> 00:01:34.000]  我們的重點要集中在
[00:01:34.000 --> 00:01:41.000]  如何尋求神對我自己的特殊的旨意
[00:01:41.000 --> 00:01:45.000]  當我們面對人生道路的選擇的時候
[00:01:45.000 --> 00:01:48.000]  特別是在最重要的時刻
[00:01:48.000 --> 00:01:51.000]  重要的關頭 重要的問題上
[00:01:51.000 --> 00:01:55.000]  譬如說我大學畢業了
[00:01:55.000 --> 00:01:59.000]  我選擇置業應該怎麼選擇呢
[00:01:59.000 --> 00:02:05.000]  面對婚姻我應該怎麼樣選擇對象呢
[00:02:05.000 --> 00:02:12.000]  或者有一些在置業上有重大的轉變的時刻
[00:02:12.000 --> 00:02:16.000]  我應該怎麼樣去選擇呢
[00:02:16.000 --> 00:02:18.000]  如果一個基督徒不愛走
[00:02:18.000 --> 00:02:20.000]  他就沒有這個問題
[00:02:20.000 --> 00:02:22.000]  他就不管是不是神的旨意
[00:02:22.000 --> 00:02:24.000]  這樣說我的意思就好了
[00:02:24.000 --> 00:02:26.000]  但是一個愛主的基督徒
[00:02:26.000 --> 00:02:28.000]  他有個基本的態度
[00:02:28.000 --> 00:02:30.000]  就是要遵行神的旨意
[00:02:30.000 --> 00:02:33.000]  因此他要尋求
[00:02:33.000 --> 00:02:36.000]  一尋求的時候問題就來了
[00:02:36.000 --> 00:02:38.000]  不曉得怎麼樣入手
[00:02:38.000 --> 00:02:40.000]  怎麼樣去仰望
[00:02:40.000 --> 00:02:43.000]  怎麼樣去知道神的旨意
[00:02:43.000 --> 00:02:46.000]  這是一個很具體的 很現實的
[00:02:46.000 --> 00:02:52.000]  很重要的和我們每個人都有關係的問題
[00:02:52.000 --> 00:02:56.000]  好 現在我要提第一方面
[00:02:56.000 --> 00:02:59.000]  就是一些基本的認識
[00:02:59.000 --> 00:03:07.000]  關於尋求神對我自己特殊的旨意的一些基本的認識
[00:03:07.000 --> 00:03:09.000]  第一個基本的認識
[00:03:09.000 --> 00:03:18.000]  就是我們相信神為每一個屬祂的人有祂的計劃
[00:03:18.000 --> 00:03:23.000]  神為每一個祂的人都有祂的計劃
[00:03:23.000 --> 00:03:28.000]  這是一個先決的基本性的認識
[00:03:28.000 --> 00:03:30.000]  當我們這樣講的時候
[00:03:30.000 --> 00:03:32.000]  有聖經的根據嗎
[00:03:32.000 --> 00:03:34.000]  我們看
[00:03:34.000 --> 00:03:44.000]  詩篇三十一篇十五節
[00:03:44.000 --> 00:03:48.000]  我終身的事在祢手中
[00:03:48.000 --> 00:03:50.000]  我終身的事
[00:03:50.000 --> 00:03:53.000]  我一生一世的事
[00:03:53.000 --> 00:03:57.000]  都在神的手中
[00:03:57.000 --> 00:04:00.000]  所以神為你有計劃
[00:04:00.000 --> 00:04:04.000]  神為我有計劃
[00:04:04.000 --> 00:04:08.000]  也許我們會想
[00:04:08.000 --> 00:04:10.000]  世界上這麼多人
[00:04:10.000 --> 00:04:14.000]  每個人的人生裡面有那麼多細微的事
[00:04:14.000 --> 00:04:20.000]  難道神注意每一個基督徒一生之中大小的事嗎
[00:04:20.000 --> 00:04:24.000]  祂能夠注意到那麼多嗎
[00:04:24.000 --> 00:04:26.000]  想到這個問題的時候
[00:04:26.000 --> 00:04:29.000]  有一節聖經可以幫助我們
[00:04:29.000 --> 00:04:34.000]  那就是神注意最微小的事
[00:04:34.000 --> 00:04:39.000]  請大家翻到詩篇一百四十七篇
[00:04:39.000 --> 00:04:42.000]  一百四十七篇
[00:04:42.000 --> 00:04:46.000]  第三節第四節
[00:04:46.000 --> 00:04:50.000]  一百四十七篇三四兩節
[00:04:50.000 --> 00:04:52.000]  他醫好傷心的人
[00:04:52.000 --> 00:04:55.000]  裹好他們的傷處
[00:04:55.000 --> 00:04:56.000]  第四節
[00:04:56.000 --> 00:04:59.000]  他數點星數的數目
[00:04:59.000 --> 00:05:02.000]  一一稱他的名
[00:05:02.000 --> 00:05:05.000]  這兩節連在一起有重大的意義
[00:05:05.000 --> 00:05:07.000]  第三節是說
[00:05:07.000 --> 00:05:12.000]  神關心我們的痛苦
[00:05:12.000 --> 00:05:15.000]  跟著第四節就說
[00:05:15.000 --> 00:05:18.000]  天上的星數很多很多
[00:05:18.000 --> 00:05:22.000]  千千萬萬千千萬萬
[00:05:22.000 --> 00:05:26.000]  但是祂一一稱祂的名
[00:05:26.000 --> 00:05:31.000]  祂每一顆星都知道都認識
[00:05:31.000 --> 00:05:33.000]  而且給祂起名
[00:05:33.000 --> 00:05:37.000]  這就表示宇宙雖然很大
