
[00:00:00.000 --> 00:00:02.000]  感謝神的恩典
[00:00:02.000 --> 00:00:05.000]  也讓我和各位姐妹分享聖經的訊息
[00:00:05.000 --> 00:00:10.000]  其實今天是教會年曆的聖靈降臨節
[00:00:10.000 --> 00:00:14.000]  所以你會發覺很多詩歌都和聖靈有關
[00:00:14.000 --> 00:00:17.000]  或者讀的讀經都是和聖靈有關
[00:00:17.000 --> 00:00:21.000]  但是我的講道就不是直接和聖靈有關
[00:00:21.000 --> 00:00:25.000]  我祈禱和思考的時候
[00:00:25.000 --> 00:00:28.000]  講道的題目就是回歸基本信仰
[00:00:28.000 --> 00:00:32.000]  一個我想大家都很熟悉的題目
[00:00:32.000 --> 00:00:35.000]  或者講的東西你都以為是很基本的
[00:00:35.000 --> 00:00:41.000]  我希望如果你覺得你都懂的時候
[00:00:41.000 --> 00:00:43.000]  你當溫故知新
[00:00:43.000 --> 00:00:47.000]  又或者你都很想在靈命上進心的時候
[00:00:47.000 --> 00:00:50.000]  你都多一個參考
[00:00:50.000 --> 00:00:55.000]  去看看會不會真的能夠幫到你經歷神更加多
[00:00:55.000 --> 00:00:59.000]  我就用《耳筆所書》第四章第十一到十六節
[00:00:59.000 --> 00:01:01.000]  我講道的內容有三個部份
[00:01:01.000 --> 00:01:07.000]  第一個就是抗煽形、瞞逃形的安提訛教會
[00:01:07.000 --> 00:01:08.000]  第二個部份就是
[00:01:08.000 --> 00:01:12.000]  怎樣成為有抗煽力的教會呢?
[00:01:12.000 --> 00:01:13.000]  第三個部份就是
[00:01:13.000 --> 00:01:16.000]  信徒要回歸基本的信仰
[00:01:16.000 --> 00:01:19.000]  所以其實我說回歸基本信仰
[00:01:19.000 --> 00:01:25.000]  這個目標其實是指向教會的更新
[00:01:25.000 --> 00:01:27.000]  好像剛才那首歌
[00:01:27.000 --> 00:01:31.000]  主耶穌願你充滿群揚
[00:01:31.000 --> 00:01:33.000]  就是說耶穌的靈
[00:01:33.000 --> 00:01:35.000]  是充滿在每一個信徒的心裏面
[00:01:35.000 --> 00:01:37.000]  亦都是充滿在教會裏面
[00:01:37.000 --> 00:01:40.000]  使到教會更加有它的抗煽力
[00:01:40.000 --> 00:01:45.000]  有它的能力去吸引更多的人去歸向耶穌
[00:01:45.000 --> 00:01:47.000]  首先第一個部份就是成為
[00:01:47.000 --> 00:01:50.000]  抗煽形、瞞逃形的安提訛教會
[00:01:50.000 --> 00:01:55.000]  我是很有興趣看其他人寫的東西
[00:01:55.000 --> 00:01:57.000]  在台灣有一個牧師叫夏宗堅牧師
[00:01:57.000 --> 00:01:58.000]  可能你們有人聽過他
[00:01:58.000 --> 00:02:00.000]  他寫了很多書
[00:02:00.000 --> 00:02:03.000]  他有一次在德國的漢諾威參觀
[00:02:03.000 --> 00:02:06.000]  他去看到一些工業展
[00:02:06.000 --> 00:02:09.000]  原來有些叫工業的1.0
[00:02:09.000 --> 00:02:10.000]  是甚麼呢?
[00:02:10.000 --> 00:02:11.000]  就是在工業革命
[00:02:11.000 --> 00:02:15.000]  在1712年到1912年之間的工業1.0
[00:02:15.000 --> 00:02:18.000]  又有工業2.0是甚麼呢?
[00:02:18.000 --> 00:02:19.000]  就是能源革命
[00:02:19.000 --> 00:02:22.000]  在1913年到1968年
[00:02:22.000 --> 00:02:25.000]  後面還有一個工業的3.0
[00:02:25.000 --> 00:02:27.000]  就是資訊革命
[00:02:27.000 --> 00:02:29.000]  1969年到2012年
[00:02:29.000 --> 00:02:32.000]  然後工業的4.0是甚麼呢?
[00:02:32.000 --> 00:02:33.000]  製造服務業的革命
[00:02:33.000 --> 00:02:35.000]  是2013年到現在
[00:02:35.000 --> 00:02:37.000]  不斷在演進
[00:02:37.000 --> 00:02:41.000]  你看見工業的形態在變化
[00:02:41.000 --> 00:02:44.000]  就讓他更加深去反省
[00:02:44.000 --> 00:02:47.000]  教會有沒有一個演進的歷程
[00:02:47.000 --> 00:02:51.000]  所以他就發展了一個這樣的觀念出來
[00:02:51.000 --> 00:02:52.000]  就叫教會1.0
[00:02:52.000 --> 00:02:53.000]  教會2.0
[00:02:53.000 --> 00:02:54.000]  教會3.0
[00:02:54.000 --> 00:02:55.000]  教會4.0
[00:02:55.000 --> 00:02:56.000]  教會5.0
[00:02:56.000 --> 00:02:59.000]  我覺得他很有創意
[00:02:59.000 --> 00:03:01.000]  我就參考他的觀念
[00:03:01.000 --> 00:03:03.000]  加一些我個人的意見
[00:03:03.000 --> 00:03:05.000]  教會1.0是甚麼呢?
[00:03:05.000 --> 00:03:08.000]  就是宗教型聚會型的教會
[00:03:08.000 --> 00:03:11.000]  在視錄裏面有一間教會
[00:03:11.000 --> 00:03:13.000]  可以叫做對後入座的
[00:03:13.000 --> 00:03:15.000]  就是老底家教會
[00:03:15.000 --> 00:03:18.000]  宗教型的教會是有固定的形式
[00:03:18.000 --> 00:03:21.000]  我們有些學問叫做宗教社會學
[00:03:21.000 --> 00:03:23.000]  從宗教社會學的角度來說
[00:03:23.000 --> 00:03:25.000]  這些宗教型的教會
[00:03:25.000 --> 00:03:28.000]  就提供社會上的宗教功能
[00:03:28.000 --> 00:03:30.000]  就是穩定社會
[00:03:30.000 --> 00:03:31.000]  就是這些
[00:03:31.000 --> 00:03:33.000]  好像中世紀那樣
[00:03:33.000 --> 00:03:36.000]  每個市民都是教徒
[00:03:36.000 --> 00:03:39.000]  他們非常清晰
[00:03:39.000 --> 00:03:42.000]  生活是很規律化的
[00:03:42.000 --> 00:03:44.000]  所以就沒甚麼變化
[00:03:44.000 --> 00:03:45.000]  你回了崇拜
[00:03:45.000 --> 00:03:48.000]  就是完成了一個星期要做的事
[00:03:48.000 --> 00:03:50.000]  是很形式化的
[00:03:50.000 --> 00:03:53.000]  教會2.0是甚麼呢?
[00:03:53.000 --> 00:03:56.000]  就是事工型活動型的教會
[00:03:56.000 --> 00:03:57.000]  在新約裏面
[00:03:57.000 --> 00:04:00.000]  就可以配對到哥林多教會
[00:04:00.000 --> 00:04:03.000]  近年教會的增長理論
[00:04:03.000 --> 00:04:06.000]  就是說我們要針對會眾的需要
[00:04:06.000 --> 00:04:08.000]  或者受眾的需要
[00:04:08.000 --> 00:04:12.000]  然後就去做我們的工作
[00:04:12.000 --> 00:04:16.000]  當教會是引進市場拓展的觀念
[00:04:16.000 --> 00:04:18.000]  去營運教會的時候
[00:04:18.000 --> 00:04:20.000]  教會的事工活動
[00:04:20.000 --> 00:04:23.000]  都是要針對受眾的需要
[00:04:23.000 --> 00:04:24.000]  一定要到位的
[00:04:24.000 --> 00:04:26.000]  你不到位那些人就不來的
[00:04:26.000 --> 00:04:28.000]  所以你會發覺
[00:04:28.000 --> 00:04:31.000]  特別是在北美洲的教會增長理論
[00:04:31.000 --> 00:04:33.000]  是行得通的
[00:04:33.000 --> 00:04:35.000]  但如果你有時聽我說
[00:04:35.000 --> 00:04:37.000]  我就會發覺有實際證據
[00:04:37.000 --> 00:04:39.000]  是行不通的
[00:04:39.000 --> 00:04:42.000]  可能你聽過美國柳溪教會
[00:04:42.000 --> 00:04:44.000]  Willow Creek的教會
[00:04:44.000 --> 00:04:46.000]  其實早幾年他們已經承認了
[00:04:46.000 --> 00:04:48.000]  他們教會的聖經教導
[00:04:48.000 --> 00:04:51.000]  是真的很差很差
[00:04:51.000 --> 00:04:53.000]  所以他們要急謀對策
[00:04:53.000 --> 00:04:55.000]  強化他們的聖經教導
[00:04:55.000 --> 00:04:58.000]  教會3.0是什麼呢
[00:04:58.000 --> 00:05:00.000]  是牧羊型享受型的教會
[00:05:00.000 --> 00:05:02.000]  就好像耶路撒冷教會
[00:05:02.000 --> 00:05:04.000]  這些教會是很內向的
[00:05:04.000 --> 00:05:08.000]  它是單單強調我們信主之後
[00:05:08.000 --> 00:05:10.000]  我們個人就很幸福
