
[00:00:00.000 --> 00:00:04.400]  我們回想上星期讀到第八章的時候
[00:00:04.400 --> 00:00:08.480]  提到以色列人舉行一個駐彭節
[00:00:08.480 --> 00:00:12.960]  在駐彭節裡他們就一起有七天讀神的話
[00:00:12.960 --> 00:00:15.080]  讀完神的話之後
[00:00:15.080 --> 00:00:16.560]  他們很深刻體會到
[00:00:16.560 --> 00:00:20.400]  自己的生活很多地方是違背了神的道
[00:00:20.400 --> 00:00:24.440]  因此他們很願意在神面前認罪
[00:00:24.440 --> 00:00:26.360]  所以在那幾天之後
[00:00:26.360 --> 00:00:28.080]  在七月二十四日
[00:00:28.280 --> 00:00:30.280]  他們就安排一次公開的
[00:00:30.280 --> 00:00:34.080]  全體的禁食凝聚祈禱的聚會
[00:00:34.080 --> 00:00:38.400]  在聚會當中很清楚有一個信息傳達出來
[00:00:38.400 --> 00:00:40.720]  就是「醒察生命」
[00:00:40.720 --> 00:00:43.440]  一講到「醒察」的時候
[00:00:43.440 --> 00:00:44.960]  我自己就想起
[00:00:44.960 --> 00:00:47.520]  一件我們大家都會留意到的事情
[00:00:47.520 --> 00:00:50.560]  就是有一些報道講到香港
[00:00:50.560 --> 00:00:55.000]  香港人的健康水平好像慢慢地下降
[00:00:55.000 --> 00:00:58.120]  很多人的體質好像是減弱了
[00:00:58.680 --> 00:01:02.200]  因此你常常發現在你身邊很多朋友、同事、親人
[00:01:02.200 --> 00:01:05.800]  是久不久就聽到他們會感染一些病
[00:01:05.800 --> 00:01:09.160]  當然我們自己有時候也會感染細菌
[00:01:09.160 --> 00:01:11.400]  在感染的時候
[00:01:11.400 --> 00:01:13.000]  很小心要吃一些藥
[00:01:13.000 --> 00:01:15.760]  希望能夠可以殺滅細菌
[00:01:15.760 --> 00:01:17.440]  可以有健康
[00:01:17.440 --> 00:01:21.240]  我們會有些時候不知不覺受到感染
[00:01:21.240 --> 00:01:23.240]  大家明白
[00:01:23.240 --> 00:01:25.880]  不單止是身體會受到感染
[00:01:25.880 --> 00:01:30.680]  我們的靈性會受到這個世界的感染
[00:01:30.680 --> 00:01:33.440]  我曾經和大家分享過一個經歷
[00:01:33.440 --> 00:01:35.720]  就是我去到一間中學
[00:01:35.720 --> 00:01:37.960]  這間中學有一個展覽
[00:01:37.960 --> 00:01:40.960]  是一些醫療性的醫學上的展覽
[00:01:40.960 --> 00:01:44.280]  我就見到他們邀請一些已經畢業了
[00:01:44.280 --> 00:01:47.600]  讀完醫科的一些醫生回來
[00:01:47.600 --> 00:01:53.240]  去他們的中學展覽那些人體器官的標本
[00:01:54.640 --> 00:01:55.760]  我印象很深刻
[00:01:55.760 --> 00:01:59.680]  我見到他們將肺部的切片放在我的眼前
[00:01:59.680 --> 00:02:02.320]  我就很有興趣看一看
[00:02:02.320 --> 00:02:06.520]  看的時候發覺肺部是黑色的
[00:02:06.520 --> 00:02:08.920]  其中有些地方是白色的
[00:02:08.920 --> 00:02:12.240]  我就很有興趣問醫生
[00:02:12.240 --> 00:02:14.640]  為什麼肺部是黑色的
