
[00:00:00.000 --> 00:00:06.000]  十篇二十二篇第三節這樣說
[00:00:06.000 --> 00:00:11.000]  耶穌華是以以色列的讚美為寶座
[00:00:11.000 --> 00:00:16.000]  神的寶座就是屬他的人的讚美
[00:00:16.000 --> 00:00:19.000]  我心尊主偉大
[00:00:19.000 --> 00:00:24.000]  我的靈以神我的救主為樂
[00:00:24.000 --> 00:00:30.000]  這裡把尊主偉大和心裡快樂連在一起
[00:00:30.000 --> 00:00:32.000]  感謝神
[00:00:32.000 --> 00:00:36.000]  我們用心靈誠實讚美敬拜神的時候
[00:00:36.000 --> 00:00:39.000]  我們的心就快樂了
[00:00:39.000 --> 00:00:43.000]  真的敬拜高級神
[00:00:43.000 --> 00:00:45.000]  我們的心就快樂
[00:00:45.000 --> 00:00:48.000]  每一個真敬拜神的人
[00:00:48.000 --> 00:00:50.000]  都有這個經歷
[00:00:50.000 --> 00:00:52.000]  都有這個見證
[00:00:52.000 --> 00:00:56.000]  我們的讚美就是把主高高的舉起來
[00:00:56.000 --> 00:01:01.000]  讓他坐在他應該坐的寶座上
[00:01:01.000 --> 00:01:05.000]  那個時候我們的心充滿了主的同在
[00:01:05.000 --> 00:01:07.000]  主的恩典
[00:01:07.000 --> 00:01:08.000]  主的能力
[00:01:08.000 --> 00:01:09.000]  主的權柄
[00:01:09.000 --> 00:01:10.000]  主的愛
[00:01:10.000 --> 00:01:14.000]  我們的心就快樂
[00:01:14.000 --> 00:01:17.000]  平常在教會裡頭
[00:01:17.000 --> 00:01:20.000]  上師的時候是等人的時候
[00:01:20.000 --> 00:01:23.000]  明天我們還有一次
[00:01:23.000 --> 00:01:24.000]  好不好
[00:01:24.000 --> 00:01:26.000]  這次讓主等我們
[00:01:26.000 --> 00:01:28.000]  讓我們等主
[00:01:28.000 --> 00:01:32.000]  對不起我說錯了
[00:01:32.000 --> 00:01:34.000]  我說錯不錯
[00:01:34.000 --> 00:01:39.000]  你們如果是完全沒有感覺的表示
[00:01:39.000 --> 00:01:42.000]  你們覺得不要緊
[00:01:42.000 --> 00:01:44.000]  主等我我等主一樣
[00:01:44.000 --> 00:01:46.000]  不一樣
[00:01:46.000 --> 00:01:47.000]  好不好
[00:01:47.000 --> 00:01:53.000]  明天讓主等我們
[00:01:53.000 --> 00:01:55.000]  你們這次清楚了
[00:01:55.000 --> 00:01:59.000]  你們的笑聲就表示你們清楚了
[00:01:59.000 --> 00:02:02.000]  讓我們等主
[00:02:02.000 --> 00:02:06.000]  讓我們在這裡
[00:02:06.000 --> 00:02:09.000]  七點一刻
[00:02:09.000 --> 00:02:12.000]  以前我們都在這裡坐好了
[00:02:12.000 --> 00:02:14.000]  等主
[00:02:14.000 --> 00:02:15.000]  對不對
[00:02:15.000 --> 00:02:18.000]  八點一刻
[00:02:18.000 --> 00:02:20.000]  我要為你們排頭了
[00:02:20.000 --> 00:02:23.000]  你們這麼清楚
[00:02:23.000 --> 00:02:25.000]  你們都睡醒了
[00:02:25.000 --> 00:02:28.000]  感謝主
[00:02:28.000 --> 00:02:32.000]  八點一刻
[00:02:32.000 --> 00:02:35.000]  還是不對
[00:02:35.000 --> 00:02:39.000]  那我們在這裡預備好
[00:02:39.000 --> 00:02:43.000]  一到了敬拜讚美的時候
[00:02:43.000 --> 00:02:45.000]  我們好像如同一輪
[00:02:45.000 --> 00:02:52.000]  我們就把我們的心帶進敬拜讚美裡頭
[00:02:52.000 --> 00:02:56.000]  讓我們向主傾訴
[00:02:56.000 --> 00:03:00.000]  由天主向我們傾訴他的心聲
[00:03:00.000 --> 00:03:03.000]  我們在大會裡頭
[00:03:03.000 --> 00:03:06.000]  雙規的交通
[00:03:06.000 --> 00:03:09.000]  我向主主向我
[00:03:09.000 --> 00:03:14.000]  這樣的交流是何等的寶貴
[00:03:14.000 --> 00:03:19.000]  我欣賞師班在林潤陽教授帶領之下
[00:03:19.000 --> 00:03:21.000]  做的一個特點
[00:03:21.000 --> 00:03:26.000]  就是不是師班代表我們讚美神
[00:03:26.000 --> 00:03:29.000]  更不是師班代替我們讚美神
[00:03:29.000 --> 00:03:33.000]  那是師班引導我們一起投入
[00:03:33.000 --> 00:03:37.000]  師班會中一起打開心
[00:03:37.000 --> 00:03:42.000]  張開口來敬拜感謝讚美神
[00:03:42.000 --> 00:03:45.000]  神的同在就這樣下
