
[00:00:00.000 --> 00:00:04.040]  今天我們講這段經文是在《爾忽所書》的第一章
[00:00:04.040 --> 00:00:06.040]  15至23節
[00:00:06.040 --> 00:00:09.520]  在《爾忽所書》一章1至14節
[00:00:09.520 --> 00:00:15.880]  保羅是講到上帝的愛的奇妙
[00:00:15.880 --> 00:00:17.560]  他重讚上帝
[00:00:17.560 --> 00:00:20.520]  重讚上帝賜給人有一個救恩
[00:00:20.520 --> 00:00:21.720]  這個福氣
[00:00:21.720 --> 00:00:25.880]  所以當保羅見到上帝這個工作的時候
[00:00:25.880 --> 00:00:27.480]  他就讚美上帝
[00:00:27.480 --> 00:00:30.160]  用了一句很長的說話
[00:00:30.160 --> 00:00:32.160]  去講出以上的內容
[00:00:32.160 --> 00:00:34.440]  接著在15至23節
[00:00:34.440 --> 00:00:37.960]  保羅繼續用一個句子
[00:00:37.960 --> 00:00:41.360]  去講出了為信徒的祈禱
[00:00:41.360 --> 00:00:43.520]  在第15至16節
[00:00:43.520 --> 00:00:46.080]  可以說是一個引言
[00:00:46.080 --> 00:00:49.560]  講到保羅存在什麼心
[00:00:49.560 --> 00:00:52.360]  去為爾忽所的信徒有一個禱告
[00:00:52.360 --> 00:00:54.360]  接著17至23節
[00:00:54.360 --> 00:00:56.560]  就去發揮禱告的內容
[00:00:56.560 --> 00:01:01.360]  究竟保羅去為爾忽所的信徒祈禱什麼呢?
[00:01:01.360 --> 00:01:04.080]  接著我們詳細去看看保羅
[00:01:04.080 --> 00:01:09.240]  如何表達他的態度和懇求
[00:01:09.240 --> 00:01:10.840]  第15至16節這樣說
[00:01:10.840 --> 00:01:14.160]  保羅說:因此我既聽見你們順從主耶穌
[00:01:14.160 --> 00:01:15.720]  親愛眾聖徒
[00:01:15.720 --> 00:01:18.200]  我就為你們不住的感謝神
[00:01:18.200 --> 00:01:20.960]  禱告的時候想提到你們
[00:01:20.960 --> 00:01:24.040]  在開頭的時候有「因此」這兩個字
[00:01:24.040 --> 00:01:26.440]  「因此」就是說「憐於上文」
[00:01:26.440 --> 00:01:29.160]  保羅想到上帝在耶穌基督裡面
[00:01:29.160 --> 00:01:31.560]  賜給我們一個屬靈的福氣
[00:01:31.560 --> 00:01:35.680]  在耶穌裡面賜給我們一個新的生命
[00:01:35.680 --> 00:01:38.160]  所以當他想到這方面的時候
[00:01:38.160 --> 00:01:42.960]  他就繼續為一群爾忽所的信徒的生命去祈禱
[00:01:42.960 --> 00:01:46.600]  既然上帝賜給我們一個新的生命
[00:01:46.600 --> 00:01:49.200]  就求上帝保守這個生命
[00:01:49.200 --> 00:01:52.880]  繼續有一個健康的長進
[00:01:52.880 --> 00:01:57.400]  在這裡保羅為一群信徒祈禱
[00:01:57.400 --> 00:01:59.400]  他不是為非信徒祈禱
[00:01:59.400 --> 00:02:02.720]  其實爾忽所的信徒按照保羅的表達
[00:02:02.720 --> 00:02:06.360]  他們已經有不錯的生命成熟度
[00:02:06.360 --> 00:02:10.000]  他們在生命當中都已經實踐上帝的吩咐
[00:02:10.000 --> 00:02:13.000]  所以保羅在這裡說:我常常去想念你們
[00:02:13.000 --> 00:02:16.480]  在這裡開始寫信給他們的時候
[00:02:16.480 --> 00:02:22.000]  他當然為他們過去的生命去感謝上帝
[00:02:22.000 --> 00:02:24.920]  然後他繼續為他們祈求
[00:02:24.920 --> 00:02:27.720]  祈求上帝保守他們的心
[00:02:27.720 --> 00:02:31.440]  讓他們能夠繼續在他們的生命當中
[00:02:31.440 --> 00:02:34.680]  經歷上帝給他們的生命的豐富
[00:02:34.680 --> 00:02:38.200]  和經歷上帝對他們的同在和保守
[00:02:38.200 --> 00:02:40.080]  接著在17-18節裡面
