
[00:00:00.000 --> 00:00:03.000]  我們一起打開《新命記》第四章
[00:00:03.000 --> 00:00:07.580]  在大家堂用的聖經舊約175頁
[00:00:07.580 --> 00:00:09.620]  舊約175頁
[00:00:09.620 --> 00:00:13.280]  《新命記》舊約《新命記》第四章
[00:00:13.280 --> 00:00:17.660]  我們今天所讀的經文就是我們今天思想的聖經
[00:00:17.660 --> 00:00:19.500]  大家也都可能知道了
[00:00:19.500 --> 00:00:22.000]  我是會用這個新譯本的
[00:00:22.000 --> 00:00:26.800]  所以說出來的經文可能和你手上的畫本有少許不同
[00:00:26.800 --> 00:00:30.280]  大家可以互相對照
[00:00:30.280 --> 00:00:35.640]  如果你買本新譯本和畫本的對照
[00:00:35.640 --> 00:00:37.360]  兩樣都有得看
[00:00:37.360 --> 00:00:39.960]  這個是我加進去的
[00:00:39.960 --> 00:00:41.880]  不是我賣告白的
[00:00:41.880 --> 00:00:44.080]  不關新譯本的事
[00:00:44.080 --> 00:00:46.080]  不要叫我這樣做的
[00:00:46.080 --> 00:00:54.000]  《新命記》是摩西帶領以色列人經過了曠野
[00:00:54.000 --> 00:00:55.720]  快要進入迦南的時候
[00:00:55.720 --> 00:00:57.720]  他也知道自己進不去
[00:00:57.720 --> 00:01:01.720]  120歲了 老人家
[00:01:01.720 --> 00:01:07.120]  和這班以色列人度過了40年的曠野
[00:01:07.120 --> 00:01:09.320]  真的有血有淚
[00:01:09.320 --> 00:01:12.640]  有快樂的時間 有困難的時間
[00:01:12.640 --> 00:01:14.840]  現在看著以色列人要進去
[00:01:14.840 --> 00:01:17.000]  究竟有什麼要跟他說呢
[00:01:17.000 --> 00:01:18.120]  《新命記》裡面
[00:01:18.120 --> 00:01:19.360]  如果我們研究的時候
[00:01:19.360 --> 00:01:22.520]  有三個講章在裡面
[00:01:22.520 --> 00:01:24.320]  有三個講章
[00:01:24.320 --> 00:01:25.640]  由第一章到第四章
[00:01:25.640 --> 00:01:28.080]  其實是摩西的第一個講章
[00:01:28.080 --> 00:01:29.280]  所以今天讀到第四章
[00:01:29.280 --> 00:01:31.280]  你知道差不多講完了
[00:01:31.280 --> 00:01:33.280]  講完第一個講章
[00:01:33.280 --> 00:01:36.240]  在《新命記》第四章一至十四節裡面
[00:01:36.240 --> 00:01:39.240]  記載了摩西語重心長的
[00:01:39.240 --> 00:01:40.440]  講一些很重要的話
[00:01:40.440 --> 00:01:41.760]  你想想如果你是摩西人
[00:01:41.760 --> 00:01:43.200]  你會說什麼
[00:01:43.200 --> 00:01:45.080]  現在以色列人要進去一個地方
[00:01:45.080 --> 00:01:46.840]  而那個所謂流瀾怨物之地
[00:01:46.840 --> 00:01:49.440]  其實並不是一個和平之地
[00:01:49.440 --> 00:01:52.240]  尤其是在信仰上充滿了衝擊
[00:01:52.240 --> 00:01:53.320]  充滿了危險
[00:01:53.320 --> 00:01:55.480]  很多異端邪算
[00:01:55.480 --> 00:01:58.840]  很多異邦的宗教等著他們要面對
[00:01:58.840 --> 00:02:01.760]  有什麼話可以跟他說呢
[00:02:01.760 --> 00:02:03.560]  今天我們看到這段聖經
[00:02:03.560 --> 00:02:06.480]  摩西有一個很重要的信息
[00:02:06.480 --> 00:02:08.840]  雖然是幾千年前
[00:02:08.840 --> 00:02:10.720]  但其實今天你和我
[00:02:10.720 --> 00:02:11.640]  都是要問的
[00:02:11.640 --> 00:02:13.720]  要聽的一個信息
[00:02:13.720 --> 00:02:16.200]  就是摩西說你要搞清楚一件事
[00:02:16.200 --> 00:02:19.840]  你就進去這個應去之地
[00:02:19.840 --> 00:02:21.320]  是什麼呢
[00:02:21.320 --> 00:02:23.480]  你知不知道你是誰
[00:02:23.480 --> 00:02:25.280]  我是誰
[00:02:25.280 --> 00:02:27.880]  哇 這個真是很哲學的說話
[00:02:27.880 --> 00:02:29.880]  但其實是很重要
