
[00:00:00.000 --> 00:00:04.000]  我們天上的父親 我們深深感恩
[00:00:04.000 --> 00:00:07.000]  能夠被稱為神的兒女
[00:00:07.000 --> 00:00:11.000]  有兒女的身份 是何等的榮耀
[00:00:11.000 --> 00:00:15.000]  主啊 祢賜給我們弟兄姊妹
[00:00:15.000 --> 00:00:17.000]  可以一起在祢的家當中
[00:00:17.000 --> 00:00:21.000]  彼此建立一同成長
[00:00:21.000 --> 00:00:25.000]  主啊 我們感謝祢今天在現今這個日子
[00:00:25.000 --> 00:00:30.000]  我們仍然可以聚集在一起
[00:00:30.000 --> 00:00:34.000]  同心的敬拜祢 是祢的恩惠
[00:00:34.000 --> 00:00:36.000]  因此我們天上的主
[00:00:36.000 --> 00:00:40.000]  我們再一次向祢獻上我們心中的感恩
[00:00:40.000 --> 00:00:44.000]  祢都知道祢是樂意施恩的上帝
[00:00:44.000 --> 00:00:47.000]  我們就放膽向祢求恩
[00:00:47.000 --> 00:00:49.000]  這個時刻求祢自己賜下
[00:00:49.000 --> 00:00:51.000]  祢自己聖經的恩賢
[00:00:51.000 --> 00:00:54.000]  讓我們生命都能夠平安
[00:00:54.000 --> 00:00:57.000]  讓我們生命當中領受
[00:00:57.000 --> 00:01:01.000]  也都知道靠著祢的恩典 剛強前行
[00:01:01.000 --> 00:01:03.000]  無論在什麼狀況之下
[00:01:03.000 --> 00:01:05.000]  主啊 靠著祢的恩
[00:01:05.000 --> 00:01:10.000]  我們堅定忍耐 走完主給我們的路
[00:01:10.000 --> 00:01:14.000]  我們仰望祈禱 奉主耶穌成名求
[00:01:14.000 --> 00:01:15.000]  阿們
[00:01:15.000 --> 00:01:18.000]  各位聽眾 我們今天繼續思想
[00:01:18.000 --> 00:01:20.000]  聖經《路加福音》的經文
[00:01:20.000 --> 00:01:24.000]  特別思想到當末世的日子
[00:01:24.000 --> 00:01:26.000]  教徒如何去面對
[00:01:26.000 --> 00:01:31.000]  我自己在自年輕的時候
[00:01:31.000 --> 00:01:33.000]  已經很歡喜看傳記
[00:01:33.000 --> 00:01:38.000]  特別很多宗教士和一些宿命的偉人的傳記
[00:01:38.000 --> 00:01:41.000]  其中一本叫做《十價與冠冕》
[00:01:41.000 --> 00:01:43.000]  放在我桌上
[00:01:43.000 --> 00:01:46.000]  這本書是劉福群牧師
[00:01:46.000 --> 00:01:47.000]  很多人可能聽過
[00:01:47.000 --> 00:01:52.000]  福群牧師講述他自己在中國內地和香港
[00:01:52.000 --> 00:01:57.000]  他個人和在建道神學院所經歷的很多艱難
[00:01:57.000 --> 00:02:01.000]  很多的患難 很多的逼迫
[00:02:01.000 --> 00:02:06.000]  但是他如何靠著神來堅持面對
[00:02:06.000 --> 00:02:09.000]  保持他內心那種信靠神的心
[00:02:09.000 --> 00:02:11.000]  一路走他的路
[00:02:11.000 --> 00:02:13.000]  一路看的時候
[00:02:13.000 --> 00:02:16.000]  心裏面有一種信念
[00:02:16.000 --> 00:02:18.000]  這位神的僕人
[00:02:18.000 --> 00:02:21.000]  他已經領受神的冠冕
