
[00:00:00.000 --> 00:00:06.000]  我最近看見我的一個理想的實現
[00:00:06.000 --> 00:00:09.000]  什麼理想的實現呢?
[00:00:09.000 --> 00:00:13.000]  就是訓練加上能力
[00:00:13.000 --> 00:00:17.000]  我在哪裡看見這個理想的實現?
[00:00:17.000 --> 00:00:24.000]  我在韓國的教會裡面看見實現的第一步
[00:00:24.000 --> 00:00:29.000]  在哪裡看見他們藉著禱告而釋放出來的勝利的能力?
[00:00:29.000 --> 00:00:35.000]  他們每天早上四點半鐘的禱告已經繼續了二十多年
[00:00:35.000 --> 00:00:40.000]  我在哪裡看見他們幾十萬人通宵的禱告
[00:00:40.000 --> 00:00:45.000]  他們有那個禱告所產生的能力
[00:00:45.000 --> 00:00:47.000]  有聖靈的統共
[00:00:47.000 --> 00:00:52.000]  所以使他們的基督徒人數的增加是人口增加了四倍
[00:00:52.000 --> 00:00:55.000]  是世界任何其他地方沒有的
[00:00:55.000 --> 00:00:58.000]  另外一方面我看見他們的訓練
[00:00:58.000 --> 00:01:00.000]  很現實的訓練
[00:01:00.000 --> 00:01:05.000]  這次他們舉行這個訓練三十二萬三千人參加
[00:01:05.000 --> 00:01:09.000]  有人問他們說你怎麼會有把握
[00:01:09.000 --> 00:01:11.000]  知道有這麼多人來
[00:01:11.000 --> 00:01:14.000]  他們說我們不是憑空有把握
[00:01:14.000 --> 00:01:17.000]  在兩年前已經舉行過一次
[00:01:17.000 --> 00:01:19.000]  有一萬人參加
[00:01:19.000 --> 00:01:22.000]  他們說那個時候一萬人告訴他們說
[00:01:22.000 --> 00:01:25.000]  如果將來再舉行一個更大規模的訓練會
[00:01:25.000 --> 00:01:27.000]  我們來我們帶人來
[00:01:28.000 --> 00:01:30.000]  他們有這樣的應許
[00:01:30.000 --> 00:01:33.000]  到了今年他們果然帶人來
[00:01:33.000 --> 00:01:36.000]  有三十二萬人在那個地方
[00:01:36.000 --> 00:01:39.000]  他們的計算非常的簡單
[00:01:39.000 --> 00:01:42.000]  這個三十二萬人受了訓練以後
[00:01:42.000 --> 00:01:45.000]  每一個人在輔者訓練十個人
[00:01:45.000 --> 00:01:47.000]  那就是三百萬
[00:01:47.000 --> 00:01:51.000]  那是南韓基督徒人數的總和
[00:01:51.000 --> 00:01:53.000]  再以後呢
[00:01:53.000 --> 00:01:57.000]  這三十萬的基督徒每一個人向十個人做見證
[00:01:57.000 --> 00:01:59.000]  那就是三千萬
[00:01:59.000 --> 00:02:03.000]  就是南韓人口的總數
[00:02:03.000 --> 00:02:05.000]  簡單不簡單
[00:02:05.000 --> 00:02:07.000]  好像太簡單了
[00:02:07.000 --> 00:02:10.000]  但是如果按照這個方式去做
[00:02:10.000 --> 00:02:14.000]  很困難原來看不可能的事
[00:02:14.000 --> 00:02:15.000]  就可能了
[00:02:15.000 --> 00:02:21.000]  所以我看見了他們有訓練的方式路線
[00:02:21.000 --> 00:02:24.000]  途徑具體的實施
[00:02:24.000 --> 00:02:28.000]  另外一方面看見有那個基本的能力
[00:02:28.000 --> 00:02:29.000]  疏靈的能力
[00:02:29.000 --> 00:02:31.000]  就是聖靈的工作
[00:02:31.000 --> 00:02:35.000]  藉由禱告而發動出來
[00:02:35.000 --> 00:02:38.000]  這兩方人配合在一起無往而不利
[00:02:38.000 --> 00:02:42.000]  如果有了能力沒有出口
[00:02:42.000 --> 00:02:44.000]  這個能力沒有用
[00:02:44.000 --> 00:02:45.000]  等於沒有能力
[00:02:45.000 --> 00:02:48.000]  那個訓練就是出口
[00:02:49.000 --> 00:02:51.000]  大家受了訓練以後
[00:02:51.000 --> 00:02:54.000]  就來運用這個基本的聖靈的能力
[00:02:54.000 --> 00:02:57.000]  就在那一個工作裡面去發揮
[00:02:57.000 --> 00:03:01.000]  就彰顯去做成神的托福
[00:03:01.000 --> 00:03:05.000]  是大使命成為一個最現實的工作
[00:03:05.000 --> 00:03:08.000]  這個聯合
[00:03:08.000 --> 00:03:11.000]  實在是今天全世界的教會
[00:03:11.000 --> 00:03:13.000]  最大最大的一個需要
[00:03:13.000 --> 00:03:15.000]  包括我們中國的教會在內
[00:03:16.000 --> 00:03:19.000]  訓練加上聖靈的能力
[00:03:19.000 --> 00:03:21.000]  單單用訓練也不行
[00:03:21.000 --> 00:03:24.000]  單單用訓練成了一個架構
[00:03:24.000 --> 00:03:28.000]  一個架構沒有聖靈的工作在裡面是死的
[00:03:28.000 --> 00:03:32.000]  任何的組織沒有聖靈的能力
[00:03:32.000 --> 00:03:34.000]  工作在裡面是死的
[00:03:34.000 --> 00:03:36.000]  不會有什麼成效
[00:03:36.000 --> 00:03:39.000]  所以不管我們開多少次的福音會議
[00:03:39.000 --> 00:03:42.000]  談了多少的方法
[00:03:43.000 --> 00:03:46.000]  定了多少的目標
[00:03:46.000 --> 00:03:49.000]  如果基督徒的裡面沒有那個動力
[00:03:49.000 --> 00:03:51.000]  推他向前去
[00:03:51.000 --> 00:03:53.000]  又主義他統攻
[00:03:53.000 --> 00:03:55.000]  又聖靈使用他
[00:03:55.000 --> 00:03:58.000]  他不會看見真正大的過效
[00:03:58.000 --> 00:04:02.000]  感謝南韓的教會
[00:04:02.000 --> 00:04:04.000]  向全世界做了一個好的見證
[00:04:04.000 --> 00:04:07.000]  不錯南韓的教會有他們的軟弱
[00:04:07.000 --> 00:04:09.000]  我們不能夠把他們理想化
[00:04:09.000 --> 00:04:11.000]  他們不是樣樣都好
[00:04:11.000 --> 00:04:14.000]  但是在這個基本的兩件事上
[00:04:14.000 --> 00:04:17.000]  我看見神的作為
[00:04:17.000 --> 00:04:20.000]  是我自己得到很大的鼓勵
[00:04:20.000 --> 00:04:25.000]  我今天早上也和大家提到聖靈的工作和能力
[00:04:25.000 --> 00:04:28.000]  我們感謝主
[00:04:28.000 --> 00:04:31.000]  只要我們有要德的心
[00:04:31.000 --> 00:04:34.000]  主就願意把最好的給我們
[00:04:34.000 --> 00:04:39.000]  主非常重看我們那個愛慕的心
[00:04:39.000 --> 00:04:42.000]  他在哪一個人的心裡看見這個愛慕
[00:04:42.000 --> 00:04:44.000]  他就要把最好的給他
[00:04:44.000 --> 00:04:48.000]  主最好的恩賜就是聖靈的能力
[00:04:48.000 --> 00:04:50.000]  聖靈的充滿
[00:04:50.000 --> 00:04:52.000]  他在哪裡看見這個愛慕的心
[00:04:52.000 --> 00:04:53.000]  追求的心
