
[00:00:00.000 --> 00:00:02.880]  我們今天一起思想聖經哥倫多前書第十章
[00:00:02.880 --> 00:00:04.680]  大家再打開聖經
[00:00:04.680 --> 00:00:07.840]  大家會記得我們這個季度
[00:00:07.840 --> 00:00:10.240]  我們一起思想一個主題
[00:00:10.240 --> 00:00:14.520]  就是「得勝試探與神同行」
[00:00:14.520 --> 00:00:18.560]  在人生的路上有很多試探
[00:00:18.560 --> 00:00:20.400]  很多引誘
[00:00:20.400 --> 00:00:22.640]  不斷地吸引我們的心
[00:00:22.640 --> 00:00:24.600]  轉離開神
[00:00:24.600 --> 00:00:27.280]  而聖經裏面多次提醒我們
[00:00:27.280 --> 00:00:31.440]  你們要謹慎免得跌倒
[00:00:31.440 --> 00:00:33.160]  當聖經的哥倫多前書
[00:00:33.160 --> 00:00:35.360]  講出這段經文的時候
[00:00:35.360 --> 00:00:38.200]  很多人會覺得可能向一些很軟弱的人
[00:00:38.200 --> 00:00:40.320]  講這些說話
[00:00:40.320 --> 00:00:43.720]  哥倫多教會當時是怎樣的呢?
[00:00:43.720 --> 00:00:45.440]  大家如果留意第一章的時候
[00:00:45.440 --> 00:00:46.640]  你就會察覺
[00:00:46.640 --> 00:00:50.840]  哥倫多教會是備受保羅稱讚的
[00:00:50.840 --> 00:00:51.960]  保羅讚賞他們
[00:00:51.960 --> 00:00:56.000]  說他們在主裏面凡事都富足
[00:00:56.000 --> 00:01:00.520]  他們在口才和知識上都完備
[00:01:00.520 --> 00:01:03.880]  他們沒有一件恩賜是不及別人
[00:01:03.880 --> 00:01:05.760]  很多很多對他們的讚賞
[00:01:05.760 --> 00:01:09.000]  和對他們恩賜的肯定
[00:01:09.000 --> 00:01:10.320]  但雖然是這樣
[00:01:10.320 --> 00:01:12.440]  你會見到在哥倫多教會
[00:01:12.440 --> 00:01:17.200]  出現了不少跌倒犯罪的事情
[00:01:17.200 --> 00:01:18.320]  而在十章的時候
[00:01:18.320 --> 00:01:19.760]  保羅就勸告他們
[00:01:19.760 --> 00:01:21.360]  你們要小心
[00:01:21.360 --> 00:01:24.440]  要謹慎免得跌倒
[00:01:24.440 --> 00:01:26.280]  因此今天這段經文
[00:01:26.280 --> 00:01:29.440]  不單單給那些軟弱的人
[00:01:29.440 --> 00:01:32.280]  所有跟隨耶穌基督的人
[00:01:32.280 --> 00:01:35.400]  就算是自認為很強壯
[00:01:35.400 --> 00:01:36.800]  很淑女的人
[00:01:36.800 --> 00:01:40.440]  都需要留心聖經所給我們的提醒
[00:01:40.440 --> 00:01:43.320]  要謹慎免得跌倒
[00:01:43.320 --> 00:01:44.600]  在聖經一開始的時候
[00:01:44.600 --> 00:01:47.080]  你會見到它提及以色列人
[00:01:47.080 --> 00:01:50.640]  以前是曾經蒙過大的恩惠
[00:01:50.640 --> 00:01:52.080]  但因為不悔改
[00:01:52.080 --> 00:01:54.680]  亦要面對神給他們的審判
[00:01:54.680 --> 00:01:57.520]  我們一起思想經文
[00:01:57.520 --> 00:02:01.800]  在第十章第一第二節這樣說
