
[00:00:00.000 --> 00:00:03.480]  今天是福音主人
[00:00:03.480 --> 00:00:06.320]  我們很特別歡迎你
[00:00:06.320 --> 00:00:08.560]  你第一次來禮拜堂
[00:00:08.560 --> 00:00:11.000]  或者你不經常來
[00:00:11.000 --> 00:00:12.320]  或者你來了一段日子
[00:00:12.320 --> 00:00:17.120]  但你和我們所信仰的神
[00:00:17.120 --> 00:00:19.200]  仍然好像很陌生
[00:00:19.200 --> 00:00:19.800]  未認識
[00:00:19.800 --> 00:00:22.400]  未願意和祂進入一個新的關係
[00:00:22.400 --> 00:00:23.880]  未成為基督徒
[00:00:23.880 --> 00:00:26.640]  我們今天特別歡迎你
[00:00:26.640 --> 00:00:29.560]  也希望你今天在信仰上
[00:00:29.560 --> 00:00:33.040]  走出你的永恆的第一步
[00:00:33.040 --> 00:00:34.680]  福音的主人
[00:00:34.680 --> 00:00:37.720]  福音好像很抽象
[00:00:37.720 --> 00:00:39.760]  福音其實一點都不抽象
[00:00:39.760 --> 00:00:42.480]  英文就叫做Good News
[00:00:42.480 --> 00:00:43.440]  即是什麼?
[00:00:43.440 --> 00:00:45.240]  好消息
[00:00:45.240 --> 00:00:48.520]  我自己也很相信
[00:00:48.520 --> 00:00:53.920]  信耶穌是一個很好的消息
[00:00:53.920 --> 00:00:59.520]  我自己43年前成為基督徒
[00:00:59.520 --> 00:01:03.840]  到今天仍然覺得這是一個很好的消息
[00:01:03.840 --> 00:01:06.520]  因為我每天都在經驗這位真實的神
[00:01:06.520 --> 00:01:07.680]  這樣愛我
[00:01:07.680 --> 00:01:09.520]  所以我很想今天在這裡
[00:01:09.520 --> 00:01:11.480]  告訴你、介紹給你
[00:01:11.480 --> 00:01:14.280]  我相信今天可能你身邊有親友
[00:01:14.280 --> 00:01:15.960]  都邀請你來
[00:01:15.960 --> 00:01:17.520]  邀請你來的親友
[00:01:17.520 --> 00:01:20.440]  其實他們都是一樣的心情
[00:01:20.440 --> 00:01:22.240]  他們很想你來到
[00:01:22.240 --> 00:01:25.360]  認識他們所經驗的真實的神
[00:01:25.360 --> 00:01:28.760]  這就是一個好的消息
[00:01:28.760 --> 00:01:31.480]  43年前我17歲
[00:01:31.480 --> 00:01:32.560]  17歲的時候
[00:01:32.560 --> 00:01:36.320]  你可以說可能我是一時感情衝動
[00:01:36.320 --> 00:01:38.000]  但是43年之後
[00:01:38.000 --> 00:01:40.400]  我相信應該不是感情衝動了
[00:01:40.400 --> 00:01:43.240]  感情衝動,衝動不到43年
[00:01:43.240 --> 00:01:45.440]  這43年裡我讀了很多東西
[00:01:45.440 --> 00:01:48.280]  我自己也相信自己的思想
[00:01:48.280 --> 00:01:49.720]  非常要求很高
[00:01:49.720 --> 00:01:51.800]  也不是那麼容易相信的人
[00:01:51.800 --> 00:01:53.400]  我讀的是物理學出身
[00:01:53.400 --> 00:01:55.200]  我讀的是量子理論
[00:01:55.200 --> 00:01:57.000]  然後我再轉去讀哲學
[00:01:57.000 --> 00:01:58.680]  我拿了兩個博士的學位
[00:01:58.680 --> 00:02:00.080]  也是讀哲學的
[00:02:00.080 --> 00:02:01.960]  讀哲學的人不容易
[00:02:01.960 --> 00:02:04.440]  也不容易相信
[00:02:04.440 --> 00:02:06.080]  但是我今天仍然告訴你
[00:02:06.080 --> 00:02:09.080]  我覺得耶穌基督
[00:02:09.080 --> 00:02:10.400]  我所相信的神
[00:02:10.400 --> 00:02:11.600]  是一位很真實
[00:02:11.600 --> 00:02:14.320]  值得介紹給你的神
[00:02:14.320 --> 00:02:16.000]  為什麼我會有這樣的想法呢?
[00:02:16.000 --> 00:02:18.040]  為什麼我會有這樣的信念呢?
[00:02:18.040 --> 00:02:19.800]  因為我想跟你說
[00:02:19.800 --> 00:02:22.600]  有四樣基督教很特別的地方
[00:02:22.600 --> 00:02:23.840]  所以今天的題目就叫做
[00:02:23.840 --> 00:02:26.840]  信仰基督教有什麼特別?
[00:02:26.840 --> 00:02:27.800]  有什麼特別呢?
[00:02:27.800 --> 00:02:29.360]  我想說四樣東西
[00:02:29.360 --> 00:02:32.480]  這四樣東西是我自己研究了不同的宗教
[00:02:32.480 --> 00:02:33.880]  可能你也知道我在中文學校
[00:02:33.880 --> 00:02:35.960]  除了教基督教之外
