
[00:00:00.000 --> 00:00:03.080]  我自己站在這裡和大家
[00:00:03.080 --> 00:00:04.600]  很多弟兄姊妹見面的時候
[00:00:04.600 --> 00:00:06.980]  自己心裏面有很多的感觸
[00:00:06.980 --> 00:00:11.400]  第一次在多倫多有公開的聚會
[00:00:11.400 --> 00:00:13.040]  和弟兄姊妹講的時候
[00:00:13.040 --> 00:00:15.680]  已經是四年多前
[00:00:15.680 --> 00:00:21.600]  第二次就已經是兩年多前
[00:00:21.600 --> 00:00:23.280]  在四年多前來的時候
[00:00:23.280 --> 00:00:25.340]  帶著兩個女兒 帶著太太
[00:00:25.340 --> 00:00:32.940]  剛剛學成在英國讀完順道回香港侍奉
[00:00:32.940 --> 00:00:35.340]  當時的生活都非常的忙亂
[00:00:35.340 --> 00:00:38.320]  因為兩個女兒年紀很小
[00:00:38.320 --> 00:00:43.380]  現在第三次再來站在這裡的時候
[00:00:43.380 --> 00:00:44.260]  有很多的感觸
[00:00:44.260 --> 00:00:48.060]  因為我好像又重覆四年多前的日子
[00:00:48.060 --> 00:00:50.740]  很辛苦 很多方法
[00:00:50.740 --> 00:00:52.580]  安排了兩個女兒今天有些節目
[00:00:52.580 --> 00:00:55.460]  然後走來港島正如四年多前一樣
[00:00:55.460 --> 00:00:57.940]  不過現在太太已經不在身邊
[00:00:57.940 --> 00:01:00.980]  所以那個感觸也都相當大
[00:01:00.980 --> 00:01:02.580]  不過看見很多的弟兄姊妹
[00:01:02.580 --> 00:01:08.300]  一直在各方面又代討又支持
[00:01:08.300 --> 00:01:10.580]  我自己來到這裡的時候
[00:01:10.580 --> 00:01:13.440]  我特別覺得需要開始和大家
[00:01:13.440 --> 00:01:14.780]  思想今天的題目之前
[00:01:14.780 --> 00:01:16.580]  講幾句多謝的說話
[00:01:16.580 --> 00:01:18.780]  我相信認識我的弟兄姊妹
[00:01:18.780 --> 00:01:21.340]  都知道我都不是那些很懂得客套的人
[00:01:21.340 --> 00:01:23.580]  不過我心底裡我還是很覺得
[00:01:23.580 --> 00:01:26.140]  有很多的感激、很多的感恩
[00:01:26.140 --> 00:01:29.260]  可能當中有不少的弟兄姊妹都知道
[00:01:29.260 --> 00:01:31.220]  在過往的一年當中
[00:01:31.220 --> 00:01:34.780]  我是中神香港的中國神學研究院
[00:01:34.780 --> 00:01:37.820]  是差派我來這裡
[00:01:37.820 --> 00:01:39.940]  和這個Ontario Theological Seminary
[00:01:39.940 --> 00:01:42.700]  安省的神學院有一個合作的課程
[00:01:42.700 --> 00:01:46.300]  就是一個M.Div. in Chinese Ministry
[00:01:46.300 --> 00:01:50.180]  就是華人教會使公的一個道學碩士的課程
[00:01:50.180 --> 00:01:54.780]  特別是訓練這裡的中國的神學生
[00:01:54.780 --> 00:01:58.180]  是適合這個北美的教育的工作
[00:01:58.180 --> 00:02:03.820]  這個工作的計劃都已經談了很久了
[00:02:03.820 --> 00:02:05.740]  1986年開始請我去
[00:02:05.740 --> 00:02:08.260]  不過當時我太太身體越來越差
[00:02:08.260 --> 00:02:10.900]  我覺得都不是一個時間我考慮
[00:02:10.900 --> 00:02:13.900]  老太太在上一年底過身之後
[00:02:13.900 --> 00:02:17.740]  我自己覺得我生命需要一個改變
[00:02:17.740 --> 00:02:21.420]  弟弟也需要一個前途的出路
[00:02:21.420 --> 00:02:25.060]  特別是我小女兒在學習上有困難
[00:02:25.060 --> 00:02:27.980]  所以就決定開始申請
[00:02:27.980 --> 00:02:30.500]  申請的過程當中有相當多的曲折
[00:02:30.500 --> 00:02:32.180]  主要是因為這個小女兒
[00:02:32.180 --> 00:02:36.420]  她的身體不適合加拿大這邊的要求
[00:02:36.420 --> 00:02:39.380]  所以一而再被拒絕
[00:02:39.380 --> 00:02:42.300]  可能弟兄姊妹都知道
[00:02:42.300 --> 00:02:47.180]  在過去這幾個月就很奇妙的有很多的改變
[00:02:47.180 --> 00:02:49.100]  其中一個最主要的原因
[00:02:49.100 --> 00:02:51.540]  我相信一方面神自己動功
[00:02:51.540 --> 00:02:54.740]  另一方面很多弟兄姊妹在這方面有代禱
[00:02:54.740 --> 00:02:58.860]  也加上我知道很多弟兄姊妹有關心
[00:02:58.860 --> 00:03:00.820]  甚至有些教會寫信
[00:03:00.820 --> 00:03:07.740]  要求這裡的移民官批准我和家人過來
[00:03:07.740 --> 00:03:13.420]  其實12月中移民官通知我
[00:03:13.420 --> 00:03:15.460]  可以和家人過來之後
[00:03:15.460 --> 00:03:18.860]  我寫了一封公開信給多倫多的
[00:03:18.860 --> 00:03:21.140]  加拿大各個華人教會
[00:03:21.140 --> 00:03:22.780]  我不知道大家收到沒有
[00:03:22.780 --> 00:03:29.420]  不過主要其實有一個很奇妙的經驗
[00:03:29.420 --> 00:03:30.740]  奇妙到一個地步
[00:03:30.740 --> 00:03:33.180]  那個移民官見到我的時候又見到我
[00:03:33.180 --> 00:03:36.860]  當初他見到我的時候都知道我沒有機會的
[00:03:36.860 --> 00:03:38.380]  見到我的時候
[00:03:38.380 --> 00:03:42.540]  他就說我這麼久都沒有見過有這麼多信
[00:03:42.540 --> 00:03:44.180]  這麼多人簽名
[00:03:44.180 --> 00:03:48.740]  還沒有見過有這麼多電報打來要你去加拿大
[00:03:48.740 --> 00:03:50.020]  叫一個人去加拿大
[00:03:50.020 --> 00:03:52.020]  他說你肯定是很重要的去加拿大
[00:03:52.020 --> 00:03:53.220]  我不敢這樣說
[00:03:53.220 --> 00:03:54.540]  我千萬不要這樣說
[00:03:54.540 --> 00:03:59.500]  不過他說我知道我的信仰
[00:03:59.500 --> 00:04:01.060]  我知道我的神
[00:04:01.060 --> 00:04:03.900]  他要做的事沒有事做不到的
[00:04:03.900 --> 00:04:06.580]  我又很感覺到我的負擔
[00:04:06.580 --> 00:04:10.260]  真是在神呼召我來到這個地方
