
[00:00:00.000 --> 00:00:03.880]  我們從法國講到繼續基督徒的核心美德
[00:00:03.880 --> 00:00:07.240]  今天我們講到彼此相愛
[00:00:07.240 --> 00:00:11.040]  請大家再打開剛才我們所讀的那段聖經
[00:00:11.040 --> 00:00:16.320]  因為那段聖經我們會比較再深入一點去思想
[00:00:16.320 --> 00:00:20.240]  這段也是不容易了解的聖經
[00:00:20.240 --> 00:00:22.340]  但是就好像一個寶藏那樣
[00:00:22.340 --> 00:00:24.720]  你發掘的時候要挖下去
[00:00:24.720 --> 00:00:29.120]  就有一些更加精彩的寶物在裡面
[00:00:29.120 --> 00:00:33.400]  所以今天我們一起思想關於愛的真理
[00:00:33.400 --> 00:00:37.880]  愛的真理就是用我們剛才所讀的那段聖經
[00:00:37.880 --> 00:00:40.000]  約翰一書的第三章 好嗎?
[00:00:40.000 --> 00:00:42.120]  一起打開約翰一書的第三章
[00:00:42.120 --> 00:00:44.720]  我們一起思想
[00:00:44.720 --> 00:00:46.240]  如果你們前一個星期在這裡的話
[00:00:46.240 --> 00:00:49.080]  我跟大家講了基督徒核心的美德裡面的
[00:00:49.080 --> 00:00:50.680]  信和望
[00:00:50.680 --> 00:00:53.240]  今天講愛了 這個也是很自然的
[00:00:53.240 --> 00:00:55.280]  這個也是我自己的心意
[00:00:55.280 --> 00:00:58.600]  希望可以將信望、愛和大家一起分享
[00:00:58.600 --> 00:01:00.920]  剛才你們讀這段聖經的時候
[00:01:00.920 --> 00:01:02.680]  發覺這段聖經也不是很熟悉的
[00:01:02.680 --> 00:01:04.120]  因為講到愛
[00:01:04.120 --> 00:01:07.000]  我想基督徒就說我也很熟悉的了
[00:01:07.000 --> 00:01:11.320]  沒有誰不知道什麼叫做關於聖經裡面講到愛
[00:01:11.320 --> 00:01:15.400]  但是究竟我們知道所謂的愛
[00:01:15.400 --> 00:01:18.520]  和聖經裡面的教訓
[00:01:18.520 --> 00:01:21.200]  是不是完全已經明白了呢?
[00:01:21.200 --> 00:01:23.640]  今天我就選了一段不是那麼熟悉
[00:01:23.640 --> 00:01:25.640]  不是很尋常的經文
[00:01:25.640 --> 00:01:29.800]  但是當中提及一些非常重要的關於愛的真理
[00:01:29.800 --> 00:01:30.440]  好嗎?
[00:01:30.440 --> 00:01:32.280]  待會我們一起研究一下
[00:01:32.280 --> 00:01:33.600]  用一個研究的心
[00:01:33.600 --> 00:01:35.840]  但是希望這些聖經的說話
[00:01:35.840 --> 00:01:38.080]  是對著我們每一個人講
[00:01:38.080 --> 00:01:40.160]  對著我們有台商的我
[00:01:40.160 --> 00:01:41.560]  也對著你自己
[00:01:41.560 --> 00:01:43.800]  究竟有些什麼的提醒
[00:01:43.800 --> 00:01:49.440]  和看出一個什麼我們可能沒有想過的方向和要求
[00:01:49.440 --> 00:01:53.040]  我們剛才所讀的這段是約翰一書第三章
[00:01:53.040 --> 00:01:56.320]  第11節至到24節
[00:01:56.320 --> 00:01:59.440]  這裡可以大概分為三個段落
[00:01:59.440 --> 00:02:02.400]  第11節一直到18節是第一個段落
[00:02:02.400 --> 00:02:07.080]  第二個段落是19節至到第21或者22節一個段落
[00:02:07.080 --> 00:02:12.240]  然後第23節到24節有另外一個段落
[00:02:12.240 --> 00:02:14.120]  這三個段落裡面
[00:02:14.120 --> 00:02:18.280]  就有三個關於愛很重要的真理
[00:02:18.280 --> 00:02:21.320]  今天我們將那個講道的大綱
[00:02:21.320 --> 00:02:23.320]  寫在我們的第二頁那裡
[00:02:23.320 --> 00:02:24.800]  大家可以打出來看
[00:02:24.800 --> 00:02:28.880]  因為當中有些比較複雜的經文
[00:02:28.880 --> 00:02:31.120]  我就畫了一個公仔出來
[00:02:31.120 --> 00:02:32.360]  我不知道這樣畫
[00:02:32.360 --> 00:02:34.040]  你會不會清楚一點
[00:02:34.040 --> 00:02:35.520]  起碼對於我來說
[00:02:35.520 --> 00:02:37.240]  幫助到我和大家一起解釋
[00:02:37.240 --> 00:02:39.280]  所以我們看著一個大綱
