
[00:00:00.000 --> 00:00:04.400]  大家會記得我們在今個季度開始思想關於安息的訊息
[00:00:04.400 --> 00:00:08.680]  在月初的時候曾經提及到聖經的第幾屆
[00:00:08.680 --> 00:00:11.200]  安息日是第幾屆?
[00:00:11.200 --> 00:00:12.600]  第四屆
[00:00:12.600 --> 00:00:14.200]  當守安息日
[00:00:14.200 --> 00:00:16.680]  我們當中提及到安息日
[00:00:16.680 --> 00:00:20.000]  聖經所說的是守為聖人
[00:00:20.000 --> 00:00:21.600]  是神聖的
[00:00:21.600 --> 00:00:23.200]  為何是神聖呢?
[00:00:23.200 --> 00:00:25.800]  因為安息日是屬於神的
[00:00:25.800 --> 00:00:28.200]  因此被稱為聖日
[00:00:28.600 --> 00:00:30.000]  當我們守為聖的時候
[00:00:30.000 --> 00:00:32.600]  亦意味著我們在該天
[00:00:32.600 --> 00:00:36.600]  特別留心神對我們的吩咐
[00:00:36.600 --> 00:00:39.800]  按祂的旨意來行事生活
[00:00:39.800 --> 00:00:42.200]  而將這份敬畏神
[00:00:42.200 --> 00:00:45.800]  聽從神的心延展到生活的每一天
[00:00:45.800 --> 00:00:48.000]  因此我們提及到安息日
[00:00:48.000 --> 00:00:50.400]  而今天我們所思想的就是
[00:00:50.400 --> 00:00:53.600]  離聚歸回安息
[00:00:53.600 --> 00:00:55.400]  歸回安息
[00:00:55.400 --> 00:00:57.000]  大家回想起聖經二創書
[00:00:57.000 --> 00:00:58.600]  第三十章十五節
[00:00:58.600 --> 00:00:59.600]  我們常常說
[00:00:59.600 --> 00:01:02.600]  得救在乎什麼?
[00:01:02.600 --> 00:01:05.000]  歸回安息
[00:01:05.000 --> 00:01:07.800]  當聖經提及到歸回的時候
[00:01:07.800 --> 00:01:10.600]  是指人的心轉向神
[00:01:10.600 --> 00:01:13.400]  迴轉悔改的意思
[00:01:13.400 --> 00:01:19.000]  聖經常常將迴轉悔改和安息並列
[00:01:19.000 --> 00:01:21.600]  當我們何時歸向神
[00:01:21.600 --> 00:01:23.600]  悔改迴轉的時候
