
[00:00:00.000 --> 00:00:05.000]  在《迦拉特書》裡是說到基督徒的自由
[00:00:05.000 --> 00:00:07.400]  保羅很清楚地說出
[00:00:07.400 --> 00:00:10.720]  一個人怎樣才能在上帝裡面
[00:00:10.720 --> 00:00:13.280]  得到一個真正的自由
[00:00:13.280 --> 00:00:17.120]  而得到一個真正自由之後的生活應該如何
[00:00:17.120 --> 00:00:21.600]  保羅在《迦拉特書》的第一至第五章
[00:00:21.600 --> 00:00:23.680]  可以說是很詳盡地說出
[00:00:23.680 --> 00:00:26.400]  人唯有直著相信耶穌
[00:00:26.400 --> 00:00:27.880]  直著耶穌的死
[00:00:27.880 --> 00:00:29.280]  我們才能夠得到
[00:00:29.280 --> 00:00:31.280]  在上帝裡面真正的自由
[00:00:31.280 --> 00:00:33.080]  一個基督徒
[00:00:33.080 --> 00:00:36.800]  他得到生命的自由之後
[00:00:36.800 --> 00:00:40.160]  他應該怎樣去過他的生活
[00:00:40.160 --> 00:00:44.520]  保羅在第六章至第一至十節
[00:00:44.520 --> 00:00:48.000]  可以說是很詳盡地去解釋
[00:00:48.000 --> 00:00:49.360]  最後一段去說
[00:00:49.360 --> 00:00:51.800]  究竟我們一個已經相信耶穌的人
[00:00:51.800 --> 00:00:54.720]  我們已經得到在聖靈裡面
[00:00:54.720 --> 00:00:56.720]  賜給我們一個真正自由的人
[00:00:56.720 --> 00:00:59.680]  究竟我們應該怎樣繼續去生活
[00:00:59.680 --> 00:01:02.880]  在這裡保羅很清楚地說
[00:01:02.880 --> 00:01:06.680]  在第五章的第十六至二十六節說
[00:01:06.680 --> 00:01:09.920]  提醒信徒要信著聖靈的指引
[00:01:09.920 --> 00:01:12.920]  靠著聖靈給我們的能力
[00:01:12.920 --> 00:01:17.720]  去對付我們與生俱來的罪性
[00:01:17.720 --> 00:01:19.760]  在過程當中
[00:01:19.760 --> 00:01:22.040]  怎樣信服聖靈的引導
[00:01:22.040 --> 00:01:28.040]  活出一個以耶穌為主的生命和生活
[00:01:28.040 --> 00:01:30.920]  在這裡保羅進一步去教導
[00:01:30.920 --> 00:01:35.520]  一個怎樣的基督徒善用所得到的自由
[00:01:35.520 --> 00:01:38.760]  靠著聖靈所賜給我們的力量
[00:01:38.760 --> 00:01:41.680]  建立人與上帝之間的關係
[00:01:41.680 --> 00:01:44.560]  也建立人與其他弟兄姊妹
[00:01:44.560 --> 00:01:46.840]  與其他人的關係
[00:01:46.840 --> 00:01:48.640]  在這段經文裡面
[00:01:48.640 --> 00:01:52.040]  可以說好像有不同的主題
[00:01:52.040 --> 00:01:55.160]  但其實這段經文裡面
[00:01:55.160 --> 00:01:59.080]  其實都很重心地說出一個很重要的信息
[00:01:59.080 --> 00:02:00.720]  可以分為五部分
[00:02:00.720 --> 00:02:04.480]  最重要的就是在第六章的第六節
[00:02:04.480 --> 00:02:08.600]  保羅在這裡教出了一個施教者和一個受教者
[00:02:08.600 --> 00:02:12.120]  大家彼此的關係應該是怎樣
[00:02:12.120 --> 00:02:13.840]  應該存在什麼態度
[00:02:13.840 --> 00:02:17.760]  在重心裡面再說出信徒
[00:02:17.760 --> 00:02:20.360]  作為一個關顧的人
[00:02:20.360 --> 00:02:22.880]  一個責任和一份愛的表現
[00:02:22.880 --> 00:02:27.080]  一個被關顧的人應該有什麼態度
[00:02:27.080 --> 00:02:34.480]  保羅藉著這十字經文去教導一群加泰教會的信徒
[00:02:34.480 --> 00:02:38.040]  應該怎樣在日常生活裡面活出一份愛
[00:02:38.040 --> 00:02:40.160]  活出耶穌基督的愛
[00:02:40.160 --> 00:02:43.920]  藉著這份愛去關心其他的人
[00:02:44.160 --> 00:02:46.280]  在第六章的第一第二節
[00:02:46.280 --> 00:02:47.800]  在這裡這樣說
[00:02:47.800 --> 00:02:50.760]  弟兄們若有人偶然被過犯所成
[00:02:50.760 --> 00:02:52.440]  你們屬靈的人
[00:02:52.440 --> 00:02:56.160]  就當用溫柔的心把他挽回過來
[00:02:56.160 --> 00:02:57.760]  又當自己小心
[00:02:57.760 --> 00:02:59.840]  恐怕也被引誘
[00:02:59.840 --> 00:03:02.600]  你們各人的重擔要彼此
[00:03:02.600 --> 00:03:03.960]  要互相擔當
[00:03:03.960 --> 00:03:07.120]  如此就完全了基督的律法
[00:03:07.120 --> 00:03:09.840]  在這裡保羅一開始就說了
[00:03:09.840 --> 00:03:12.200]  信徒作為一個信耶穌的人
[00:03:12.200 --> 00:03:15.760]  或者如果你覺得你是一個屬靈的人
[00:03:15.760 --> 00:03:18.560]  一個願意信服聖靈而行的人
[00:03:18.560 --> 00:03:21.560]  你應該怎樣去藉著這份愛
[00:03:21.560 --> 00:03:24.800]  去關心其他軟弱的信徒
[00:03:24.800 --> 00:03:26.120]  保羅在這裡說
[00:03:26.120 --> 00:03:31.160]  弟兄們提醒當時的加泰教會的信徒
[00:03:31.160 --> 00:03:33.600]  我們都是上帝的子民
[00:03:33.600 --> 00:03:35.240]  我們都是一家人
[00:03:35.240 --> 00:03:37.160]  既然是一家人的時候
[00:03:37.160 --> 00:03:42.320]  我們就有責任去關心在家裡的每一個人
[00:03:42.320 --> 00:03:46.440]  保羅在這裡鄭重地對加泰信徒說
[00:03:46.440 --> 00:03:49.240]  尤其是那些中間屬靈的人
[00:03:49.240 --> 00:03:52.240]  如果你覺得自己是一個跟從上帝的人
[00:03:52.240 --> 00:03:55.760]  你更加要彼此去關顧
[00:03:55.760 --> 00:03:57.880]  守護著對方
[00:03:57.880 --> 00:04:01.760]  在關顧一些軟弱的肢體的時候
[00:04:01.760 --> 00:04:05.240]  我們應該有一個溫柔、謹慎的態度
[00:04:05.240 --> 00:04:09.920]  對待那些偶然軟弱跌倒的弟兄姊妹
[00:04:09.920 --> 00:04:11.680]  將他們挽回過來
[00:04:11.680 --> 00:04:20.000]  這一點正好反映了保羅對待加泰教會信徒的生命和關係上
[00:04:20.000 --> 00:04:22.400]  在這裡所說的重擔
