
[00:00:00.000 --> 00:00:05.000]  今年是我們在早上的講座的最後一堂,
[00:00:05.000 --> 00:00:08.000]  亦是我們約書亞記的最後一部分。
[00:00:08.000 --> 00:00:11.000]  我們不能夠將整卷約書亞記一齊來說,
[00:00:11.000 --> 00:00:13.000]  但我們其中一個重點,
[00:00:13.000 --> 00:00:16.000]  我們都有機會來思想。
[00:00:16.000 --> 00:00:18.000]  而今天最後所提的,
[00:00:18.000 --> 00:00:20.000]  就是一個寶貴的生命見證,
[00:00:20.000 --> 00:00:24.000]  就是迦勒這位重要的信心的偉人。
[00:00:24.000 --> 00:00:27.000]  透過他的生命,我們來到一起學習,
[00:00:27.000 --> 00:00:30.000]  一起互相提醒。
[00:00:30.000 --> 00:00:31.000]  我記得有一次,
[00:00:31.000 --> 00:00:33.000]  我有機會聽到一位蓮露弟兄,
[00:00:33.000 --> 00:00:36.000]  來分享他自己的情況。
[00:00:36.000 --> 00:00:40.000]  這位弟兄年紀很大,身體不好,
[00:00:40.000 --> 00:00:43.000]  而且很快就可能要離開這個世界。
[00:00:43.000 --> 00:00:47.000]  大家都預料到有這樣的情況。
[00:00:47.000 --> 00:00:48.000]  有人問他,
[00:00:48.000 --> 00:00:52.000]  他說弟兄你有什麼事情還很掛心的?
[00:00:52.000 --> 00:00:54.000]  這位弟兄就說,
[00:00:54.000 --> 00:00:57.000]  人生裡也夢見很多的保守,
[00:00:57.000 --> 00:00:59.000]  沒有什麼可以掛心的了,
[00:00:59.000 --> 00:01:01.000]  這些事情都放下了,
[00:01:01.000 --> 00:01:04.000]  神要我回去,我就回去。
[00:01:04.000 --> 00:01:06.000]  然後他停一停,
[00:01:06.000 --> 00:01:08.000]  他說不過有一件事,
[00:01:08.000 --> 00:01:11.000]  心裡也不安心。
[00:01:11.000 --> 00:01:13.000]  有人問他什麼事情?
[00:01:13.000 --> 00:01:16.000]  他說因為我這麼多年來,
[00:01:16.000 --> 00:01:21.000]  沒有很認真地把機會來侍奉主,
[00:01:21.000 --> 00:01:23.000]  今天很快就要離開這個世界,
[00:01:23.000 --> 00:01:26.000]  心裡有點愧疚,
[00:01:26.000 --> 00:01:29.000]  有點虧欠,
[00:01:29.000 --> 00:01:34.000]  好像不知道怎樣去見主一樣。
[00:01:34.000 --> 00:01:36.000]  當我聽到這個見證的時候,
[00:01:36.000 --> 00:01:38.000]  雖然是一句很簡單的說話,
[00:01:38.000 --> 00:01:40.000]  但他表達出很多的驕圖,
[00:01:40.000 --> 00:01:42.000]  當他快要離開世界的時候,
[00:01:42.000 --> 00:01:45.000]  內心那種心靈的掙扎。
[00:01:45.000 --> 00:01:47.000]  母親給了你一生很多的祝福,
[00:01:47.000 --> 00:01:48.000]  很多的保守,
[00:01:48.000 --> 00:01:50.000]  但臨離開的時候,
[00:01:50.000 --> 00:01:54.000]  都會感覺到好像愧於見主。
[00:01:54.000 --> 00:01:56.000]  人生沒有把握機會,
[00:01:56.000 --> 00:01:57.000]  你去服侍他,
[00:01:57.000 --> 00:01:59.000]  你去為他工作,
[00:01:59.000 --> 00:02:03.000]  心中有一些羞愧的感覺。
[00:02:03.000 --> 00:02:06.000]  聖經哥林多前書第三章提及,
[00:02:06.000 --> 00:02:08.000]  每個驕途人生成長的路上,
[00:02:08.000 --> 00:02:11.000]  好像建了一個工程一樣。
[00:02:11.000 --> 00:02:14.000]  這些工程有些人用金銀寶石去建造,
[00:02:14.000 --> 00:02:17.000]  有些用草木和街去建造。
[00:02:17.000 --> 00:02:19.000]  金銀寶石去建造的時候,
[00:02:19.000 --> 00:02:21.000]  當有些試驗來到的時候,
[00:02:21.000 --> 00:02:23.000]  它仍然站得住,站得穩,
[00:02:23.000 --> 00:02:26.000]  因此它得到賞賜。
[00:02:26.000 --> 00:02:29.000]  但有些是用草木和街建造的,
[00:02:29.000 --> 00:02:30.000]  一有試驗來到的時候,
[00:02:30.000 --> 00:02:32.000]  這工程就消盡了。
[00:02:32.000 --> 00:02:33.000]  但感謝神,
[00:02:33.000 --> 00:02:34.000]  聖經仍然說,
[00:02:34.000 --> 00:02:37.000]  這個人仍然得救。
[00:02:37.000 --> 00:02:38.000]  但跟著聖經說,
[00:02:38.000 --> 00:02:45.000]  但他的得救好像是從火裡面抽出來一樣,
[00:02:45.000 --> 00:02:48.000]  好像在火裡面抽出來的一根柴,
[00:02:48.000 --> 00:02:50.000]  僅僅救得了,
[00:02:50.000 --> 00:02:51.000]  再過久一點,
[00:02:51.000 --> 00:02:54.000]  可能會消盡了。
[00:02:54.000 --> 00:02:56.000]  基督徒在世上所做的事情,
[00:02:56.000 --> 00:02:58.000]  雖然可能是軟弱,
[00:02:58.000 --> 00:03:00.000]  神仍然給我們救恩,
[00:03:00.000 --> 00:03:02.000]  但神仍然告訴我們,
[00:03:02.000 --> 00:03:05.000]  祂渴望我們得到一個豐盛的永恆,
[00:03:05.000 --> 00:03:08.000]  不願意我們僅僅得救,
[00:03:08.000 --> 00:03:09.000]  好像一根柴,
[00:03:09.000 --> 00:03:11.000]  從火裡面剛剛抽出來,
[00:03:11.000 --> 00:03:16.000]  撥一撥,幸好還能救回來。
[00:03:16.000 --> 00:03:18.000]  神不喜歡我們這樣,
[00:03:18.000 --> 00:03:20.000]  祂盼望我們能夠得到豐盛,
[00:03:20.000 --> 00:03:22.000]  因此彼得後書第一章,
[00:03:22.000 --> 00:03:23.000]  我們曾經提及過,
[00:03:23.000 --> 00:03:24.000]  神告訴我們,
[00:03:24.000 --> 00:03:30.000]  已經將有寶貴又極大的英許賜給我們,
[00:03:30.000 --> 00:03:31.000]  因此很多教徒,
[00:03:31.000 --> 00:03:33.000]  知道神給我們這麼大的英許,
[00:03:33.000 --> 00:03:36.000]  就殷勤地追求,
[00:03:36.000 --> 00:03:41.000]  他們要豐豐富富地進入神的國度,
[00:03:41.000 --> 00:03:42.000]  有人僅僅得救,
[00:03:42.000 --> 00:03:45.000]  有人豐豐富富地進入神的國度,
[00:03:45.000 --> 00:03:46.000]  各位靈性姐妹,
[00:03:46.000 --> 00:03:49.000]  在你人生幾十年的寒暑,
[00:03:49.000 --> 00:03:53.000]  要決定你永恆的狀況,
[00:03:53.000 --> 00:03:55.000]  沒錯,你也是得救,
[00:03:55.000 --> 00:03:57.000]  但在永恆當中,
[00:03:57.000 --> 00:03:59.000]  有人是豐豐富富,
[00:03:59.000 --> 00:04:01.000]  有人是僅僅得救,
[00:04:01.000 --> 00:04:05.000]  因此你要做出聰明的選擇,
[00:04:05.000 --> 00:04:06.000]  要告訴自己,
[00:04:06.000 --> 00:04:11.000]  我要去得著神給我的永恆的豐富,
[00:04:11.000 --> 00:04:13.000]  我要在世上持久的,
[00:04:13.000 --> 00:04:15.000]  願意信靠祂,
[00:04:15.000 --> 00:04:17.000]  一直跟隨著,
[00:04:17.000 --> 00:04:19.000]  要得著主,
