
[00:00:00.000 --> 00:00:06.000]  在新約教會的年代,
[00:00:06.000 --> 00:00:11.000]  從初期教會到今天教會,
[00:00:11.000 --> 00:00:14.000]  經歷了二千年的教會發展歷史,
[00:00:14.000 --> 00:00:17.000]  在不同的世代裡,
[00:00:17.000 --> 00:00:24.000]  其實都會有爭論或紛爭,
[00:00:24.000 --> 00:00:26.000]  什麼問題呢?就是關於聖靈的工作。
[00:00:26.000 --> 00:00:28.000]  究竟什麼叫聖靈的工作呢?
[00:00:28.000 --> 00:00:32.000]  有很多不同的人的看法,
[00:00:32.000 --> 00:00:35.000]  所以有很多我們叫做靈因運動,
[00:00:35.000 --> 00:00:38.000]  有些分了出去叫做靈因派,
[00:00:38.000 --> 00:00:40.000]  非靈因派。
[00:00:40.000 --> 00:00:45.000]  這個問題可以說在不同的年代裡,
[00:00:45.000 --> 00:00:46.000]  都經常出現,
[00:00:46.000 --> 00:00:50.000]  在初期的,可以說在耶穌復活之後,
[00:00:50.000 --> 00:00:53.000]  被建立的初期教會,
[00:00:53.000 --> 00:00:55.000]  都有面對這個問題。
[00:00:55.000 --> 00:00:59.000]  教會有一群人說我們有聖靈的工作,
[00:00:59.000 --> 00:01:03.000]  因為你看看我們有多少上帝給我們的能力,
[00:01:03.000 --> 00:01:07.000]  有多少超自然的恩賜在我們身上,
[00:01:07.000 --> 00:01:09.000]  有一群人覺得,
[00:01:09.000 --> 00:01:11.000]  這群人抬高自己,
[00:01:11.000 --> 00:01:14.000]  看低其他人,
[00:01:14.000 --> 00:01:17.000]  哪一個有聖靈的工作呢?
[00:01:17.000 --> 00:01:20.000]  哪一個群體有聖靈的工作呢?
[00:01:20.000 --> 00:01:23.000]  接著保羅就去處理這個問題,
[00:01:23.000 --> 00:01:27.000]  在哥倫多前書的十二章,
[00:01:27.000 --> 00:01:29.000]  第一至二十七節,
[00:01:29.000 --> 00:01:30.000]  保羅就去討論,
[00:01:30.000 --> 00:01:32.000]  教導當時的教會信徒,
[00:01:32.000 --> 00:01:34.000]  應該怎樣看聖靈的工作。
[00:01:34.000 --> 00:01:37.000]  我們教會的十個核心價值裡面,
[00:01:37.000 --> 00:01:38.000]  第八個,
[00:01:38.000 --> 00:01:41.000]  我們都說怎樣去直著聖靈給我們的恩賜,
[00:01:41.000 --> 00:01:43.000]  去發揮我們的恩賜,
[00:01:43.000 --> 00:01:44.000]  去建立教會。
[00:01:44.000 --> 00:01:47.000]  所以今天都想用這段經文,
[00:01:47.000 --> 00:01:49.000]  和頂姐妹一起去思考,
[00:01:49.000 --> 00:01:51.000]  這個很重要的一個問題。
[00:01:51.000 --> 00:01:53.000]  保羅在一開始就去說,
[00:01:53.000 --> 00:01:55.000]  他說我不願意你們,
[00:01:55.000 --> 00:01:58.000]  好像外邦人一樣,
[00:01:58.000 --> 00:02:00.000]  你們未曾認識耶穌之前,
[00:02:00.000 --> 00:02:02.000]  保羅說對著一群信徒說,
[00:02:02.000 --> 00:02:03.000]  你們未認識耶穌之前,
[00:02:03.000 --> 00:02:04.000]  你們在很多事上,
[00:02:04.000 --> 00:02:06.000]  你們都是很無知的。
[00:02:06.000 --> 00:02:07.000]  今天,
[00:02:07.000 --> 00:02:08.000]  保羅說,
[00:02:08.000 --> 00:02:11.000]  我就將你們應該要明白的一些道理,
[00:02:11.000 --> 00:02:13.000]  去告訴你們知道。
[00:02:13.000 --> 00:02:15.000]  在這裡保羅去說,
[00:02:15.000 --> 00:02:16.000]  整段經文去說,
[00:02:16.000 --> 00:02:19.000]  就是聖靈所賜給我們的恩賜,
[00:02:19.000 --> 00:02:20.000]  其實有不同,
[00:02:20.000 --> 00:02:24.000]  就是各人有不同的恩賜,
[00:02:24.000 --> 00:02:25.000]  我們不可以說,
[00:02:25.000 --> 00:02:27.000]  我的恩賜大於你的恩賜,
[00:02:27.000 --> 00:02:29.000]  我的恩賜是高於你的恩賜,
[00:02:29.000 --> 00:02:33.000]  所以我夢想得特別的一個賜福。
[00:02:33.000 --> 00:02:35.000]  保羅說我們不應該去看,
[00:02:35.000 --> 00:02:38.000]  保羅在處理一個很基本的問題,
[00:02:38.000 --> 00:02:41.000]  什麼叫做聖靈的工作,
[00:02:41.000 --> 00:02:45.000]  什麼叫做有聖靈的同在,
[00:02:45.000 --> 00:02:47.000]  什麼叫做任性。
[00:02:47.000 --> 00:02:50.000]  保羅在這裡一開始就說出,
[00:02:50.000 --> 00:02:52.000]  聖靈最大的工作是什麼呢?
[00:02:52.000 --> 00:02:56.000]  就是讓我們去承認耶穌,
[00:02:56.000 --> 00:02:59.000]  就是上帝所差派來的救主,
[00:02:59.000 --> 00:03:01.000]  耶穌已經為你的罪,
[00:03:01.000 --> 00:03:03.000]  為我的罪釘在十字架上,
[00:03:03.000 --> 00:03:06.000]  耶穌已經從死裡面去復活,
[00:03:06.000 --> 00:03:08.000]  我們是跟從這一位,
[00:03:08.000 --> 00:03:11.000]  就是上帝所差派來的那一位救主,
[00:03:11.000 --> 00:03:13.000]  所以保羅在這裡說,
[00:03:13.000 --> 00:03:15.000]  我們是一個人,或者一個群體,
[00:03:15.000 --> 00:03:20.000]  去承認耶穌就是為我們的罪釘在十字架上,
[00:03:20.000 --> 00:03:25.000]  承認祂就是上帝為人類設立的那一位救主,
[00:03:25.000 --> 00:03:27.000]  我們是跟從這一位的主,
[00:03:27.000 --> 00:03:29.000]  這就是聖靈的工作。
[00:03:29.000 --> 00:03:31.000]  所以保羅在這裡說出,
[00:03:31.000 --> 00:03:34.000]  一開始他們不是說教會的不同,
[00:03:34.000 --> 00:03:35.000]  有什麼不同,
[00:03:35.000 --> 00:03:38.000]  他們是說我們有什麼共同的基礎,
[00:03:38.000 --> 00:03:41.000]  和一個共同的信仰,
[00:03:41.000 --> 00:03:43.000]  這個也去衡量,
[00:03:43.000 --> 00:03:47.000]  究竟我們有沒有聖靈在我們個人的生命裡面,
[00:03:47.000 --> 00:03:50.000]  在這個群體裡面,
