
[00:00:00.000 --> 00:00:02.080]  我記得幾年前我曾經有機會
[00:00:02.080 --> 00:00:06.080]  去到紐約的一個教會參觀
[00:00:06.080 --> 00:00:10.320]  這間教會在很多地方都是特別出名的一件事情
[00:00:10.320 --> 00:00:14.920]  就是他們的祈禱會是要排隊進入禮堂的
[00:00:14.920 --> 00:00:20.200]  因為太多人一定要排隊才有機會進入祈禱的禮堂
[00:00:20.200 --> 00:00:22.680]  當我去到的時候我就發現這個社區
[00:00:22.680 --> 00:00:25.120]  原來是比較基層性的社區
[00:00:25.120 --> 00:00:32.400]  這個是布魯克林的回望教會
[00:00:32.400 --> 00:00:36.080]  在他們的教會裏面有很多不同背景的弟兄姊妹
[00:00:36.080 --> 00:00:40.280]  來自很多不同的或者說困難的處境
[00:00:40.280 --> 00:00:42.760]  有貧窮的 有家庭出問題的
[00:00:42.760 --> 00:00:46.440]  有醉酒的 有吸毒的
[00:00:46.440 --> 00:00:48.600]  他們只能夠依靠神 一直祈禱
[00:00:48.600 --> 00:00:50.600]  神就改變了很多的生命
[00:00:50.600 --> 00:00:54.560]  很多很美善的見證在當中一個一個的出現
[00:00:54.560 --> 00:00:57.440]  我聽他們講見證心中很感動
[00:00:57.440 --> 00:01:00.760]  去到星期二的晚上參加他們的祈禱會的時候
[00:01:00.760 --> 00:01:04.200]  我就想著會有很多人在門口排隊
[00:01:04.200 --> 00:01:06.120]  但是發覺沒有人排隊
[00:01:06.120 --> 00:01:07.920]  難道沒有人參加?
[00:01:07.920 --> 00:01:10.160]  又或者改變了政策
[00:01:10.160 --> 00:01:12.480]  原來他們的確改變了政策
[00:01:12.480 --> 00:01:14.720]  他們就是在祈禱會之前
[00:01:14.720 --> 00:01:19.360]  兩個小時就開放禮堂給大家進來
[00:01:19.360 --> 00:01:22.000]  所以很早弟兄姊妹就坐進去禮堂裏面
[00:01:22.000 --> 00:01:26.320]  一直祈禱 也等候祈禱會的開始
[00:01:26.320 --> 00:01:27.680]  在祈禱會的時候
[00:01:27.680 --> 00:01:28.960]  我見到很多弟兄姊妹
[00:01:28.960 --> 00:01:32.560]  他們一齊同心 開聲 一齊地祈禱
[00:01:32.560 --> 00:01:36.440]  我就感覺好像有一點點在天堂的感覺
[00:01:36.440 --> 00:01:41.120]  一大群人同心合意向神禱告 尋求
[00:01:41.120 --> 00:01:42.640]  我就想我們北村家
[00:01:42.640 --> 00:01:45.920]  我們崇拜都會排隊進來禮堂的
[00:01:45.920 --> 00:01:48.320]  但是不知道什麼時候我們的祈禱會
[00:01:48.320 --> 00:01:51.520]  是可以排隊進來
[00:01:51.520 --> 00:01:54.000]  很多人同心地禱告
[00:01:54.000 --> 00:01:56.520]  他們的教會是買了一個劇院
[00:01:56.520 --> 00:02:00.280]  將劇院改裝成為了教會
[00:02:00.280 --> 00:02:02.920]  這間教會就是大家熟悉的一本書
[00:02:02.920 --> 00:02:06.880]  《疾風烈火》的作者的教會
[00:02:06.880 --> 00:02:07.760]  各位弟兄姊妹
[00:02:07.760 --> 00:02:12.040]  我們求神幫助我們真的知道去禱告
[00:02:12.040 --> 00:02:14.240]  我們常常說禱告好像什麼?
[00:02:14.240 --> 00:02:17.840]  禱告就好像人的呼吸
[00:02:17.840 --> 00:02:19.560]  如果你不呼吸
[00:02:19.560 --> 00:02:23.640]  你試試閉氣可以多久呢?
[00:02:23.640 --> 00:02:25.680]  一兩分鐘已經很厲害了
[00:02:25.680 --> 00:02:26.920]  但是當你閉氣的時候
[00:02:26.920 --> 00:02:28.480]  你會覺得好像很辛苦
[00:02:28.480 --> 00:02:31.880]  甚至覺得好像很想暈倒
[00:02:31.880 --> 00:02:33.440]  如果我們今天的禮堂
[00:02:33.440 --> 00:02:36.280]  我們發覺不夠氧氣
[00:02:36.280 --> 00:02:39.280]  你會有什麼感覺?
[00:02:39.280 --> 00:02:42.520]  昏昏欲睡 不夠精神
[00:02:42.520 --> 00:02:44.280]  如果你不禱告
[00:02:44.280 --> 00:02:46.440]  你的靈魂不呼吸
[00:02:46.440 --> 00:02:49.600]  你的靈魂都會分碎
[00:02:49.600 --> 00:02:51.440]  就算有最好的訊息
[00:02:51.440 --> 00:02:53.200]  你不會聽得進去
[00:02:53.200 --> 00:02:56.760]  因為你在睡覺
[00:02:56.760 --> 00:02:58.120]  如果在你的生命當中
[00:02:58.120 --> 00:02:59.720]  你不向神祈禱
[00:02:59.720 --> 00:03:01.120]  你所聽的訊息
