
[00:00:00.000 --> 00:00:10.000]  各位弟兄姊妹,我們來到第三個主題:認識教會的第十講,也就是教會的第十章。
[00:00:10.000 --> 00:00:20.000]  愛教會
[00:00:20.000 --> 00:00:31.000]  各位弟兄姊妹,我們來到第三個主題:認識教會的第十講,也就是最後一講。
[00:00:32.000 --> 00:00:44.000]  我們要領受的信息就是愛教會,正如一首聖詩所說的:我愛基督教會。教會是我們所愛的。
[00:00:45.000 --> 00:01:02.000]  我們要從一篇詩篇裡來接受這個信息,就是詩篇一百二十二篇,這是大衛所寫的詩篇。
[00:01:03.000 --> 00:01:23.000]  在這篇詩裡面,他表達了他對聖城和聖殿的熱愛。大家要知道,舊約的聖城和聖殿和新約的教會,兩者之間是通聯的,在書靈的意義上是在一起的。
[00:01:24.000 --> 00:01:39.000]  所以我們從這篇詩來體會我們今天愛基督的教會。請大家翻到一百二十二篇,我們一同來思想領受。
[00:01:40.000 --> 00:01:56.000]  首先我們注意到,在第一節告訴我們,我們因為愛神,所以愛神的教會。神的教會和神是分不開的。
[00:01:57.000 --> 00:02:17.000]  所以在一百二十二篇第一節第二句,耶和華的殿,耶和華和殿連在一起。我們因為愛耶和華,所以愛耶和華的殿,也就是神的教會。
[00:02:18.000 --> 00:02:27.000]  跟著我們注意到,我們因為愛神,所以以神為樂。
[00:02:28.000 --> 00:02:43.000]  在第一節的末了一句,我就歡喜。一想到到聖殿裡去親近神、敬拜神,就歡喜。不是勉強的,是一種吸引力。
[00:02:44.000 --> 00:03:01.000]  我們因為愛神,所以以神為樂。敬畏神是非常好,但是以神為樂是更高的境界。神滿足我們的心,我們可以享受神。
[00:03:02.000 --> 00:03:13.000]  所以我們也是在這裡,要將祂的恩、祂的愛、祂的一切的豐富賜給屬祂的人,讓他們來享受。
[00:03:13.000 --> 00:03:19.000]  享受這一切,也就是享受神自己的愛。
[00:03:20.000 --> 00:03:41.000]  我們因為愛神,我們就歡歡喜喜地親近祂。一點也不是重擔。不是人這樣做,我們也這樣做。不是不得已這樣做,那是發自內心的渴慕、歡喜,何等寶貴。
[00:03:42.000 --> 00:03:52.000]  第三點,我們看見了在愛教會這件事上,團聚的作用很重要。
[00:03:52.000 --> 00:04:03.000]  彼此的勉勵、彼此的提醒,理解第一句,人對我說,我們往耶和華的殿去。
[00:04:04.000 --> 00:04:15.000]  別人來提醒我,我們要去耶和華的殿敬拜神了,我一聽見就歡喜了。
[00:04:15.000 --> 00:04:21.000]  人對我說這四個字表達了團聚的作用。
[00:04:22.000 --> 00:04:37.000]  我們在教會裡面,我對你說,你對我說,我對祂說,祂對你說,那就是彼此的勉勵、彼此的提醒、彼此的造就、彼此的建立。
[00:04:38.000 --> 00:04:52.000]  這是何等寶貴。我們愛神,就愛神的殿,我們愛神的殿,也愛神的教會裡面,必須彼此的團契生活。
[00:04:52.000 --> 00:04:58.000]  第四點,就是對神的教會的歸屬感。
[00:04:58.000 --> 00:05:05.000]  第二節,耶路撒冷啊,我們的腳站在你的門內。
[00:05:06.000 --> 00:05:14.000]  這句話好像是多餘的,表面上看沒有多少意思。
[00:05:14.000 --> 00:05:25.000]  耶路撒冷啊,我們的腳站在你的門內,不是在門內就是在門外,不是在門外就是在門內,有什麼好講的呢?
[00:05:25.000 --> 00:05:32.000]  好像在文學的價值上,好像是多餘的一句話。
[00:05:33.000 --> 00:05:43.000]  如果我們了解,這是詩人大衛,他從內心的深處流露出來的一種感受。
[00:05:43.000 --> 00:05:51.000]  這個感受是表達他很喜樂的,知道自己是屬於耶路撒冷的。
[00:05:51.000 --> 00:05:58.000]  他有一個很強的歸屬感,這是以神的家為樂。
[00:05:59.000 --> 00:06:08.000]  神的家就是我的家,我屬於神,所以我屬於神的家,神的家是我的家,所以我愛教會。
[00:06:08.000 --> 00:06:25.000]  有一次,有一架飛機在以色列的泰拉威夫降落,降落的時候,乘客就順序下機。
[00:06:26.000 --> 00:06:38.000]  其中有一個旅客,他的腳一踏在地上,他就整個的扶伏在地,用口來親吻大地。
[00:06:38.000 --> 00:06:47.000]  我一看見就知道,這是一個以色列人,大概是第一次回到祖國。
[00:06:48.000 --> 00:06:59.000]  因為他有這樣一條內心的感情機動,他就扶伏在地,來親吻祖國的土地。
[00:06:59.000 --> 00:07:12.000]  如果他說一句話,我的祖國,我的腳踏在你的土地上,這句話是何等的充滿感情。
[00:07:13.000 --> 00:07:24.000]  在這裡,這句好像平凡的話,卻有深厚的、強烈的歸屬感的感情。
[00:07:24.000 --> 00:07:36.000]  神的家是我的家,我是屬於你的,我的腳站在你的門內,我親近你。
[00:07:37.000 --> 00:07:46.000]  第九點:耶路撒冷城是聯絡整齊的一座城。
[00:07:47.000 --> 00:08:01.000]  這是恩賜的配達,互相的合作而建造的一座城,聯絡整齊。
[00:08:01.000 --> 00:08:09.000]  裡面的房子都是有計劃的,設計很鮮明。
[00:08:10.000 --> 00:08:23.000]  所以看上去,各部分、各地區、各種房屋的建造、設計,都配合成為一個整體的美觀的圖案。
[00:08:23.000 --> 00:08:31.000]  神的教會也是這樣。神對祂的教會有最美的設計。
[00:08:31.000 --> 00:08:37.000]  如果要實現這個美麗的設計,有一個條件。
