
[00:00:00.000 --> 00:00:01.700]  我們今天思想的是
[00:00:01.700 --> 00:00:04.700]  神的奧秘就是基督
[00:00:04.700 --> 00:00:08.080]  我記得在大概兩年之前
[00:00:08.080 --> 00:00:10.780]  我和自己的家人 我的兄弟姊妹
[00:00:10.780 --> 00:00:13.900]  全家有機會去澳洲旅行
[00:00:13.900 --> 00:00:15.700]  是很開心的時候
[00:00:15.700 --> 00:00:17.280]  當地人就一直鼓勵我們
[00:00:17.280 --> 00:00:19.500]  不如你們去下一個名勝吧
[00:00:19.500 --> 00:00:21.340]  我就問是哪裡呢
[00:00:21.340 --> 00:00:24.500]  他們說是叫做藍山 Blue Mountain
[00:00:24.500 --> 00:00:27.500]  我們全家人幾輛車好好的
[00:00:27.500 --> 00:00:29.500]  就去到藍山的地方
[00:00:29.900 --> 00:00:31.500]  去到的時候發覺很失望
[00:00:31.500 --> 00:00:35.500]  因為當天很多雲霧 很多霞霧
[00:00:35.500 --> 00:00:39.500]  整個山區一大片白濛濛的一片
[00:00:39.500 --> 00:00:40.700]  我們什麼都看不到
[00:00:40.700 --> 00:00:44.500]  就看到一個旅遊中心 旅客中心
[00:00:44.500 --> 00:00:47.300]  所以很失望之餘就拍了幾張照片
[00:00:47.300 --> 00:00:49.100]  都不是什麼自然景色
[00:00:49.100 --> 00:00:51.100]  是應該做建築物的
[00:00:51.100 --> 00:00:54.700]  拍完之後我們就說 走吧 吃東西吧
[00:00:54.700 --> 00:00:56.300]  吃東西的時候大家說著說著
[00:00:56.300 --> 00:00:57.900]  好像都不是很甘心
[00:00:57.900 --> 00:00:59.700]  不如再回去
[00:00:59.900 --> 00:01:01.900]  吃完午餐之後再回去
[00:01:01.900 --> 00:01:04.300]  就發覺整個景色很不同
[00:01:04.300 --> 00:01:07.300]  看到整個山景很美
[00:01:07.300 --> 00:01:10.300]  很宏偉的一些山勢
[00:01:10.300 --> 00:01:12.300]  心裏面很快樂
[00:01:12.300 --> 00:01:14.300]  看到旁邊有一座很出名的
[00:01:14.300 --> 00:01:17.100]  叫做三姊妹山 Three Sisters
[00:01:17.100 --> 00:01:20.100]  我們就說不如走去那邊吧
[00:01:20.100 --> 00:01:23.500]  一家人就說 走?很長時間的
[00:01:23.500 --> 00:01:25.500]  而且很難走的
[00:01:25.500 --> 00:01:28.700]  我們說不要緊 大家一起去吧
[00:01:28.700 --> 00:01:30.700]  我們就走進去
[00:01:30.700 --> 00:01:33.100]  一路走的時候看到很多不同的景色
[00:01:33.100 --> 00:01:35.900]  不同的角度看到整個山區的環境
[00:01:35.900 --> 00:01:37.900]  覺得很開心
[00:01:37.900 --> 00:01:39.500]  也都很深刻體會到
[00:01:39.500 --> 00:01:42.700]  原來自然景色是需要進入去
[00:01:42.700 --> 00:01:47.300]  才會完全體會和享受
[00:01:47.300 --> 00:01:50.500]  當我想到我們自己的信仰的時候
[00:01:50.500 --> 00:01:51.700]  我都體會到很多時候
[00:01:51.700 --> 00:01:54.900]  我們教徒去到信仰的門口
[00:01:54.900 --> 00:01:57.100]  看到有一點霧霞霧
[00:01:57.100 --> 00:02:00.500]  我們就說 算了 我們回頭吧
[00:02:00.500 --> 00:02:02.700]  很多時候在信仰的邊緣
[00:02:02.700 --> 00:02:04.500]  我們不斷繞圈
[00:02:04.500 --> 00:02:07.500]  看不到當中那份的豐富
[00:02:07.500 --> 00:02:10.100]  直至我們說我們付點代價
[00:02:10.100 --> 00:02:14.500]  進入去 去明白當中的豐盛
[00:02:14.500 --> 00:02:17.300]  在那個時候心靈有一種震撼
[00:02:17.300 --> 00:02:19.700]  因為看到其中的奧妙
[00:02:19.700 --> 00:02:22.100]  其中的豐富
[00:02:22.100 --> 00:02:24.900]  聖經鼓勵我們在信主之後
[00:02:24.900 --> 00:02:28.300]  不要留在岸邊
[00:02:28.300 --> 00:02:32.300]  要進入 要去到水深之處
[00:02:32.300 --> 00:02:34.100]  去領受神給我們的豐富
[00:02:34.100 --> 00:02:36.700]  去認識耶穌基督的豐盛
[00:02:36.700 --> 00:02:39.100]  而今天的聖經就不斷鼓勵我們
[00:02:39.100 --> 00:02:41.100]  去認識神的奧秘
[00:02:41.100 --> 00:02:43.700]  認識我們的主耶穌基督
[00:02:43.700 --> 00:02:45.500]  大家一起看回聖經
[00:02:45.500 --> 00:02:50.500]  我們試著從經文當中領受
[00:02:50.500 --> 00:02:52.500]  在聖經我們記得
