
[00:00:00.000 --> 00:00:04.800]  今天我們繼續說《約翰福音》第六章十六至三十四節
[00:00:04.800 --> 00:00:07.520]  在《約翰福音》第六章一至十五節
[00:00:07.520 --> 00:00:10.120]  記載了一個五餅二魚的神蹟
[00:00:10.120 --> 00:00:12.760]  這個神蹟在福音書裡比較特別
[00:00:12.760 --> 00:00:16.480]  因為四卷福音書都有記載這個神蹟
[00:00:16.480 --> 00:00:18.280]  在《約翰福音》裡我們看看
[00:00:18.280 --> 00:00:21.120]  究竟耶穌如何藉著這個神蹟
[00:00:21.120 --> 00:00:23.920]  去教導一群門徒和群眾
[00:00:23.920 --> 00:00:27.160]  如何認識自己的身份和權柄
[00:00:27.160 --> 00:00:32.920]  亦指出究竟一個真正跟從祂的人的心態應該是怎樣的
[00:00:32.920 --> 00:00:37.680]  我們仔細看看耶穌藉著這個神蹟作出什麼教導
[00:00:37.680 --> 00:00:40.280]  在六章十六節說
[00:00:40.280 --> 00:00:47.400]  「到了晚上,他的門徒下海邊去,上了船,要過海往加伯隆去。
[00:00:47.400 --> 00:00:51.200]  天已經黑了,耶穌還沒有來到他們那裡,
[00:00:51.200 --> 00:00:54.840]  忽然狂風大作,海就翻騰起來。
[00:00:54.840 --> 00:00:58.720]  門徒搖籠,躍行了十里多路,
[00:00:58.720 --> 00:01:04.480]  看見耶穌在海面上走,漸漸近了船,他們就害怕。
[00:01:04.480 --> 00:01:07.520]  耶穌對他們說,「是我,不要怕。」
[00:01:07.520 --> 00:01:14.960]  門徒就喜歡接他上船,船納時到了他們所要去的地方。」
[00:01:14.960 --> 00:01:18.680]  在馬考科裡面告訴我們
[00:01:18.680 --> 00:01:23.440]  耶穌是上了高處去祈禱的
[00:01:23.440 --> 00:01:26.680]  約翰沒有提及這個細節
[00:01:26.680 --> 00:01:30.440]  在行了五餅二魚的神蹟之後
[00:01:30.440 --> 00:01:33.920]  當時有很多人要去擁耶穌為王
[00:01:33.920 --> 00:01:39.240]  耶穌沒有去回應這些人的訴求
[00:01:39.240 --> 00:01:44.640]  在過程當中,也許耶穌要很安靜地在上帝面前祈求
[00:01:44.640 --> 00:01:46.080]  有一個禱告
[00:01:46.080 --> 00:01:49.960]  更加讓自己有能力地走前面的道路
[00:01:49.960 --> 00:01:55.800]  在那一天晚上,門徒首先下海邊去
[00:01:55.800 --> 00:02:00.240]  上了船,然後出發到對面岸的地方
[00:02:00.240 --> 00:02:02.840]  要去到加伯隆這個地方
[00:02:02.840 --> 00:02:04.480]  當時天已經黑了
[00:02:04.480 --> 00:02:07.280]  耶穌還沒有來到他們那裡
[00:02:07.280 --> 00:02:09.720]  這一句話無疑是真的
[00:02:09.720 --> 00:02:12.960]  但是也可能具有一些象徵的意義
[00:02:12.960 --> 00:02:15.920]  就是說那一晚,晚上是黑暗的
[00:02:15.920 --> 00:02:18.920]  在黑暗當中,他們沒有耶穌的同在
[00:02:18.920 --> 00:02:21.560]  這個關聯也是相當的強
[00:02:21.560 --> 00:02:28.280]  在加利利海,其實是低於海平面600呎的地方
[00:02:28.280 --> 00:02:32.960]  所以有時候冷空氣很容易會下到湖面
[00:02:32.960 --> 00:02:35.480]  就會刮起一個很強烈的風暴
[00:02:35.480 --> 00:02:39.000]  使得湖水翻騰起來
[00:02:39.000 --> 00:02:41.640]  在十九至二十節那裡
[00:02:41.640 --> 00:02:44.800]  形容到他們已經走了十多里路
[00:02:44.800 --> 00:02:48.400]  大約是五至六公里那麼長的一段時間
[00:02:48.400 --> 00:02:55.080]  在這裡約翰沒有告訴我們一件事
[00:02:55.080 --> 00:02:57.880]  馬可有記載這群門徒為什麼會害怕
[00:02:57.880 --> 00:03:00.160]  因為他們以為看到鬼
[00:03:00.160 --> 00:03:02.280]  看到耶穌以為是鬼怪
[00:03:02.280 --> 00:03:03.480]  所以他們害怕
[00:03:03.480 --> 00:03:08.400]  約翰的關心不是去剖析他們內心為什麼會害怕
[00:03:08.400 --> 00:03:09.680]  而是去描繪的就是
[00:03:09.680 --> 00:03:13.280]  如何減輕他們這一種的害怕
[00:03:13.280 --> 00:03:16.600]  耶穌平息了他們的恐懼
[00:03:16.600 --> 00:03:19.280]  藉著表明他們的身份
[00:03:19.280 --> 00:03:21.080]  去讓他們的恐懼消除
[00:03:21.080 --> 00:03:23.560]  耶穌說「是我」
[00:03:23.560 --> 00:03:25.520]  當聽到這句聲音的時候
[00:03:25.520 --> 00:03:27.800]  門徒的疑慮就消除了
[00:03:27.800 --> 00:03:33.160]  馬上很歡喜地去接耶穌要去的地方
[00:03:33.160 --> 00:03:39.160]  在約翰福音的讀者應該都熟悉
[00:03:39.160 --> 00:03:41.520]  約翰有一些很象徵性的表達
[00:03:41.520 --> 00:03:45.080]  海其實經常代表著混亂和沒有次序
[00:03:45.080 --> 00:03:47.080]  但是現在是說到
[00:03:47.080 --> 00:03:51.400]  上帝可以將一些混亂和沒有次序的變成有秩序
[00:03:51.400 --> 00:03:52.960]  使得他平靜
[00:03:52.960 --> 00:03:54.360]  耶穌是一個神跡
[00:03:54.360 --> 00:03:59.000]  其實是表達他自己和上帝有同等的身份
[00:03:59.000 --> 00:04:00.840]  和同等的權柄
[00:04:00.840 --> 00:04:06.280]  接著在22-24節繼續這樣去表達
[00:04:06.280 --> 00:04:08.120]  去描述當時的情況
[00:04:08.120 --> 00:04:10.600]  第二天站在海邊的眾人
