
[00:00:00.000 --> 00:00:05.160]  今天體驗了人生的無常
[00:00:05.160 --> 00:00:07.800]  大家今天可以崇拜天日
[00:00:07.800 --> 00:00:12.200]  我們待會要看轉播
[00:00:12.200 --> 00:00:15.520]  不過在一個無常的世界裡
[00:00:15.520 --> 00:00:17.840]  其實也讓我們學習
[00:00:17.840 --> 00:00:21.360]  如何依靠這位不變的上帝
[00:00:21.360 --> 00:00:25.840]  在聖經裡啟示上帝是一個怎樣的上帝
[00:00:25.840 --> 00:00:27.800]  也提醒我們
[00:00:27.800 --> 00:00:31.640]  我們應該用什麼態度去跟從這位上帝
[00:00:31.640 --> 00:00:33.480]  保羅在《迦拉提信》裡
[00:00:33.480 --> 00:00:38.280]  同樣是說出一個這麼重要的方向
[00:00:38.280 --> 00:00:40.400]  一群迦拉提信徒一開始的時候
[00:00:40.400 --> 00:00:45.600]  其實他們是很認真很專心地去跟從上帝
[00:00:45.600 --> 00:00:48.960]  但是當保羅離開了
[00:00:48.960 --> 00:00:49.920]  離開之後
[00:00:49.920 --> 00:00:58.240]  這群信徒漸漸受著猶太人的錯誤教導
[00:00:58.240 --> 00:01:02.280]  慢慢一步一步引導他們離開了
[00:01:02.280 --> 00:01:05.240]  跟從上帝這一條路上
[00:01:05.240 --> 00:01:06.960]  保羅就在這個背景裡
[00:01:06.960 --> 00:01:13.400]  可以說是幫助去減免這群迦拉提信徒
[00:01:13.400 --> 00:01:16.560]  在第一章到第四章裡
[00:01:16.560 --> 00:01:19.120]  保羅用了很多不同的理據
[00:01:19.120 --> 00:01:21.120]  去詳細地說出
[00:01:21.120 --> 00:01:25.200]  耶穌怎樣按照上帝的旨意來到這個世界
[00:01:25.200 --> 00:01:27.720]  也藉著祂的死
[00:01:27.720 --> 00:01:30.160]  怎樣救贖在律法之下
[00:01:30.160 --> 00:01:34.080]  和不在律法之下的外邦人
[00:01:34.080 --> 00:01:35.760]  在律法之下的猶太人
[00:01:35.760 --> 00:01:40.240]  怎樣同樣可以得到上帝的拯救
