
[00:00:00.000 --> 00:00:02.500]  回歸了香港的一年,
[00:00:02.500 --> 00:00:04.500]  無疑在政治上,
[00:00:04.500 --> 00:00:07.000]  我們都是安穩的,
[00:00:07.000 --> 00:00:10.500]  沒什麼太大的困難,
[00:00:10.500 --> 00:00:12.500]  但大家都知道,
[00:00:12.500 --> 00:00:20.500]  現在我們整體香港社會是面對著一個經濟的逆境的時間,
[00:00:20.500 --> 00:00:25.000]  因此,亞洲金融的風暴影響到很多的公司,
[00:00:25.000 --> 00:00:30.000]  他們不少的都要收縮,
[00:00:30.000 --> 00:00:32.000]  每天的電視都告訴我們,
[00:00:32.000 --> 00:00:35.000]  哪間公司又要裁員,
[00:00:35.000 --> 00:00:38.000]  哪間公司又要面臨倒閉,
[00:00:38.000 --> 00:00:40.500]  雖然政府出了很多的辦法,
[00:00:40.500 --> 00:00:43.500]  但好像都無於事無補,
[00:00:43.500 --> 00:00:48.500]  所以,今天香港整個的社會環境都是,
[00:00:48.500 --> 00:00:54.000]  很多人的心靈都很低沉,
[00:00:54.000 --> 00:00:57.000]  但我自己更加覺得,
[00:00:57.000 --> 00:01:01.000]  香港不是單是活在經濟的逆境裏面,
[00:01:01.000 --> 00:01:06.000]  香港現在是活在一個心靈的逆境裏面,
[00:01:06.000 --> 00:01:09.000]  一切的問題之所以浮現出來,
[00:01:09.000 --> 00:01:13.500]  基本上是出於人的問題,
[00:01:13.500 --> 00:01:16.000]  人的誠信的問題,
[00:01:16.000 --> 00:01:22.000]  人的政績、道德水平下降的問題,
[00:01:22.000 --> 00:01:26.000]  經濟之所以去到所謂的泡沫,
[00:01:26.000 --> 00:01:31.000]  令人覺得很快就要爆破,
[00:01:31.000 --> 00:01:33.000]  現在就要爆破,
[00:01:33.000 --> 00:01:35.000]  原因就是因為,
[00:01:35.000 --> 00:01:42.000]  整個香港的社會營造出一種貪婪的心態,
[00:01:42.000 --> 00:01:45.000]  不斷地去貪婪,
[00:01:45.000 --> 00:01:47.000]  所以形成了每個人都炒樓,
[00:01:47.000 --> 00:01:52.000]  去到一個這樣的境界,
[00:01:52.000 --> 00:01:56.000]  所以現在,其實我們回復理體的就是,
[00:01:56.000 --> 00:02:00.000]  我們怎樣面對人的問題,
[00:02:00.000 --> 00:02:02.000]  特別我們基督徒在神的面前,
[00:02:02.000 --> 00:02:04.000]  在這樣的世代裏面,
[00:02:04.000 --> 00:02:07.000]  在各樣逆境打擊的社會裏面,
[00:02:07.000 --> 00:02:11.000]  我們基督徒怎樣從神的話裏面,
[00:02:11.000 --> 00:02:15.000]  知道我們如何有出路呢?
[00:02:15.000 --> 00:02:17.000]  今日普遍教會都仍然覺得,
[00:02:17.000 --> 00:02:20.000]  復興是好像要指日所待,
