
[00:00:00.000 --> 00:00:02.420]  怎樣才是一間好的教會呢?
[00:00:02.420 --> 00:00:07.640]  要成功、要有增長,還是要忠心?
[00:00:07.640 --> 00:00:09.220]  大家好,我是Daniel
[00:00:09.220 --> 00:00:12.800]  今天跟大家介紹Tim Keller 的《聖誕教會》
[00:00:12.800 --> 00:00:16.640]  中文翻譯為21世紀教會成長學
[00:00:16.640 --> 00:00:21.420]  《聖誕教會》這本書其實不是教我們如何建立一間成功的教會
[00:00:21.420 --> 00:00:24.000]  其實本書是講述一個神學現象
[00:00:24.000 --> 00:00:27.120]  作者Tim Keller一開始就提出一個問題
[00:00:27.120 --> 00:00:31.840]  我們究竟用什麼去衡量教會的事工呢?
[00:00:31.840 --> 00:00:34.640]  他說有些人會覺得是成功
[00:00:34.640 --> 00:00:37.200]  教會聚會越來越多人
[00:00:37.200 --> 00:00:40.640]  奉獻增加,越來越多分堂
[00:00:40.640 --> 00:00:43.600]  代表事工是很成功
[00:00:43.600 --> 00:00:49.120]  但Tim Keller就覺得成功只靠他並不足夠
[00:00:49.120 --> 00:00:51.120]  另一面Tim Keller就說
[00:00:51.120 --> 00:00:54.720]  有些人就說不是,最重要是忠心
[00:00:54.720 --> 00:00:56.800]  我們作為教會要忠於聖經
[00:00:56.800 --> 00:00:58.320]  我們要忠於信仰
[00:00:58.320 --> 00:01:01.280]  忠於一次教父聖徒的真道
[00:01:01.280 --> 00:01:03.920]  就算教會小,這也沒有問題
[00:01:03.920 --> 00:01:05.520]  因為我們夠忠心
[00:01:05.520 --> 00:01:07.120]  Tim Keller就說
[00:01:07.120 --> 00:01:09.920]  其實這個答案也是同樣不完整
[00:01:09.920 --> 00:01:13.600]  Tim Keller就提出第三個概念
[00:01:13.600 --> 00:01:17.280]  他就說其實我們要結果子
[00:01:17.280 --> 00:01:18.320]  Fruitfulness
[00:01:18.320 --> 00:01:20.880]  他就說根據《約翰福音》15章
[00:01:20.880 --> 00:01:24.320]  上帝不只是呼召教會要忠心那麼簡單
[00:01:24.320 --> 00:01:27.440]  上帝呼召教會是要結果子
[00:01:27.440 --> 00:01:31.680]  但問題是怎樣才叫做結果子呢?
[00:01:31.680 --> 00:01:35.280]  所以他就慢慢帶出了這本書裏最重要的一個概念
[00:01:35.280 --> 00:01:37.520]  就是神學意象
[00:01:37.520 --> 00:01:39.120]  Theological Vision
[00:01:39.120 --> 00:01:42.640]  他就說通常教會有兩樣東西
[00:01:42.640 --> 00:01:46.400]  第一樣就是教義,Doctrine
[00:01:46.400 --> 00:01:48.720]  第二就是一些事工的方法
[00:01:48.720 --> 00:01:50.720]  一些Ministry的Methods
[00:01:50.720 --> 00:01:55.200]  他說很多時候兩者中間缺少了一樣東西
[00:01:55.200 --> 00:01:56.400]  是甚麼呢?
[00:01:56.400 --> 00:01:59.680]  他就說神學的意象
[00:01:59.680 --> 00:02:01.280]  所以變成怎樣呢?
[00:02:01.280 --> 00:02:02.480]  他就說很奇怪的
[00:02:02.480 --> 00:02:04.880]  很多時候我們發現
[00:02:04.880 --> 00:02:08.320]  明明兩間教會都信同一堆信條
[00:02:08.320 --> 00:02:11.040]  但這兩間教會可以是完全不同
[00:02:11.040 --> 00:02:16.240]  而另外可能有兩間教會都是用同一種方法
[00:02:16.240 --> 00:02:18.080]  但一間教會就成功
[00:02:18.080 --> 00:02:19.760]  一間教會就失敗
[00:02:19.760 --> 00:02:20.800]  為甚麼會這樣呢?
[00:02:20.800 --> 00:02:24.240]  因為我們缺乏了中間那一層
[00:02:24.240 --> 00:02:27.680]  就是Theological Vision,神學意象
[00:02:27.680 --> 00:02:30.240]  甚麼是神學意象呢?
[00:02:30.240 --> 00:02:32.240]  他就很簡單地說
[00:02:32.240 --> 00:02:34.240]  如果教義是問我們相信甚麼
[00:02:34.240 --> 00:02:37.680]  方法是問我們應該做甚麼
[00:02:37.680 --> 00:02:42.400]  神學意象就是問我們究竟怎樣去理解這個世界
[00:02:42.400 --> 00:02:44.640]  即是我們怎樣理解福音
[00:02:44.640 --> 00:02:46.000]  我們怎樣理解文化
[00:02:46.000 --> 00:02:48.000]  我們怎樣理解這個城市
[00:02:48.000 --> 00:02:50.000]  我們怎樣理解我們的使命
[00:02:50.000 --> 00:02:55.280]  他說這些理解其實是直接塑造教會所有的決定
[00:02:55.280 --> 00:02:57.280]  Tim Keller就說
[00:02:57.280 --> 00:02:59.280]  如果教義是Hardware
[00:02:59.280 --> 00:03:02.560]  子宮的這些模式是Software
[00:03:02.560 --> 00:03:05.760]  那麼神學意象其實是Middleware
[00:03:05.760 --> 00:03:09.520]  他說是連接兩者的核心系統
[00:03:09.520 --> 00:03:14.000]  Tim Keller就把這本書分成三個部份
