
[00:00:00.000 --> 00:00:08.000]  新年的時候大家都會互相祝福
[00:00:08.000 --> 00:00:11.000]  我們都很想尋求多福
[00:00:11.000 --> 00:00:15.000]  都很想能夠可以將祝福帶給我們身邊的人
[00:00:15.000 --> 00:00:18.000]  很多時候你聽到一些朋友
[00:00:18.000 --> 00:00:20.000]  弟兄姊妹跟你祝福的時候
[00:00:20.000 --> 00:00:22.000]  都會有一種感覺
[00:00:22.000 --> 00:00:25.000]  祝福的語句越大越多
[00:00:25.000 --> 00:00:29.000]  將祝福帶給你就越好
[00:00:29.000 --> 00:00:32.000]  所以中國人有些時候很多的祝福句
[00:00:32.000 --> 00:00:36.000]  就講到大吉大利
[00:00:36.000 --> 00:00:41.000]  但不只是大吉 要萬事大吉
[00:00:41.000 --> 00:00:46.000]  你告訴他 我好開心 雙喜臨門
[00:00:46.000 --> 00:00:50.000]  雙喜臨門不夠 五福臨門才夠
[00:00:50.000 --> 00:00:54.000]  盡量多一點 盡量大一點
[00:00:54.000 --> 00:00:57.000]  這個都是我們的盼望
[00:00:57.000 --> 00:01:00.000]  但我們更加知道聖經給我們看到
[00:01:00.000 --> 00:01:05.000]  我們的上帝是萬福的傳元
[00:01:05.000 --> 00:01:06.000]  在祂的裡面
[00:01:06.000 --> 00:01:12.000]  祂將一切天上地下屬靈的福氣賜給我們
[00:01:12.000 --> 00:01:14.000]  是祂給我們的應許
[00:01:14.000 --> 00:01:18.000]  祂是應許 祂是賜恩的上帝
[00:01:18.000 --> 00:01:23.000]  因為神是很樂意將恩典賜給尋求的人
[00:01:23.000 --> 00:01:29.000]  所以祂不會吝嗇 祂樂意將各樣的恩惠賜給我們
[00:01:29.000 --> 00:01:32.000]  因為祂是賜恩的上帝
[00:01:32.000 --> 00:01:35.000]  當我們上上去經歷神的恩典的時候
[00:01:35.000 --> 00:01:37.000]  你會發覺聖經裡面特別提及
[00:01:37.000 --> 00:01:41.000]  哪些人能夠領受神的祝福
[00:01:41.000 --> 00:01:45.000]  就是那些願意敬畏祂的人
[00:01:45.000 --> 00:01:48.000]  凡是敬畏上帝的人
[00:01:48.000 --> 00:01:52.000]  領受神給他們各樣的福氣
[00:01:52.000 --> 00:01:54.000]  我們今天會讀回聖經
[00:01:54.000 --> 00:01:55.000]  阿伯拉罕的故事
[00:01:55.000 --> 00:01:57.000]  他獻衣殺的事情
[00:01:57.000 --> 00:01:59.000]  是我們常常都記得的
[00:01:59.000 --> 00:02:00.000]  但你會留意到
[00:02:00.000 --> 00:02:02.000]  在經文裡面特別提到
[00:02:02.000 --> 00:02:06.000]  神是大大的賜福給阿伯拉罕
[00:02:06.000 --> 00:02:07.000]  不如大家今天
[00:02:07.000 --> 00:02:08.000]  由打開聖經
