
[00:00:00.000 --> 00:00:02.660]  我們今天一起領受聖經給我們的說話
[00:00:02.660 --> 00:00:05.480]  請大家同心同意我們祈禱仰望神
[00:00:05.480 --> 00:00:08.760]  主我們到祢的面前
[00:00:08.760 --> 00:00:12.880]  我們願意永遠永遠依靠祢的慈愛
[00:00:12.880 --> 00:00:16.280]  因為祢是我們的主 是我們的神
[00:00:16.280 --> 00:00:17.800]  我們感謝祢
[00:00:17.800 --> 00:00:22.440]  主我求祢給我們心靈上上聽見聖靈的微聲
[00:00:22.440 --> 00:00:24.920]  領受祢給我們的引導
[00:00:24.920 --> 00:00:26.760]  祢給我們的指示
[00:00:27.160 --> 00:00:30.640]  讓人生的路真的每一步緊緊跟隨祢
[00:00:30.640 --> 00:00:35.560]  主祢很願意每時每刻來禱告祢 尋求祢
[00:00:35.560 --> 00:00:40.080]  以至我們真的經歷到祢是那位又真又活的上帝
[00:00:40.080 --> 00:00:44.560]  主感動我們的心 知道祢是那位可靠的主
[00:00:44.560 --> 00:00:48.960]  我們更加知道全心地來投靠祢 仰望祢
[00:00:48.960 --> 00:00:53.640]  主祢就將祢天上的恩惠傾注在我們生命當中
[00:00:53.640 --> 00:00:56.920]  主多謝祢讓我們今天再次坐在一起
[00:00:56.920 --> 00:00:58.920]  領受祢聖經的恩賢
[00:00:58.920 --> 00:01:02.320]  主祢的道是靈 是生命
[00:01:02.320 --> 00:01:04.080]  叫人得到自由
[00:01:04.080 --> 00:01:07.200]  今天求祢再次賜下祢的恩賢
[00:01:07.200 --> 00:01:09.920]  讓我們各人在祢面前蒙恩
[00:01:09.920 --> 00:01:13.040]  主我們願意高舉祢 尊崇祢
[00:01:13.040 --> 00:01:15.040]  求祢賜下祢的聖靈
[00:01:15.040 --> 00:01:17.280]  在不同的禮堂裡面
[00:01:17.280 --> 00:01:19.280]  主向我們說話
[00:01:19.280 --> 00:01:20.960]  施恩於我們
[00:01:20.960 --> 00:01:23.640]  我們同心仰望祈禱
[00:01:23.640 --> 00:01:25.920]  奉耶穌基督成名求
[00:01:25.920 --> 00:01:27.920]  阿門
[00:01:27.920 --> 00:01:29.920]  我們再看剛才讀過的聖經
[00:01:29.920 --> 00:01:31.920]  《雅各書》第四章
[00:01:31.920 --> 00:01:34.120]  我們今天的題目提到就是
[00:01:34.120 --> 00:01:36.600]  為什麼我忘志不能祈禱
[00:01:36.600 --> 00:01:38.800]  大家知道我們這個季度
[00:01:38.800 --> 00:01:41.600]  我們會集中思想有關祈禱的訊息
[00:01:41.600 --> 00:01:43.800]  你記得我們的季題是什麼嗎?
[00:01:43.800 --> 00:01:47.120]  作個禱告人
