
[00:00:00.000 --> 00:00:09.200]  2月6日改變了過百萬土耳其人和以色列人的生命
[00:00:09.200 --> 00:00:14.200]  這個大地震已經死亡人數超過了四萬多人
[00:00:14.200 --> 00:00:17.400]  應該會繼續增加
[00:00:17.400 --> 00:00:20.000]  很多的流雨倒塌
[00:00:20.000 --> 00:00:22.000]  當然有一幕很感人的
[00:00:22.000 --> 00:00:24.000]  很觸動我們的內心
[00:00:24.000 --> 00:00:27.600]  就是一個初生的嬰孩在壓力當中被救出來
[00:00:27.600 --> 00:00:32.000]  但是媽媽在當中離世
[00:00:32.000 --> 00:00:40.000]  相信地震過後要重建這個區域
[00:00:40.000 --> 00:00:42.400]  無論是土耳其還是敘利亞
[00:00:42.400 --> 00:00:44.400]  是以十年計的
[00:00:44.400 --> 00:00:48.800]  你看到的廣泛性和倒塌性
[00:00:48.800 --> 00:00:52.000]  不是一兩年的事可以重建
[00:00:52.000 --> 00:00:54.000]  是以十年計的
[00:00:54.000 --> 00:00:59.000]  重建工程是一個很漫長的過程
[00:00:59.000 --> 00:01:01.600]  不單止流雨的重建工程漫長
[00:01:01.600 --> 00:01:06.000]  屬靈的生命的重建工程也是漫長
[00:01:06.000 --> 00:01:12.000]  並且如果我們認定我們走一條誠信之路
[00:01:12.000 --> 00:01:16.600]  我們屬靈的生命的重建是一生之久
[00:01:16.600 --> 00:01:19.800]  從今時或從耶穌那一刻開始
[00:01:19.800 --> 00:01:23.000]  到現在直到離世見主面
[00:01:23.000 --> 00:01:25.400]  都是一個重建中的工程
[00:01:25.400 --> 00:01:29.600]  這個工程是很需要神的幫助
[00:01:29.600 --> 00:01:33.000]  今天的經文帶領著我們思考
[00:01:33.000 --> 00:01:38.000]  如何重建我們屬靈群體的生命
[00:01:38.000 --> 00:01:43.000]  在以色列記一開始我們有少許重溫
[00:01:43.000 --> 00:01:46.000]  居高士旺頒佈詔書
[00:01:46.000 --> 00:01:49.800]  讓一批以色列子民被告回歸
[00:01:49.800 --> 00:01:51.000]  去到耶路撒冷
[00:01:51.000 --> 00:01:54.000]  當然有建立祭壇
[00:01:54.000 --> 00:01:57.000]  有建立了聖殿的根基
[00:01:57.000 --> 00:01:59.000]  雖然受到一些難阻
[00:01:59.000 --> 00:02:04.000]  但最後經過了四年的支久
[00:02:04.000 --> 00:02:07.000]  他們能夠重建了第二個聖殿
[00:02:07.000 --> 00:02:11.000]  在上一次上一回我講道的時候
[00:02:11.000 --> 00:02:14.000]  其實這個聖殿的重建
[00:02:14.000 --> 00:02:16.000]  聖殿能夠重建起來
[00:02:16.000 --> 00:02:18.000]  都是神有很奇妙的計劃
[00:02:18.000 --> 00:02:20.000]  是按著他的心意
[00:02:20.000 --> 00:02:23.000]  超過我們所想所求
[00:02:23.000 --> 00:02:27.000]  所以神配得一切的尊崇和敬拜
[00:02:27.000 --> 00:02:29.000]  這就是頭歌六章
[00:02:29.000 --> 00:02:32.000]  最主要帶給我們一個這樣的訊息
[00:02:32.000 --> 00:02:36.000]  在一個很不可能的很艱難的歲月
[00:02:36.000 --> 00:02:38.000]  我們榮耀的神偉大的神
[00:02:38.000 --> 00:02:41.000]  成就了他一個很奇妙的工作
[00:02:41.000 --> 00:02:43.000]  是值得我們思想的
[00:02:43.000 --> 00:02:45.000]  對我們今天也是
[00:02:45.000 --> 00:02:48.000]  面對我們個人家庭工作
[00:02:48.000 --> 00:02:51.000]  面對教會的大環境
[00:02:51.000 --> 00:02:54.000]  神也要透過我們這個屬靈群體
[00:02:54.000 --> 00:02:57.000]  成就上主的工作
[00:02:57.000 --> 00:03:01.000]  這是以色列記的頭一部分
[00:03:01.000 --> 00:03:02.000]  一至六章
[00:03:02.000 --> 00:03:04.000]  然後以色列記就轉向
[00:03:04.000 --> 00:03:09.000]  七至十章到第二個部分
[00:03:09.000 --> 00:03:10.000]  第二個部分
[00:03:10.000 --> 00:03:11.000]  一開始今天的經文
[00:03:11.000 --> 00:03:14.000]  「這事已後」
[00:03:14.000 --> 00:03:16.000]  「這事已後」已經過了很久
[00:03:16.000 --> 00:03:18.000]  這件事的第七章開始
[00:03:18.000 --> 00:03:21.000]  就是公元前的458年
[00:03:21.000 --> 00:03:24.000]  也是第二聖殿重建之後的60年
