
[00:00:00.000 --> 00:00:07.080]  彼得前書第四章當然就是彼得在年老的時候所寫的書信
[00:00:07.080 --> 00:00:14.480]  彼得前書很有意思的,因為年老的彼得當時他自己和教會的弟兄姊妹
[00:00:14.480 --> 00:00:18.800]  他就是收信的人,都是在面對著很多的打擊
[00:00:18.800 --> 00:00:24.680]  這個打擊是因為當時羅馬帝國對基督徒有很多的迫害
[00:00:24.680 --> 00:00:32.680]  甚至是很多的虐待,很多的死亡,令他們很痛苦
[00:00:32.680 --> 00:00:40.320]  究竟作為一個教會的領袖,神自己感動彼得怎樣和他們一起去面對這些問題
[00:00:40.320 --> 00:00:43.480]  年老的彼得真的很有經驗,一會兒你看就知道
[00:00:43.480 --> 00:00:47.960]  他提出了一些讓我們值得去留心的地方
[00:00:47.960 --> 00:00:50.920]  希望神的話今天都感動你,也感動我
[00:00:50.920 --> 00:00:58.720]  可能你就是在傷痛裡面,可能你就是在這種仍然受傷和創傷之中
[00:00:58.720 --> 00:01:03.200]  如果是這樣的話,我希望神的話可以一起互相鼓勵
[00:01:03.200 --> 00:01:06.600]  不過說第四章,剛才我們讀了一至十一節
[00:01:06.600 --> 00:01:09.440]  其實第四章還有其他很多很好的經文
[00:01:09.440 --> 00:01:13.240]  我們會跟大家一起來思想
[00:01:13.240 --> 00:01:15.520]  先說一下最近我自己的經驗
[00:01:15.520 --> 00:01:20.440]  不久之前我出席了一個晚宴
[00:01:20.440 --> 00:01:25.200]  這個晚宴比較特別的地方是有十多人一位
[00:01:25.200 --> 00:01:30.640]  都是社會上非常有成就的人
[00:01:30.640 --> 00:01:38.240]  他們除了兩個邀請基督徒的朋友之外,其他都不是基督徒
[00:01:38.240 --> 00:01:39.440]  他們為什麼會來呢?
[00:01:39.440 --> 00:01:43.680]  說明了,他們來就是想和你們說一下基督教的信仰
[00:01:43.680 --> 00:01:47.440]  因為這些朋友是不會去禮拜堂的
[00:01:47.440 --> 00:01:50.640]  因為他們在禮拜堂出現的時候,大家認得他們
[00:01:50.640 --> 00:01:53.520]  那時候他們根本就不肯去
[00:01:53.520 --> 00:01:57.560]  但是這些朋友自己邀請到,他們就願意來坐下來
[00:01:57.560 --> 00:02:01.520]  就說那晚總而言之,溫博士在這裡
[00:02:01.520 --> 00:02:05.760]  他又不會說道,但是你們有什麼信仰
[00:02:05.760 --> 00:02:09.360]  基督教信仰的問題,你想問,你想了解的
[00:02:09.360 --> 00:02:13.200]  那就隨便,在很自由的氣氛下,大家交流
[00:02:13.200 --> 00:02:16.520]  他們很認真的,他們問的問題都很厲害
[00:02:16.520 --> 00:02:18.520]  就劈頭問了第一個問題
[00:02:18.520 --> 00:02:23.320]  有一位朋友就立刻問,為什麼這個世界這麼多的痛苦
[00:02:23.320 --> 00:02:26.520]  我知道他在問什麼,就是說你的神在搞什麼
[00:02:26.520 --> 00:02:30.720]  你的神如果是真的,為什麼這個世界還有這麼多的痛苦
[00:02:30.720 --> 00:02:33.120]  那我就試試,我說不如我這樣回答吧
[00:02:33.120 --> 00:02:34.520]  我先從佛教來回答你
[00:02:34.520 --> 00:02:37.520]  他就看著我,你不是回答基督教嗎?
[00:02:37.520 --> 00:02:43.520]  我說,我從佛教來講,佛教其實是看得很透
[00:02:43.520 --> 00:02:47.520]  一開始的時候,佛教講人生的四苦
[00:02:47.520 --> 00:02:53.520]  四樣的苦,生、老、病、死
[00:02:53.520 --> 00:02:58.520]  無論你多有錢,無論你多厲害,你都逃不掉
[00:02:58.520 --> 00:03:00.520]  人人都要面對
[00:03:00.520 --> 00:03:04.520]  而且這四樣的東西,是苦來的
[00:03:04.520 --> 00:03:08.520]  所以你問,為什麼這個世界有這麼多的痛苦
[00:03:08.520 --> 00:03:13.520]  答案就是,痛苦根本就是我們生命必然會經過的東西
[00:03:13.520 --> 00:03:16.520]  你說,誰不會生病呢?
[00:03:16.520 --> 00:03:20.520]  誰生病是不痛苦的?
[00:03:20.520 --> 00:03:23.520]  誰不會死呢?
