
[00:00:00.000 --> 00:00:07.000]  我們在崇拜裏面講到這幾個星期都會講到登山補訓。
[00:00:07.000 --> 00:00:10.800]  耶穌在這一段的說話裏面,
[00:00:10.800 --> 00:00:13.200]  由《馬太方》第五章至第七章,
[00:00:13.200 --> 00:00:16.400]  是講了一個很重要的一個訊息,
[00:00:16.400 --> 00:00:19.200]  就是一個預備進入天國的人,
[00:00:19.200 --> 00:00:21.500]  或者想進入天國的人,
[00:00:21.500 --> 00:00:26.000]  想跟從上帝的人應該有的心態是怎樣。
[00:00:26.000 --> 00:00:28.500]  在第一章至第四章就講到耶穌來了,
[00:00:28.500 --> 00:00:30.200]  祂傳一個訊息,
[00:00:30.200 --> 00:00:33.300]  「天國近了,你們應當悔改。」
[00:00:33.300 --> 00:00:36.100]  在這個訊息之後就更加清楚地講出,
[00:00:36.100 --> 00:00:40.500]  什麼叫做悔改的一個心態。
[00:00:40.500 --> 00:00:42.600]  在當時的猶太人,
[00:00:42.600 --> 00:00:44.300]  或者民事和法理上有一些,
[00:00:44.300 --> 00:00:46.000]  很強調那個行為,
[00:00:46.000 --> 00:00:47.200]  你要做些什麼,
[00:00:47.200 --> 00:00:48.500]  你要不做些什麼,
[00:00:48.500 --> 00:00:51.100]  這樣你就可以跟從上帝。
[00:00:51.100 --> 00:00:53.300]  在整個登山補訓裏面,
[00:00:53.300 --> 00:00:56.300]  基本上焦點不在行為那裏,
[00:00:56.300 --> 00:00:59.800]  而是講到整個生命上的一個改變。
[00:00:59.800 --> 00:01:04.500]  所以我們要從這個角度去理解登山補訓,
[00:01:04.500 --> 00:01:06.500]  我們才明白一些內容。
[00:01:06.500 --> 00:01:08.200]  如果我們按照字面的,
[00:01:08.200 --> 00:01:10.900]  好像今天一些經文的耶穌的教導,
[00:01:10.900 --> 00:01:12.200]  我們很難去明白。
[00:01:12.200 --> 00:01:14.300]  首先我們要從這個角度去理解,
[00:01:14.300 --> 00:01:17.900]  一個整個生命的根生是怎樣的呢?
[00:01:17.900 --> 00:01:21.900]  第一方面,耶穌在這裏講出了一個起勢的問題,
[00:01:21.900 --> 00:01:24.000]  當很多基督徒去看一段經文,
[00:01:24.000 --> 00:01:25.900]  就會有一個掙扎,
[00:01:25.900 --> 00:01:28.400]  就是說基督徒是不可以起勢的,
[00:01:28.400 --> 00:01:34.100]  所以大家知不知道現在有時在法庭裏面都要宣誓的,
[00:01:34.100 --> 00:01:35.300]  所以有些基督徒可能有掙扎,
[00:01:35.300 --> 00:01:36.500]  那我還不做呢?
[00:01:36.500 --> 00:01:38.000]  做好像違背聖經,
[00:01:38.000 --> 00:01:39.800]  在字面上這樣理解,
[00:01:39.800 --> 00:01:40.600]  不做又不行,
[00:01:40.600 --> 00:01:43.900]  因為在那個處境你不可以不做那個行動,
[00:01:43.900 --> 00:01:45.400]  你一定要做。
[00:01:45.400 --> 00:01:48.400]  所以耶穌在這裏,
[00:01:48.400 --> 00:01:49.400]  我們更深去看,
[00:01:49.400 --> 00:01:54.000]  耶穌在這裏是不是在講不可以起勢呢?
[00:01:54.000 --> 00:01:57.100]  我們從整個聖經的角度去講,
[00:01:57.100 --> 00:01:58.400]  大家如果留意的話,
[00:01:58.400 --> 00:01:59.400]  在舊的聖經,
[00:01:59.400 --> 00:02:01.400]  上帝都有起勢的,
[00:02:01.400 --> 00:02:03.500]  上帝是指著自己的名起勢,
[00:02:03.500 --> 00:02:05.500]  指著自己的永生起勢,
[00:02:05.500 --> 00:02:08.700]  上帝祂自己都有起勢這個動作,
[00:02:08.700 --> 00:02:10.400]  其實耶穌也有的,
[00:02:10.400 --> 00:02:12.300]  保羅也經常說,
[00:02:12.300 --> 00:02:15.100]  我以神的名為勢,
[00:02:15.100 --> 00:02:15.600]  可以這樣說,
[00:02:15.600 --> 00:02:17.400]  就是作我的見證人,
[00:02:17.400 --> 00:02:20.800]  所以其實無論在舊約的聖經,
[00:02:20.800 --> 00:02:25.000]  上帝自己、耶穌和保羅都有起勢的行動,
[00:02:25.000 --> 00:02:29.700]  但是到了耶穌那個年代,
[00:02:29.700 --> 00:02:33.600]  起勢這個精神已經嚴重被扭曲了,
[00:02:33.600 --> 00:02:34.800]  嚴重被扭曲,
[00:02:34.800 --> 00:02:36.000]  舉一個例子,
[00:02:36.000 --> 00:02:37.700]  當時有一個拉比,
[00:02:37.700 --> 00:02:39.300]  就是有個老師會說,
[00:02:39.300 --> 00:02:43.400]  如果你用手指指著耶路撒冷起勢,
[00:02:43.400 --> 00:02:46.100]  那個勢是可以不用手的,
[00:02:46.100 --> 00:02:48.700]  就是對你沒有什麼約束力的,
[00:02:48.700 --> 00:02:53.100]  不過如果你面向著耶路撒冷起勢,
[00:02:53.100 --> 00:02:56.800]  那你的誓言就一定要遵守了,
