
[00:00:00.000 --> 00:00:04.280]  我們中間最大多數都是信主的弟兄姊妹
[00:00:04.280 --> 00:00:06.280]  當我們信主的時候
[00:00:06.280 --> 00:00:09.000]  到今天都常常提一節的聖經
[00:00:09.000 --> 00:00:10.400]  以佛所書所講
[00:00:10.400 --> 00:00:15.800]  我們得救是本乎因也因著順
[00:00:15.800 --> 00:00:18.000]  能夠蒙恩得救
[00:00:18.000 --> 00:00:20.800]  是完全是神的恩典
[00:00:20.800 --> 00:00:24.800]  意味著不是我們自己的努力去自救
[00:00:24.800 --> 00:00:27.400]  而是神自己的恩典
[00:00:27.400 --> 00:00:30.200]  是白白的來幫助我們
[00:00:30.200 --> 00:00:33.000]  來領受祂給我們的赦罪
[00:00:33.000 --> 00:00:35.800]  領受祂給我們的拯救
[00:00:35.800 --> 00:00:38.600]  有人說既然有這麼大的恩典
[00:00:38.600 --> 00:00:40.400]  都不用太擔心
[00:00:40.400 --> 00:00:42.800]  我們可以隨便地生活
[00:00:42.800 --> 00:00:45.200]  神的恩典會繼續赦免
[00:00:45.200 --> 00:00:47.600]  繼續幫助我們
[00:00:47.600 --> 00:00:48.800]  一方面是事實
[00:00:48.800 --> 00:00:50.200]  另一方面
[00:00:50.200 --> 00:00:53.400]  保羅回應這個意念的時候
[00:00:53.400 --> 00:00:56.600]  在羅馬書很清楚講一句話
[00:00:56.600 --> 00:00:58.400]  他說如果信了主的人
[00:00:58.400 --> 00:01:02.000]  我們怎可以凝在罪中活著
[00:01:02.000 --> 00:01:04.800]  叫恩典顯多呢
[00:01:04.800 --> 00:01:06.400]  然後接著他講
[00:01:06.400 --> 00:01:08.800]  斷乎不可
[00:01:08.800 --> 00:01:10.600]  一個已經蒙恩的人
[00:01:10.600 --> 00:01:14.200]  怎可以不珍惜神給的恩典
[00:01:14.200 --> 00:01:17.000]  而繼續停留在罪裡面
[00:01:17.000 --> 00:01:20.400]  這個是斷乎不可的事情
[00:01:20.400 --> 00:01:22.400]  當聖經裡面提到神的恩惠
