
[00:00:00.000 --> 00:00:03.000]  你第一次來香港佈道的時候
[00:00:03.000 --> 00:00:06.500]  我和你第一次來香港佈道的時候
[00:00:06.500 --> 00:00:10.000]  請你記得參加那個通宵的禱告會
[00:00:10.000 --> 00:00:13.500]  請你記得參加那個通宵的禱告會
[00:00:13.500 --> 00:00:15.000]  有二百多人
[00:00:15.000 --> 00:00:16.500]  有二百多人
[00:00:16.500 --> 00:00:18.500]  大家妥協的禱告
[00:00:18.500 --> 00:00:20.000]  大家不切的祈求
[00:00:20.000 --> 00:00:21.000]  發出能力
[00:00:21.000 --> 00:00:22.500]  發出能力
[00:00:22.500 --> 00:00:27.000]  我希望今年在靠近佈道大會的時候
[00:00:27.000 --> 00:00:29.500]  也有通宵的禱告會
[00:00:29.500 --> 00:00:33.000]  我希望今年在靠近佈道大會的時候
[00:00:33.000 --> 00:00:35.000]  也有通宵的禱告會
[00:00:35.000 --> 00:00:38.500]  我也相信我們中間有不少的弟兄姊妹
[00:00:38.500 --> 00:00:41.000]  樂意參加那個禱告會
[00:00:41.000 --> 00:00:44.000]  我相信在我們中間的不少弟兄姊妹
[00:00:44.000 --> 00:00:47.000]  都樂意參加那一次的禱告會
[00:00:47.000 --> 00:00:50.500]  哥布林佈道隊第二次來香港的時候
[00:00:50.500 --> 00:00:53.500]  哥布林佈道隊第二次來香港的時候
[00:00:53.500 --> 00:00:55.000]  哥布林自己沒有來
[00:00:55.000 --> 00:00:56.500]  哥布林自己沒有來
[00:00:56.500 --> 00:00:58.000]  但他的同工來了
[00:00:58.000 --> 00:00:59.500]  但他的同工來了
[00:00:59.500 --> 00:01:00.500]  那一次呢
[00:01:00.500 --> 00:01:01.500]  那一次呢
[00:01:01.500 --> 00:01:05.000]  兄弟參加受陪談的訓練
[00:01:05.000 --> 00:01:07.000]  兄弟參加受陪談的訓練
[00:01:07.000 --> 00:01:08.500]  做一個陪談員
[00:01:08.500 --> 00:01:10.000]  做一個陪談員
[00:01:10.000 --> 00:01:13.500]  我記得佈道大會裡面有一天下大雨
[00:01:13.500 --> 00:01:16.500]  我記得佈道大會裡面有一晚下大雨
[00:01:16.500 --> 00:01:19.500]  大家拿著傘坐在那兒都不動
[00:01:19.500 --> 00:01:23.500]  大家那時候一街坐在那兒都不動
[00:01:23.500 --> 00:01:27.000]  當我看見大概九百人聚集到台前
[00:01:27.000 --> 00:01:28.500]  學制信祖的時候
[00:01:28.500 --> 00:01:30.000]  我在他們中間來往
[00:01:30.000 --> 00:01:33.000]  找哪一個我可以和他談話呢
[00:01:33.000 --> 00:01:38.000]  在他們中間大概有九百人到台前去視訊處的時候
[00:01:38.000 --> 00:01:39.500]  我就往來尋找
[00:01:39.500 --> 00:01:40.500]  我要找一個
[00:01:40.500 --> 00:01:41.500]  我要找一個
[00:01:41.500 --> 00:01:43.500]  找一個是我可以向他陪談的
[00:01:43.500 --> 00:01:46.000]  為主工作非常的快樂
[00:01:46.000 --> 00:01:49.000]  為主工作非常的快樂
[00:01:49.000 --> 00:01:53.000]  我希望各位中間有許多的人參加陪談的訓練
[00:01:53.000 --> 00:01:57.000]  我希望各位中間有許多的人參加陪談的訓練
[00:01:57.000 --> 00:02:01.000]  有很多人參加五千人的大師班
[00:02:01.000 --> 00:02:05.000]  有很多人會參加五千人的大師班
[00:02:05.000 --> 00:02:06.500]  讓我們用禱告
[00:02:06.500 --> 00:02:08.000]  讓我們用禱告
[00:02:08.000 --> 00:02:09.000]  用讚美
[00:02:09.000 --> 00:02:10.000]  用讚美
[00:02:10.000 --> 00:02:11.500]  把佈道的工作
[00:02:11.500 --> 00:02:12.500]  把佈道的工作
[00:02:12.500 --> 00:02:13.500]  佈住
[00:02:13.500 --> 00:02:14.000]  佈住
[00:02:14.000 --> 00:02:16.500]  佈到主的寶座前
[00:02:16.500 --> 00:02:18.000]  佈到主的寶座前
[00:02:18.000 --> 00:02:19.500]  讓主的靈
[00:02:19.500 --> 00:02:20.500]  讓主的靈
[00:02:20.500 --> 00:02:23.000]  在整個佈道會裡面運行
[00:02:23.000 --> 00:02:25.500]  在整個佈道會裡面運行
[00:02:25.500 --> 00:02:29.000]  我們要看見千千萬萬的人進駐
[00:02:29.000 --> 00:02:32.000]  我要看見千千萬萬的人進駐
[00:02:32.000 --> 00:02:33.000]  讓我們禱告
[00:02:33.000 --> 00:02:34.000]  讓我們禱告
[00:02:34.000 --> 00:02:37.000]  讓我們帶著一切的期望
[00:02:37.000 --> 00:02:40.000]  讓我們帶著一切的期望
[00:02:40.000 --> 00:02:42.000]  來等候大會的來臨
[00:02:42.000 --> 00:02:44.500]  來等候大會的來臨
[00:02:44.500 --> 00:02:48.500]  我看見有這麼多的青年人在我們中間
[00:02:48.500 --> 00:02:52.500]  我看見有這麼多的青年人在我們中間
[00:02:52.500 --> 00:02:56.500]  我坐在那裡心裡禱告的那個焦點
[00:02:56.500 --> 00:02:59.500]  我心裡坐在那裡有個禱告的焦點
[00:02:59.500 --> 00:03:05.000]  那就是求主哲學在這裡的每一位青年
[00:03:05.000 --> 00:03:05.000]  那就是求主哲學在這裡的每一位青年
[00:03:05.000 --> 00:03:09.500]  求主德爵所做的幫助每一位的青年人
[00:03:09.500 --> 00:03:11.000]  在主的心目中
[00:03:11.000 --> 00:03:12.500]  在主的心目中
[00:03:12.500 --> 00:03:14.500]  你們何等的寶貴
[00:03:14.500 --> 00:03:16.000]  你們何等的寶貴
[00:03:16.000 --> 00:03:18.000]  主要哲學你們
[00:03:18.000 --> 00:03:19.500]  主要德爵你們
[00:03:19.500 --> 00:03:20.500]  主要德爵你們
[00:03:20.500 --> 00:03:22.000]  以後要用你們
[00:03:22.000 --> 00:03:23.000]  主要德爵你們
[00:03:23.000 --> 00:03:24.000]  之後要用你們
[00:03:24.000 --> 00:03:25.500]  他要潔淨你們
[00:03:25.500 --> 00:03:26.500]  他要潔淨你們
[00:03:26.500 --> 00:03:28.000]  他要潔淨的
[00:03:28.000 --> 00:03:29.000]  他要充滿
[00:03:29.000 --> 00:03:30.000]  他潔淨的
[00:03:30.000 --> 00:03:31.000]  他要充滿
[00:03:31.000 --> 00:03:32.500]  他所充滿的
[00:03:32.500 --> 00:03:33.500]  他所充滿的
[00:03:33.500 --> 00:03:35.000]  他要使用
[00:03:35.000 --> 00:03:36.000]  他要使用
[00:03:36.000 --> 00:03:38.000]  如果我們在這裡
[00:03:38.000 --> 00:03:39.000]  如果我們在這裡
[00:03:39.000 --> 00:03:40.000]  眾弟兄姊妹
[00:03:40.000 --> 00:03:43.000]  如果在我們這裡的眾弟兄姊妹
[00:03:43.000 --> 00:03:43.000]  如果在我們這裡的眾弟兄姊妹
[00:03:43.000 --> 00:03:46.000]  所有一個信仰主來用我們
[00:03:46.000 --> 00:03:48.000]  所有一個信仰主來用我們
[00:03:48.000 --> 00:03:50.000]  都是真實的
[00:03:50.000 --> 00:03:52.000]  把自己放在祭壇上
[00:03:52.000 --> 00:03:53.000]  都是真實的
[00:03:53.000 --> 00:03:55.000]  把自己放在祭壇上
[00:03:55.000 --> 00:03:57.000]  成為奉獻的人
[00:03:57.000 --> 00:03:58.000]  成為奉獻的人
[00:03:58.000 --> 00:03:59.000]  我們想一想
[00:03:59.000 --> 00:04:00.000]  我們想一想
[00:04:00.000 --> 00:04:01.000]  你的能力
[00:04:01.000 --> 00:04:02.000]  我的能力
[00:04:02.000 --> 00:04:03.000]  你的作用
[00:04:03.000 --> 00:04:04.000]  我的作用
[00:04:04.000 --> 00:04:05.000]  何等的大
[00:04:05.000 --> 00:04:06.000]  是何等的大
