
[00:00:00.000 --> 00:00:04.280]  請提到神將祂的平安和喜樂賜給我們
[00:00:04.280 --> 00:00:06.600]  而其中最大的關鍵
[00:00:06.600 --> 00:00:09.480]  如何得到神給我們的恩福呢?
[00:00:09.480 --> 00:00:11.720]  關鍵就是四個字
[00:00:11.720 --> 00:00:15.280]  「以神為樂」
[00:00:15.280 --> 00:00:17.000]  以神為樂
[00:00:17.000 --> 00:00:20.680]  以遵從神為我們最大的快樂
[00:00:20.680 --> 00:00:22.520]  在內心深處
[00:00:22.520 --> 00:00:24.200]  是甘心樂意
[00:00:24.200 --> 00:00:28.200]  以遵從神為我們人生的目標
[00:00:28.200 --> 00:00:30.440]  為我們最快樂的事情
[00:00:30.440 --> 00:00:33.000]  這就是蒙福的秘訣
[00:00:33.000 --> 00:00:35.640]  因此聖經裏面特別詩篇上提到
[00:00:35.640 --> 00:00:37.920]  要留心以神為樂
[00:00:37.920 --> 00:00:39.320]  去聽從祂
[00:00:39.320 --> 00:00:43.240]  這是我們得到真福的關鍵
[00:00:43.240 --> 00:00:46.600]  我們一起看聖經詩篇第37篇
[00:00:46.600 --> 00:00:53.000]  看看詩人如何教導我們以神為樂
[00:00:53.000 --> 00:00:57.320]  在聖經詩篇第37篇第一第二節
[00:00:57.320 --> 00:01:00.960]  聖經提醒我們不要因為惡人得到福樂
[00:01:00.960 --> 00:01:02.960]  我們就妒忌他們
[00:01:02.960 --> 00:01:04.960]  不要因為他們有好處
[00:01:04.960 --> 00:01:07.800]  我們就去學校他們
[00:01:07.800 --> 00:01:10.320]  在第一節這樣說
[00:01:10.320 --> 00:01:13.520]  「不要因作惡的人心懷不平
[00:01:13.520 --> 00:01:16.680]  不要因犯罪的人產生嫉妒
[00:01:16.680 --> 00:01:18.480]  因為他們好像草
[00:01:18.480 --> 00:01:20.000]  快要枯乾
[00:01:20.000 --> 00:01:23.840]  像即將凋萎的青草」
[00:01:23.840 --> 00:01:25.080]  大家會很明白
[00:01:25.080 --> 00:01:27.200]  我們身處在這個社會裏面
[00:01:27.200 --> 00:01:31.920]  有時會聽到、見到、經歷到一些不公義的事情
[00:01:31.920 --> 00:01:34.480]  有些人憑著某些權勢
[00:01:34.480 --> 00:01:35.680]  某些關係
[00:01:35.680 --> 00:01:38.680]  就得到利益、名位
[00:01:38.680 --> 00:01:40.240]  當他得到某些權勢的時候
[00:01:40.240 --> 00:01:41.880]  很多時候用他的權力
[00:01:41.880 --> 00:01:44.120]  去剝削別人的利益
[00:01:44.120 --> 00:01:46.320]  我們聽見、看見這些事情的時候
[00:01:46.320 --> 00:01:48.880]  心裏面很不忿
[00:01:48.880 --> 00:01:51.160]  很不甘心
[00:01:51.160 --> 00:01:52.960]  但有些時候心裏想
