
[00:00:00.000 --> 00:00:01.700]  今天和大家思想的就是
[00:00:01.700 --> 00:00:06.080]  在基督裡貧窮者使人付足
[00:00:06.080 --> 00:00:11.420]  我最近在一個場合聽到一位牧師來分享
[00:00:11.420 --> 00:00:14.680]  大家可能都聽到最近一位國際知名的牧師
[00:00:14.680 --> 00:00:15.640]  他來到香港
[00:00:15.640 --> 00:00:18.340]  一位叫華尼克牧師Rick Warren
[00:00:18.340 --> 00:00:21.140]  也是標榜人生的作者
[00:00:21.140 --> 00:00:22.260]  當我聽他分享的時候
[00:00:22.260 --> 00:00:25.060]  其中一點都很提醒我
[00:00:25.060 --> 00:00:30.060]  他提到他在美國有機會接觸很多富豪
[00:00:30.060 --> 00:00:33.480]  這些未曾信耶穌的有錢朋友
[00:00:33.480 --> 00:00:36.280]  當他們和華牧師聊天的時候
[00:00:36.280 --> 00:00:37.740]  華牧師發覺不日而同
[00:00:37.740 --> 00:00:40.200]  很多人都有這樣的現象
[00:00:40.200 --> 00:00:42.740]  他將它歸納成三點
[00:00:42.740 --> 00:00:45.460]  第一,很多有錢的朋友
[00:00:45.460 --> 00:00:48.200]  雖然他們有很多錢財
[00:00:48.200 --> 00:00:51.840]  但他們常常表達他們很疲倦
[00:00:51.840 --> 00:00:55.260]  常常覺得好像精神透支一樣
[00:00:55.260 --> 00:00:56.380]  但沒有辦法
[00:00:56.380 --> 00:00:58.180]  好像有很多工作、很多責任
[00:00:58.180 --> 00:01:00.300]  他們不可以放下
[00:01:00.300 --> 00:01:02.020]  第二,這些富豪表達
[00:01:02.020 --> 00:01:05.260]  雖然很多時候他們很有名聲
[00:01:05.260 --> 00:01:07.220]  很多人聽他們的指示
[00:01:07.220 --> 00:01:11.740]  但他們都說其實內心裡覺得很空虛
[00:01:11.740 --> 00:01:13.520]  覺得裡面很空洞
[00:01:13.520 --> 00:01:15.700]  不知道為了什麼
[00:01:15.700 --> 00:01:18.360]  第三,他說這些富豪
[00:01:18.360 --> 00:01:20.980]  趕到自己人生的路的時候
[00:01:20.980 --> 00:01:23.940]  常常覺得自己好像被困的感覺
[00:01:23.940 --> 00:01:25.900]  被奴役的感覺
[00:01:25.900 --> 00:01:27.360]  用他們的字眼
[00:01:27.360 --> 00:01:30.940]  華牧師說「I am trapped」
[00:01:30.940 --> 00:01:32.400]  好像很自由
[00:01:32.400 --> 00:01:35.020]  有錢、有人、有各種資源
[00:01:35.020 --> 00:01:38.200]  但心底裡卻好像被困住
[00:01:38.200 --> 00:01:39.660]  不知道有什麼出路
[00:01:39.660 --> 00:01:42.660]  不知道有什麼方向
[00:01:42.660 --> 00:01:44.360]  我聽的時候心裡想
[00:01:44.360 --> 00:01:46.780]  但願有更多有錢的朋友
[00:01:46.780 --> 00:01:48.820]  都能夠認識主耶穌
[00:01:48.820 --> 00:01:51.460]  得到真正的富足
[00:01:51.460 --> 00:01:52.380]  另一個角度來說
[00:01:52.380 --> 00:01:55.300]  其實很多有錢、有資源的朋友
[00:01:55.300 --> 00:01:57.640]  其實某個角度來說
[00:01:57.640 --> 00:01:59.900]  當他們不認識主耶穌的時候
[00:01:59.900 --> 00:02:02.860]  他們是貧窮
[00:02:02.860 --> 00:02:04.980]  但對於一群屬神的人
[00:02:04.980 --> 00:02:06.560]  包括你和我
[00:02:06.560 --> 00:02:08.360]  無論我們有沒有資源、有沒有學問
[00:02:08.360 --> 00:02:10.820]  有沒有健康、有沒有名聲
[00:02:10.820 --> 00:02:12.480]  當我們有主耶穌的時候
[00:02:12.480 --> 00:02:14.060]  我們可以放膽說
