
[00:00:00.000 --> 00:00:03.000]  不知道大家近來多不多看電視
[00:00:03.000 --> 00:00:12.000]  我真的差不多在過去一個星期看了半年的電視
[00:00:12.000 --> 00:00:18.000]  其中大家都很高興
[00:00:18.000 --> 00:00:22.000]  Vivian 江文慧我做金牌
[00:00:22.000 --> 00:00:24.000]  大家有沒有看直播那一場
[00:00:24.000 --> 00:00:27.000]  真的差點心臟病
[00:00:27.000 --> 00:00:31.000]  不過她不及張家朗 張家朗更加超級心臟病
[00:00:31.000 --> 00:00:37.000]  今天Vivian 不知道大家有沒有看過手機
[00:00:37.000 --> 00:00:42.000]  她發文告別運動 不再做全職運動員
[00:00:42.000 --> 00:00:47.000]  她會再專心發展她的學業
[00:00:47.000 --> 00:00:49.000]  因為她在讀法律博士
[00:00:49.000 --> 00:00:53.000]  其實她是文武全才的人
[00:00:53.000 --> 00:00:58.000]  文武也行 非常之好
[00:00:58.000 --> 00:01:02.000]  我叛軍那天早上
[00:01:02.000 --> 00:01:09.000]  師母說原來她是靠著信仰度過人生最艱難的時候
[00:01:09.000 --> 00:01:15.000]  因為她多次受傷 包括十字韌帶斷裂了好幾次
[00:01:15.000 --> 00:01:21.000]  我心中覺得這麼好 靠著信仰度過艱難
[00:01:21.000 --> 00:01:23.000]  真是感恩
[00:01:23.000 --> 00:01:28.000]  誰知再轉到網上再看一看
[00:01:28.000 --> 00:01:34.000]  原來江文慧在美國進修的時候遇上了佛學
[00:01:34.000 --> 00:01:37.000]  她說面對傷患的時候
[00:01:37.000 --> 00:01:41.000]  她接觸到星雲大師
[00:01:41.000 --> 00:01:43.000]  對佛學產生興趣
[00:01:43.000 --> 00:01:46.000]  從中領悟了一些道理
[00:01:46.000 --> 00:01:53.000]  以至她可以將負面情緒和困難轉化成動力
[00:01:53.000 --> 00:01:59.000]  本來初初聽到她靠著信仰面對艱難
[00:01:59.000 --> 00:02:01.000]  有一個很正面的印象
[00:02:01.000 --> 00:02:04.000]  但原來也是錯誤的判斷
[00:02:04.000 --> 00:02:09.000]  對我來說 以為是這樣 但其實不是這樣
[00:02:09.000 --> 00:02:11.000]  今天的經文就是這樣
[00:02:11.000 --> 00:02:18.000]  耶穌的母親和民事對耶穌本身有一個判斷
[00:02:18.000 --> 00:02:21.000]  但這個判斷是錯誤的判斷
[00:02:21.000 --> 00:02:28.000]  而耶穌當中不單是糾正了家人和民事的錯誤判斷
[00:02:28.000 --> 00:02:33.000]  並且講述了祂來到世上最重要的目的是什麼
[00:02:33.000 --> 00:02:35.000]  所以求主幫助我們
[00:02:35.000 --> 00:02:40.000]  藉著今天的經文去明白耶穌基督的教導
[00:02:40.000 --> 00:02:44.000]  經文有一個很簡單的三文治式結構
[00:02:44.000 --> 00:02:46.000]  ABBA
[00:02:46.000 --> 00:02:53.000]  頭兩節的經文就提到耶穌的親人來找耶穌
[00:02:53.000 --> 00:02:56.000]  作出了一個錯誤的評語
[00:02:56.000 --> 00:03:03.000]  到最後耶穌就講解了和祂的家人和周圍的人講解了什麼狀況
[00:03:03.000 --> 00:03:07.000]  中間就是民事和耶穌的對話
[00:03:07.000 --> 00:03:11.000]  我們就按照經文去研讀
[00:03:11.000 --> 00:03:16.000]  以及思考如何將今天的經文應用在我們日常生活當中
[00:03:16.000 --> 00:03:19.000]  經文一開始就提到第20節
[00:03:19.000 --> 00:03:22.000]  有很多人聚集,再一次的聚集
[00:03:22.000 --> 00:03:23.000]  也不是第一次
[00:03:23.000 --> 00:03:28.000]  這一次的聚集可能是在三章第八節和有關的
[00:03:28.000 --> 00:03:31.000]  因為三章第八節提到有很多人
