
[00:00:00.000 --> 00:00:05.000]  我們今天特別思想馬太福音第六章
[00:00:05.000 --> 00:00:09.800]  馬太福音第六章九至十五節
[00:00:09.800 --> 00:00:15.600]  主禱文記載了第九至十三節
[00:00:15.600 --> 00:00:20.000]  馬太福音第六章唐用聖經一四六二頁
[00:00:20.000 --> 00:00:22.000]  我們一起打開來看
[00:00:22.000 --> 00:00:27.200]  尤其是今天我們有多點時間會看左邊的新譯本
[00:00:27.200 --> 00:00:30.200]  所以對大家來說你背慣了和合本
[00:00:30.200 --> 00:00:31.800]  有少少不同
[00:00:31.800 --> 00:00:34.800]  看著會好一點
[00:00:34.800 --> 00:00:40.000]  我們不需要再作很多介紹主禱文
[00:00:40.000 --> 00:00:43.400]  主耶穌教導門徒的禱告
[00:00:43.400 --> 00:00:46.400]  在路加福音同樣的記載裡面
[00:00:46.400 --> 00:00:49.200]  第十一章說到門徒來到耶穌面前
[00:00:49.200 --> 00:00:52.000]  說主啊求你教我們祈禱
[00:00:52.000 --> 00:00:55.400]  於是耶穌就說你們祈禱的時候就要這樣了
[00:00:55.400 --> 00:00:58.200]  以下就是主禱文
[00:00:58.200 --> 00:01:01.600]  不過我們首先將主禱文這幾句說話
[00:01:01.600 --> 00:01:03.400]  我們很熟習的說話
[00:01:03.400 --> 00:01:07.400]  說清楚它的價值和意義在哪裡
[00:01:07.400 --> 00:01:15.000]  主禱文不是耶穌要教我們一種的祈禱的公式
[00:01:15.000 --> 00:01:17.200]  就是說我們背得很熟
[00:01:17.200 --> 00:01:18.600]  不背錯
[00:01:18.600 --> 00:01:20.200]  這樣就行了
[00:01:20.200 --> 00:01:21.400]  為什麼我這樣說
[00:01:21.400 --> 00:01:22.600]  不是我說的
[00:01:22.600 --> 00:01:24.000]  是耶穌說的
[00:01:24.000 --> 00:01:27.000]  因為早一節第八節之前他說
[00:01:27.000 --> 00:01:30.600]  你們不可以像其他人那樣祈禱
[00:01:30.600 --> 00:01:34.200]  因為你們祈求以先你們的父
[00:01:34.200 --> 00:01:36.800]  已經知道你們的需要了
[00:01:36.800 --> 00:01:39.600]  就是說我們還沒背主禱文之前
[00:01:39.600 --> 00:01:42.400]  我們所需要的神已經知道
[00:01:42.400 --> 00:01:44.200]  換一個句話來說
[00:01:44.200 --> 00:01:47.400]  就是不在乎我們祈得多精彩
[00:01:47.400 --> 00:01:48.600]  其實我們說
[00:01:48.600 --> 00:01:49.800]  我們千萬不要搞錯
[00:01:49.800 --> 00:01:52.000]  我祈得精彩我背得準確
[00:01:52.000 --> 00:01:53.200]  神就給我了
[00:01:53.200 --> 00:01:55.000]  好像一個條件
[00:01:55.000 --> 00:01:56.800]  好像一個技巧
[00:01:56.800 --> 00:01:58.000]  不是的
[00:01:58.000 --> 00:02:00.800]  主禱文不是波爾波羅蜜多心經
[00:02:00.800 --> 00:02:02.400]  也不是六字大明咒
[00:02:02.400 --> 00:02:03.800]  你不要搞錯
[00:02:03.800 --> 00:02:07.000]  你以為說完之後神就給你了
[00:02:07.000 --> 00:02:08.400]  不是的
[00:02:08.400 --> 00:02:12.000]  神說你還沒說這堆話之前
[00:02:12.000 --> 00:02:14.200]  你所需要的
[00:02:14.200 --> 00:02:15.400]  神說我知道了
[00:02:15.400 --> 00:02:16.600]  所以我已經知道了
[00:02:16.600 --> 00:02:19.600]  那你說來幹嘛呢
[00:02:19.600 --> 00:02:21.800]  就好像一個父母和小孩一樣
[00:02:21.800 --> 00:02:22.800]  他的子女一樣
[00:02:22.800 --> 00:02:24.800]  他很愛他的子女
[00:02:24.800 --> 00:02:26.600]  他子女來到父親面前
[00:02:26.600 --> 00:02:28.600]  或者媽媽面前
[00:02:28.600 --> 00:02:30.000]  他向他拿一些東西
[00:02:30.000 --> 00:02:31.800]  求他一些東西的時候
[00:02:31.800 --> 00:02:33.800]  問題是父母最關心的
[00:02:33.800 --> 00:02:35.400]  不是他求得對不對
[00:02:35.400 --> 00:02:37.200]  那些字句準不準確
[00:02:37.200 --> 00:02:38.000]  是什麼呢
[00:02:38.000 --> 00:02:40.000]  那個心
[00:02:40.000 --> 00:02:42.000]  父母最緊張的就是
[00:02:42.000 --> 00:02:45.200]  究竟你是不是將我放在你的心裡面
[00:02:45.200 --> 00:02:47.600]  我和你的關係是不是親切
[00:02:47.600 --> 00:02:49.200]  你對我有沒有認識
[00:02:49.200 --> 00:02:51.000]  認識的真不真切
