
[00:00:00.000 --> 00:00:06.900]  我歡迎各位參加第三次的佛靈講座
[00:00:06.900 --> 00:00:10.200]  我很靠著來補償
[00:00:10.200 --> 00:00:15.100]  我自己在廣東話方面的缺陷
[00:00:15.100 --> 00:00:22.500]  我多謝大家的忍耐和體諒
[00:00:22.500 --> 00:00:29.200]  我沒多久之前聽回我自己的廣東話講道
[00:00:29.200 --> 00:00:32.800]  我聽了一分鐘就聽下去了
[00:00:32.800 --> 00:00:35.700]  因為越聽越聽
[00:00:35.700 --> 00:00:39.300]  發現很多錯誤的地方
[00:00:39.300 --> 00:00:42.700]  所以我不是沒有自知之明
[00:00:42.700 --> 00:00:45.300]  實在是因為如果翻譯
[00:00:45.300 --> 00:00:47.800]  至少有兩個碩士
[00:00:47.800 --> 00:00:53.200]  大家沒辦法有這麼長的耐力
[00:00:53.200 --> 00:01:01.100]  所以還是要用國語式的廣東話來講
[00:01:01.100 --> 00:01:08.000]  我就想起宋相傑博士語言上的問題
[00:01:08.000 --> 00:01:15.400]  他說國語也要翻譯國語
[00:01:15.400 --> 00:01:18.600]  有一次我去印尼的時候
[00:01:18.600 --> 00:01:22.700]  聽到那邊的大兄子們講廣東話
[00:01:22.700 --> 00:01:27.700]  當日宋相傑博士去印尼講道
[00:01:27.700 --> 00:01:34.100]  有一次他說
[00:01:34.100 --> 00:01:38.100]  你們都要謙卑
[00:01:38.100 --> 00:01:42.000]  大家很害怕 為什麼我們要謙卑呢
[00:01:42.000 --> 00:01:50.500]  他的意思是 你們都要謙卑
[00:01:50.500 --> 00:01:52.800]  散會之後
[00:01:52.800 --> 00:01:56.300]  有人問一個聽道的大兄
[00:01:56.300 --> 00:01:58.800]  你明白宋博士講的嗎
[00:01:58.800 --> 00:02:07.900]  他說不明白 但是很受感動
[00:02:07.900 --> 00:02:11.900]  這樣真的是聖練工作
[00:02:11.900 --> 00:02:15.700]  不用明白就可以受感動
[00:02:15.700 --> 00:02:19.100]  我都靠著聽得不太明白的時候
[00:02:19.100 --> 00:02:24.900]  都得到一些的幫助
[00:02:24.900 --> 00:02:29.500]  昨晚我曾經解釋過
[00:02:29.500 --> 00:02:32.100]  為什麼我要講這個題目
[00:02:32.100 --> 00:02:36.200]  今晚我相信中間有第一次來的
[00:02:36.200 --> 00:02:39.900]  所以我再重複一次
[00:02:39.900 --> 00:02:41.900]  為何要講這個題目呢
[00:02:41.900 --> 00:02:49.300]  因為我想到華人教會前面的領袖
[00:02:49.300 --> 00:02:53.000]  今日和將來的領袖
[00:02:53.000 --> 00:02:55.300]  我有一個理想
[00:02:55.300 --> 00:02:59.900]  就是一個人有很堅定的
[00:02:59.900 --> 00:03:06.000]  聖經信仰的立場的基礎
[00:03:06.000 --> 00:03:10.400]  同時他也有好的靈性和品格
[00:03:10.400 --> 00:03:15.500]  再加上廣闊的心空
