
[00:00:00.000 --> 00:00:04.400]  今天我們會講一個主題叫做信服神主權
[00:00:04.400 --> 00:00:08.240]  在一個生命更新之旅
[00:00:08.240 --> 00:00:11.680]  今年我們會講基督是醫治的主
[00:00:11.680 --> 00:00:14.800]  我們都透過不同的角度去理解
[00:00:14.800 --> 00:00:19.520]  如何憑著信心在上帝面前去懇求
[00:00:19.520 --> 00:00:24.080]  祈求上帝醫治我們的身體的疾病
[00:00:24.080 --> 00:00:25.920]  心靈裏面的疾病
[00:00:25.920 --> 00:00:27.360]  今天我們來到最後一課
[00:00:27.360 --> 00:00:34.400]  我們去講上帝是施行醫治的那位主
[00:00:34.400 --> 00:00:37.760]  我們如何去信服上帝這個主權呢?
[00:00:37.760 --> 00:00:40.480]  在羅馬書第八章
[00:00:40.480 --> 00:00:44.240]  我們今天所看的經文是第九章
[00:00:44.240 --> 00:00:47.840]  在第八章,一至第八章裏面
[00:00:47.840 --> 00:00:54.240]  保羅在這裏講了很多完全的救恩
[00:00:54.240 --> 00:00:57.360]  接著講耶穌已經成就了的救恩
[00:00:57.360 --> 00:00:59.440]  接著聖靈也有幫助
[00:00:59.440 --> 00:01:04.400]  也有上帝的愛去保證我們在救恩當中
[00:01:04.400 --> 00:01:08.000]  能夠得到上帝的保守
[00:01:08.000 --> 00:01:11.600]  其實很自然的就應該落到第十二章去講
[00:01:11.600 --> 00:01:14.720]  既然我們的救恩已經是這麼確實
[00:01:14.720 --> 00:01:18.400]  究竟我們基督徒的生活應該是怎樣
[00:01:18.400 --> 00:01:23.200]  去見證上帝自己的公義和慈愛呢?
[00:01:23.200 --> 00:01:29.360]  但是在一至八章至十二章、十六章的中間
[00:01:29.360 --> 00:01:35.120]  就有第九章至十一章這三章的經文
[00:01:35.120 --> 00:01:38.960]  其實保羅在這裏要交代一個問題
[00:01:38.960 --> 00:01:41.040]  就是在第一至第八章裏面
[00:01:41.040 --> 00:01:44.720]  是講一個恩訊清兒的救恩
[00:01:44.720 --> 00:01:48.640]  就是我們藉著信心得到上帝的拯救
[00:01:48.640 --> 00:01:51.200]  這個是外邦人
[00:01:51.200 --> 00:01:53.600]  我們說不是猶太人的人
[00:01:53.600 --> 00:01:57.760]  我們藉著這個信心得到上帝這個救恩
[00:01:57.760 --> 00:01:59.120]  有人可能去問
[00:01:59.120 --> 00:02:03.920]  究竟猶太人得救是不是有另一個方法呢?
[00:02:03.920 --> 00:02:06.160]  保羅在這裏再去解釋
[00:02:06.160 --> 00:02:08.880]  其實上帝是用同一個方法
[00:02:08.880 --> 00:02:11.920]  無論外邦人、無論猶太人
[00:02:11.920 --> 00:02:14.000]  都是用同一個方法
[00:02:14.000 --> 00:02:15.840]  是用信心的方法
[00:02:15.840 --> 00:02:18.320]  猶太人的錯誤就是他們以為
