
[00:00:00.000 --> 00:00:03.000]  各位電影姊妹,我們今天是唐慶的時間
[00:00:03.000 --> 00:00:06.000]  各位電影姊妹,今天是唐慶的時間
[00:00:06.000 --> 00:00:08.000]  我們很想說神的恩典
[00:00:08.000 --> 00:00:10.000]  很想說神的恩典
[00:00:10.000 --> 00:00:13.000]  特別是神在我們生命當中的救恩
[00:00:13.000 --> 00:00:16.000]  特別是神在我們生命當中的救恩
[00:00:16.000 --> 00:00:17.000]  我們領受很多恩典
[00:00:17.000 --> 00:00:19.000]  我們領受很多恩典
[00:00:19.000 --> 00:00:23.000]  但我相信仍然最大的都是神給我們的拯救
[00:00:23.000 --> 00:00:26.000]  但最大的仍然是神給我們的拯救
[00:00:26.000 --> 00:00:28.000]  各位電影姊妹,想不想自己說
[00:00:28.000 --> 00:00:30.000]  我是蒙恩人
[00:00:30.000 --> 00:00:33.000]  很多人說我們是蒙恩的人
[00:00:33.000 --> 00:00:36.000]  在很多奉獻的徵信錄裏面
[00:00:36.000 --> 00:00:39.000]  你見到很多寫著蒙恩人
[00:00:39.000 --> 00:00:42.000]  在我們奉獻的名錄當中
[00:00:42.000 --> 00:00:44.000]  很多人寫著是蒙恩的人
[00:00:44.000 --> 00:00:47.000]  我們的身份的確是蒙受恩典的人
[00:00:47.000 --> 00:00:50.000]  我們的身份的確是蒙受恩典的人
[00:00:50.000 --> 00:00:52.000]  所以你不要忘記
[00:00:52.000 --> 00:00:55.000]  當你看到生活上有不同的困難的時候
[00:00:55.000 --> 00:00:57.000]  生命中有不同的困難的時候
[00:00:57.000 --> 00:01:00.000]  好像神有時候好像隱藏了
[00:01:00.000 --> 00:01:02.000]  神好像隱藏了
[00:01:02.000 --> 00:01:03.000]  但你記得
[00:01:03.000 --> 00:01:04.000]  但你記得
[00:01:04.000 --> 00:01:06.000]  你仍然是蒙恩人
[00:01:06.000 --> 00:01:08.000]  你仍然是蒙恩的人
[00:01:08.000 --> 00:01:10.000]  蒙受神給你的恩惠
[00:01:10.000 --> 00:01:11.000]  蒙受神給你的恩惠
[00:01:11.000 --> 00:01:14.000]  特別是上帝賜給你的救恩
[00:01:14.000 --> 00:01:16.000]  特別是上帝賜給你的救恩
[00:01:16.000 --> 00:01:19.000]  一位年長的弟兄在他年長的時候說
[00:01:19.000 --> 00:01:21.000]  一位年長的弟兄說
[00:01:21.000 --> 00:01:24.000]  他說我一生經歷神很多的恩惠
[00:01:24.000 --> 00:01:26.000]  我一生經歷神很多的恩惠
[00:01:26.000 --> 00:01:28.000]  但最大的恩惠
[00:01:28.000 --> 00:01:29.000]  但最大的恩惠
[00:01:29.000 --> 00:01:31.000]  仍然就是我信了耶穌
[00:01:31.000 --> 00:01:33.000]  仍然就是我信了耶穌
[00:01:33.000 --> 00:01:38.000]  仍然是主將這種永恆的生命請求賜給我
[00:01:38.000 --> 00:01:41.000]  神把這個永恆的生命拯救賜給我
[00:01:41.000 --> 00:01:44.000]  仍然是主將這種永恆的生命請求賜給我
[00:01:44.000 --> 00:01:46.000]  弟兄姐妹,你領受的恩典
[00:01:46.000 --> 00:01:48.000]  最大的是神給你的救恩
[00:01:48.000 --> 00:01:50.000]  最大的是神給你的救恩
[00:01:50.000 --> 00:01:53.000]  因此你記得我們在聖經的《以福所書》
[00:01:53.000 --> 00:01:55.000]  因此你記得我們在聖經的《以福所書》
[00:01:55.000 --> 00:01:58.000]  我們常常說我們得救是本乎恩
[00:01:58.000 --> 00:02:00.000]  我們常說我們得救是本乎恩
[00:02:00.000 --> 00:02:04.000]  而且不斷提到這份恩典是極其豐富的
[00:02:04.000 --> 00:02:06.000]  而且這份恩典是極其豐富的
[00:02:06.000 --> 00:02:08.000]  而佛所書的第一章六至八節
[00:02:08.000 --> 00:02:10.000]  而佛所書的第一章六至八節
[00:02:10.000 --> 00:02:14.000]  聖經形容這種恩典是榮耀的恩典
[00:02:14.000 --> 00:02:16.000]  聖經形容這是榮耀的恩典
[00:02:16.000 --> 00:02:20.000]  藉著愛子的血我們得蒙救贖過犯得以赦免
[00:02:20.000 --> 00:02:24.000]  藉著愛子的血我們得蒙救贖過犯得以赦免
[00:02:24.000 --> 00:02:26.000]  是照著什麼呢?
[00:02:26.000 --> 00:02:27.000]  是照著什麼呢?
[00:02:27.000 --> 00:02:30.000]  聖經說是照著他豐富的恩典
[00:02:30.000 --> 00:02:32.000]  是他豐富的恩典
[00:02:32.000 --> 00:02:36.000]  而且這個恩典是充充足足賞給我們
[00:02:36.000 --> 00:02:39.000]  而且這個恩典是充充足足賞給我們
[00:02:39.000 --> 00:02:41.000]  是沒有缺乏的
[00:02:41.000 --> 00:02:42.000]  是沒有缺乏的
[00:02:42.000 --> 00:02:43.000]  是沒有減少的
[00:02:43.000 --> 00:02:44.000]  是沒有減少的
[00:02:44.000 --> 00:02:47.000]  是充充足足臨到你們
[00:02:47.000 --> 00:02:49.000]  充充足足臨到我們的
[00:02:49.000 --> 00:02:50.000]  各位弟兄姊妹
[00:02:50.000 --> 00:02:51.000]  各位弟兄姊妹
[00:02:51.000 --> 00:02:53.000]  當你領受主的恩典之後
[00:02:53.000 --> 00:02:55.000]  當你領受主的恩典之後
[00:02:55.000 --> 00:02:57.000]  你不要停留在那裡
[00:02:57.000 --> 00:02:58.000]  不要停留在那裡
[00:02:58.000 --> 00:03:02.000]  你知道主要將充足的完全的恩惠賜給你
[00:03:02.000 --> 00:03:05.000]  你知道神要把充足的完全的恩惠賜給你
[00:03:05.000 --> 00:03:08.000]  你向前尋求更多的得著
[00:03:08.000 --> 00:03:12.000]  你往前繼續尋找更多的得著
