
[00:00:00.000 --> 00:00:04.000]  天父我們再一次感謝祢賜給我們的救恩和主耶穌基督
[00:00:04.000 --> 00:00:08.000]  帶給我們的死、復活、埋葬
[00:00:08.000 --> 00:00:12.000]  這一切都成為了祢自己恩典的出口 我們多謝祢
[00:00:12.000 --> 00:00:15.000]  最後更加感謝祢 今天我們坐在祢面前
[00:00:15.000 --> 00:00:18.000]  因著耶穌的血 因著祂所成就的功勞
[00:00:18.000 --> 00:00:21.000]  我們可以坦然無拘進到祢的面前
[00:00:21.000 --> 00:00:23.000]  最後今天我們仍然聽見
[00:00:23.000 --> 00:00:25.000]  保羅所說的話在基督裡面的
[00:00:25.000 --> 00:00:27.000]  如今就不再被定罪
[00:00:27.000 --> 00:00:30.000]  雖然我們仍然無法完全參透到
[00:00:30.000 --> 00:00:35.000]  這個這麼奇妙、這麼特別的意思
[00:00:35.000 --> 00:00:37.000]  但主我們承認、我們相信
[00:00:37.000 --> 00:00:40.000]  我們信祢自己的話和應許
[00:00:40.000 --> 00:00:42.000]  我們相信在基督耶穌裡面
[00:00:42.000 --> 00:00:44.000]  我們真的不再被定罪
[00:00:44.000 --> 00:00:46.000]  雖然我們的生命充滿了軟弱
[00:00:46.000 --> 00:00:48.000]  我們的生命充滿了罪惡
[00:00:48.000 --> 00:00:51.000]  但在祢的手當中我們能夠成為義人
[00:00:51.000 --> 00:00:52.000]  我們獻上感謝
[00:00:52.000 --> 00:00:54.000]  求主幫助我們在今天的思考當中
[00:00:54.000 --> 00:00:57.000]  帶領我們繼續走這條救恩的道路
[00:00:57.000 --> 00:00:59.000]  讓我們的新生命在祢面前
[00:00:59.000 --> 00:01:01.000]  不單止有出現 並且有成長
[00:01:01.000 --> 00:01:04.000]  而且我們在世上還沒見到祢面前
[00:01:04.000 --> 00:01:06.000]  都可以讓神明要祢
[00:01:06.000 --> 00:01:09.000]  我們求祢因待我們在今晚的時刻
[00:01:09.000 --> 00:01:11.000]  好像以往兩晚一樣
[00:01:11.000 --> 00:01:13.000]  充滿了祢自己的同在的印證
[00:01:13.000 --> 00:01:15.000]  奉耶穌名祈禱 阿們
[00:01:15.000 --> 00:01:20.000]  上一次我們講福音的救恩的橫面
[00:01:20.000 --> 00:01:22.000]  它包含了多少東西
[00:01:22.000 --> 00:01:25.000]  現在我們從一個時間性的中面來看福音
[00:01:25.000 --> 00:01:28.000]  救恩究竟是怎樣形成
[00:01:28.000 --> 00:01:31.000]  得救 然後得救之後發生什麼事
[00:01:31.000 --> 00:01:33.000]  成性的途徑
[00:01:33.000 --> 00:01:34.000]  我都講過了
[00:01:34.000 --> 00:01:37.000]  這個題材大家都會很熟的
[00:01:37.000 --> 00:01:39.000]  不過我在這裡都願意
[00:01:39.000 --> 00:01:44.000]  借用一個表和大家先溫習一下
[00:01:44.000 --> 00:01:48.000]  然後我們才處理其中幾個
[00:01:48.000 --> 00:01:52.000]  較為值得深思一些的神學問題
[00:01:52.000 --> 00:01:55.000]  這個表是James Engle
[00:01:55.000 --> 00:01:58.000]  一個很出名的基督教傳播人
[00:01:58.000 --> 00:02:02.000]  學者所擬好出來的一個表
[00:02:02.000 --> 00:02:04.000]  這個表可以說是代表了
[00:02:04.000 --> 00:02:08.000]  代替了指出一個新生命的成長
[00:02:08.000 --> 00:02:11.000]  和誕生的過程
[00:02:11.000 --> 00:02:13.000]  在這個表裡面
[00:02:13.000 --> 00:02:16.000]  其實看起來很簡單很清楚
[00:02:16.000 --> 00:02:18.000]  不過我想強調一件事
[00:02:18.000 --> 00:02:21.000]  不是每個人的屬靈生命
[00:02:21.000 --> 00:02:23.000]  都必然經過這麼多階段
[00:02:23.000 --> 00:02:25.000]  有人會跳級的
[00:02:25.000 --> 00:02:27.000]  有人會停留在某一級的
[00:02:27.000 --> 00:02:29.000]  不是過一年就一級的
[00:02:29.000 --> 00:02:33.000]  所以分數有時候就是這樣斷估
[00:02:33.000 --> 00:02:38.000]  負一負二負三負四負八當然是最慘
[00:02:38.000 --> 00:02:40.000]  當然五六七八九十
[00:02:40.000 --> 00:02:42.000]  如果到十一二級就更高
[00:02:42.000 --> 00:02:45.000]  那到底有沒有所謂第六級第七級第八級呢
[00:02:45.000 --> 00:02:49.000]  這個我們待會上完這堂課
[00:02:49.000 --> 00:02:50.000]  最後才會討論
[00:02:50.000 --> 00:02:53.000]  屬靈的成長有沒有級數呢
[00:02:53.000 --> 00:02:58.000]  是慢慢慢慢增加
[00:02:58.000 --> 00:03:00.000]  還是一下子可以跳級呢
[00:03:00.000 --> 00:03:02.000]  倒過來說一下子掉下來
[00:03:02.000 --> 00:03:03.000]  什麼都沒有了
[00:03:03.000 --> 00:03:05.000]  沒有剩下的渣都沒有了
[00:03:05.000 --> 00:03:07.000]  還是掉下來的都差不多呢
[00:03:07.000 --> 00:03:10.000]  這個也是一個很複雜的問題
[00:03:10.000 --> 00:03:11.000]  不同的神學有不同的看法
[00:03:11.000 --> 00:03:13.000]  特別是天主教的神學
[00:03:13.000 --> 00:03:16.000]  和馬丁路德的復元教的神學
[00:03:16.000 --> 00:03:18.000]  在這兩樣東西上有很不同的看法
[00:03:18.000 --> 00:03:20.000]  這個我們最後才會討論
[00:03:20.000 --> 00:03:24.000]  我們姑且當它是一級級的來看
[00:03:24.000 --> 00:03:26.000]  我們盡量列這麼多級來看
[00:03:26.000 --> 00:03:27.000]  就是這樣
[00:03:27.000 --> 00:03:29.000]  我們可以把它分為三部分
[00:03:29.000 --> 00:03:32.000]  最左邊是神自己的角色
[00:03:32.000 --> 00:03:36.000]  最右邊是說到人的角色
[00:03:36.000 --> 00:03:39.000]  中間就說到那些傳福音的人
[00:03:39.000 --> 00:03:42.000]  傳播者他要履行的
[00:03:42.000 --> 00:03:46.000]  在中間傳遞的工作
[00:03:46.000 --> 00:03:48.000]  很清楚中間一條線畫過去
[00:03:48.000 --> 00:03:51.000]  就是一個靈點
[00:03:51.000 --> 00:03:53.000]  那個靈點可以說是一個轉捩點
