
[00:00:00.000 --> 00:00:04.600]  今天跟大家思想的一個題目是「與主同死」
[00:00:04.600 --> 00:00:11.080]  大家都會感受到很多人都不太喜歡說到死的事情
[00:00:11.080 --> 00:00:14.480]  對於基督徒來說 我們很多時候都會提及死
[00:00:14.480 --> 00:00:19.080]  而且我們可以很坦然地來談論到死亡的事情
[00:00:19.080 --> 00:00:21.120]  當我們在受苦節的時候
[00:00:21.120 --> 00:00:25.840]  我們甚至會讚美主耶穌曾經為我們「代死」
[00:00:25.840 --> 00:00:28.920]  本來是我們自己應當承擔這個罪的刑罰
[00:00:28.920 --> 00:00:32.080]  但主自己來到 祂代替我們承擔
[00:00:32.080 --> 00:00:36.400]  因此我們讚美祂的「代死」
[00:00:36.400 --> 00:00:39.640]  但同時我們也會慶賀我們自己本身
[00:00:39.640 --> 00:00:42.480]  舊的生命已經死去
[00:00:42.480 --> 00:00:44.720]  慶賀因為主自己的拯救
[00:00:44.720 --> 00:00:48.000]  就叫我們的救人已經死去
[00:00:48.000 --> 00:00:50.160]  有新生命的開始
[00:00:50.160 --> 00:00:53.440]  昨天晚上由弟兄姊妹會回來教會知道
[00:00:53.440 --> 00:00:56.400]  有四十二位弟兄姊妹受浸
[00:00:56.400 --> 00:00:58.800]  我在浸池當中為他們施浸的時候
[00:00:58.800 --> 00:01:03.040]  再一次感受到當一個人在水裏面的時候
[00:01:03.040 --> 00:01:05.760]  就好像舊的生命已經埋葬了
[00:01:05.760 --> 00:01:07.880]  已經過去了
[00:01:07.880 --> 00:01:10.720]  當他從水裏面一路站起來
[00:01:10.720 --> 00:01:13.520]  水在他兩旁一路灑下來的時候
[00:01:13.520 --> 00:01:16.800]  就好像一個新的生命開始了
[00:01:16.800 --> 00:01:18.840]  舊的生命已經死去
[00:01:18.840 --> 00:01:20.000]  因此在受苦節的時候
[00:01:20.000 --> 00:01:21.920]  同時我們去感謝
[00:01:21.920 --> 00:01:26.080]  也去慶賀我們的舊生命
[00:01:26.080 --> 00:01:28.440]  罪的生命已經死去
[00:01:28.440 --> 00:01:32.600]  是值得我們很感謝神去重讚的事情
[00:01:32.600 --> 00:01:34.120]  當然我們在這個時候
[00:01:34.120 --> 00:01:38.040]  我們思想死亡不是一種很悲哀的思想
[00:01:38.040 --> 00:01:40.120]  而是一種感恩的思想
[00:01:40.120 --> 00:01:41.720]  想回到死亡的時候
[00:01:41.720 --> 00:01:42.960]  就會更深讓我們明白
[00:01:42.960 --> 00:01:45.720]  主的愛是何等的深
[00:01:45.720 --> 00:01:49.440]  祂經歷了很多很多不同的苦楚
[00:01:49.440 --> 00:01:52.560]  而祂的經歷不斷告訴我們知道
[00:01:52.560 --> 00:01:54.240]  祂是很真實的
[00:01:54.240 --> 00:01:57.480]  很具體的來愛我們
[00:01:57.480 --> 00:01:59.840]  因此每當我們思想到主的死的時候
[00:01:59.840 --> 00:02:01.040]  也都讓我們更深體會
[00:02:01.040 --> 00:02:04.320]  主的愛是何等的深
[00:02:04.320 --> 00:02:06.000]  我記得最近看譚牧師的一本書
[00:02:06.000 --> 00:02:07.560]  提及一件事情
[00:02:07.560 --> 00:02:12.040]  他說很多基督徒都會接受主的待死
[00:02:12.040 --> 00:02:16.400]  但是不肯去接受與主同死
[00:02:16.400 --> 00:02:17.640]  甚麼意思呢?
[00:02:17.640 --> 00:02:19.880]  沒錯我們領受了這份的救恩
[00:02:19.880 --> 00:02:21.320]  但是我們卻是忘記了
[00:02:21.320 --> 00:02:25.320]  每一天每一天去與主同死
[00:02:25.320 --> 00:02:28.920]  繼續保存著那種只向主活
[00:02:28.920 --> 00:02:31.320]  向罪死的生命
