
[00:00:00.000 --> 00:00:02.800]  我們談及信心的不同層面
[00:00:02.800 --> 00:00:06.520]  今天思想的是信心面對苦難
[00:00:06.520 --> 00:00:12.120]  很多人都說年輕人未必經歷過什麼困難
[00:00:12.120 --> 00:00:16.600]  但年紀漸長開始有很多人生的體驗
[00:00:16.600 --> 00:00:20.200]  多多少少都經歷各種人生的苦難
[00:00:20.200 --> 00:00:22.720]  有些甚至到了一個地步
[00:00:22.720 --> 00:00:25.520]  甚至會很想放棄
[00:00:25.520 --> 00:00:29.000]  不想再面對這些一切的困難
[00:00:29.000 --> 00:00:30.280]  如果我們談及苦難
[00:00:30.280 --> 00:00:34.120]  或者我簡單將它分為三大類別
[00:00:34.120 --> 00:00:37.000]  這是一個粗略的分類
[00:00:37.000 --> 00:00:40.000]  第一種的苦難我們很多時候會遇到的
[00:00:40.000 --> 00:00:44.520]  是因為工作、家庭或者某些關係
[00:00:44.520 --> 00:00:49.520]  而承擔一些壓力或者一些傷害
[00:00:49.520 --> 00:00:52.320]  這是我們很多人都經歷到的
[00:00:52.320 --> 00:00:54.600]  第二方面有的苦難
[00:00:54.600 --> 00:01:02.000]  就是因為自然界或者環境所帶給我們一些意外
[00:01:02.000 --> 00:01:04.680]  突然間遇到交通意外
[00:01:04.680 --> 00:01:08.080]  又或者帶給我們一些病患
[00:01:08.080 --> 00:01:14.120]  周圍的各樣的環境給我們身體的影響
[00:01:14.120 --> 00:01:17.200]  第三特別是基督徒來說
[00:01:17.200 --> 00:01:19.520]  因為我們所承受的信
[00:01:19.520 --> 00:01:22.160]  我們所信靠的上帝
[00:01:22.160 --> 00:01:23.920]  因為我們的信仰
[00:01:23.920 --> 00:01:25.920]  或者我們信仰的立場
[00:01:25.920 --> 00:01:29.480]  而面對著有不同的攻擊
[00:01:29.480 --> 00:01:31.160]  或者是虧損
[00:01:31.160 --> 00:01:34.040]  或者是某一些的傷害
[00:01:34.040 --> 00:01:36.040]  這幾方面的苦難
[00:01:36.040 --> 00:01:40.040]  我們可能或多或少都會在人生裏面經歷到的
[00:01:40.040 --> 00:01:41.600]  而今天希伯來書的經文
[00:01:41.600 --> 00:01:43.520]  比較多集中去看
[00:01:43.520 --> 00:01:45.440]  因為我們的信仰立場
[00:01:45.440 --> 00:01:49.840]  而承受的一些困難或者是逼迫
[00:01:49.840 --> 00:01:53.800]  但其實我們人生都受到很多不同的苦難的經歷
[00:01:53.800 --> 00:01:57.840]  或者我們可以綜括去看這幾方面
[00:01:57.840 --> 00:02:01.200]  都和這段經文相關
[00:02:01.200 --> 00:02:04.760]  其實都不單止我們在這個時代所面對的
[00:02:04.760 --> 00:02:09.840]  其實在整個人生不同的階段
[00:02:09.840 --> 00:02:11.280]  在歷史當中
[00:02:11.280 --> 00:02:15.800]  很多很多的先賢他們都經歷過不同的苦難
[00:02:15.800 --> 00:02:18.440]  聖經都有很多這方面的例子
[00:02:18.440 --> 00:02:22.840]  特別我們上述會提及的就是舊約聖經的約瑟
[00:02:22.840 --> 00:02:26.640]  大家想約瑟會知道他受過很多苦頭
[00:02:26.640 --> 00:02:28.800]  他在想不到的時候
