
[00:00:00.000 --> 00:00:03.600]  我們感謝主賜給我們機會
[00:00:03.600 --> 00:00:06.400]  能夠在這三天晚上
[00:00:06.400 --> 00:00:09.800]  想到基督徒與時代的關係
[00:00:09.800 --> 00:00:12.360]  主讓我們有機會連續三晚
[00:00:12.360 --> 00:00:17.200]  思考基督徒與時代的關係
[00:00:17.200 --> 00:00:21.200]  平常我們少講這方面的信息
[00:00:21.200 --> 00:00:28.000]  所以這幾天晚上是有特別的意義
[00:00:28.000 --> 00:00:38.400]  昨天晚上我從耶穌基督的啟示來看基督徒與時代
[00:00:38.400 --> 00:00:44.200]  因為時間的關係
[00:00:44.200 --> 00:00:51.000]  我昨天不能夠做一個總結
[00:00:51.000 --> 00:00:53.400]  在散會以後
[00:00:53.400 --> 00:00:56.800]  有同工告訴我
[00:00:56.800 --> 00:01:05.600]  有不少弟兄姊妹希望我今天晚上能夠把結論補上
[00:01:05.600 --> 00:01:11.000]  有不少弟兄姊妹希望我們今晚能夠把結論補上
[00:01:11.000 --> 00:01:13.600]  今天晚上我就照做
[00:01:13.600 --> 00:01:15.600]  今晚我就照做
[00:01:15.600 --> 00:01:20.800]  這個結論就是把我們所看見的要點
[00:01:20.800 --> 00:01:24.000]  應用到我們的生活裏面
[00:01:24.000 --> 00:01:26.200]  這個結論就是把我們所看見的要點
[00:01:26.200 --> 00:01:28.000]  應用到我們的生活裏面
[00:01:28.000 --> 00:01:30.800]  能夠幫助我們清楚的知道
[00:01:30.800 --> 00:01:35.600]  在這個時代裏的一些很重要的問題上
[00:01:35.600 --> 00:01:37.600]  基督徒的立場是甚麼
[00:01:37.600 --> 00:01:39.800]  能夠使我們知道在這個世代裏面
[00:01:39.800 --> 00:01:44.000]  很重要的問題上基督徒的立場是怎樣
[00:01:44.000 --> 00:01:47.800]  昨天我們從耶穌基督的啟示
[00:01:47.800 --> 00:01:50.600]  得到一個很重要的觀念
[00:01:50.600 --> 00:01:53.400]  我們從耶穌基督的啟示得到一個很重要的觀念
[00:01:53.400 --> 00:01:58.200]  那就是人的尊嚴
[00:01:58.200 --> 00:02:02.200]  這個觀念是根據兩方面的教導
[00:02:02.200 --> 00:02:04.600]  這個觀念是根據兩方面的教導
[00:02:04.600 --> 00:02:07.200]  第一方面
[00:02:07.200 --> 00:02:11.000]  人有神的形象
[00:02:11.000 --> 00:02:13.400]  所以有尊嚴
[00:02:13.400 --> 00:02:15.600]  第二方面
[00:02:15.600 --> 00:02:19.200]  人是神的兒女
[00:02:19.200 --> 00:02:21.800]  所以有尊嚴
[00:02:21.800 --> 00:02:26.800]  然後我們就把人的尊嚴的內涵
[00:02:26.800 --> 00:02:29.600]  一一的延伸出來
[00:02:29.600 --> 00:02:31.800]  然後我們就把人的尊嚴的內涵
[00:02:31.800 --> 00:02:33.800]  一一的延伸出來
[00:02:33.800 --> 00:02:38.000]  現在我就把那些要點和時代的關係
[00:02:38.000 --> 00:02:39.600]  現在做一個總結
[00:02:39.600 --> 00:02:43.400]  現在就把那些要點和時代的關係做一個總結
[00:02:43.400 --> 00:02:45.400]  第一點
[00:02:45.400 --> 00:02:47.800]  既然我們有神的形象
[00:02:47.800 --> 00:02:49.400]  既然我們有神的形象
[00:02:49.400 --> 00:02:53.800]  那麼就讓基督徒在這個社會裏面
[00:02:53.800 --> 00:02:57.400]  去清楚的表現神的形象
[00:02:57.400 --> 00:03:01.000]  就讓基督徒在這個社會裏面清楚表現神的形象
[00:03:01.000 --> 00:03:03.800]  有基督的樣式活出來
[00:03:03.800 --> 00:03:05.600]  有基督的樣式活出來
[00:03:05.600 --> 00:03:07.000]  如果我們這樣做
[00:03:07.000 --> 00:03:08.200]  如果我們這樣做
[00:03:08.200 --> 00:03:13.200]  這就是基督徒對今天的時代一個很重大的貢獻
[00:03:13.200 --> 00:03:16.800]  這就是基督徒對現今的世代一個重大的貢獻
[00:03:16.800 --> 00:03:18.800]  第二點
[00:03:18.800 --> 00:03:21.800]  因為人是神的兒女
[00:03:21.800 --> 00:03:24.400]  所以人人平等
[00:03:24.400 --> 00:03:26.400]  因為人是神的兒女
[00:03:26.400 --> 00:03:28.200]  所以人人平等
[00:03:28.200 --> 00:03:31.000]  在種族之間平等
[00:03:31.000 --> 00:03:33.000]  在種族之間平等
[00:03:33.000 --> 00:03:36.800]  這個應用到南非的處境
[00:03:36.800 --> 00:03:38.800]  應用到南非的處境
[00:03:38.800 --> 00:03:42.600]  南非的種族隔離基督徒是什麼立場呢?
[00:03:42.600 --> 00:03:45.600]  南非的種族隔離基督徒應該有什麼立場呢?
[00:03:45.600 --> 00:03:48.000]  我們反對種族隔離
[00:03:48.000 --> 00:03:49.600]  我們反對種族隔離
[00:03:49.600 --> 00:03:53.000]  因為那是不平等的觀念造成的
[00:03:53.000 --> 00:03:56.600]  因為那個情形是不平等的觀念所造成的
[00:03:56.600 --> 00:03:58.600]  在美國
