
[00:00:00.000 --> 00:00:03.740]  接下來宣讀聖經的話
[00:00:03.740 --> 00:00:07.740]  馬可福音一章二十九到三十九節
[00:00:07.740 --> 00:00:13.740]  他們一出會堂就同雅各和約翰進了西門和安德烈的家
[00:00:13.740 --> 00:00:16.240]  西門的岳母正發燒躺著
[00:00:16.240 --> 00:00:17.740]  就有人告訴耶穌
[00:00:17.740 --> 00:00:20.740]  耶穌進前拉著他的手扶他起來
[00:00:20.740 --> 00:00:21.740]  燒就退了
[00:00:21.740 --> 00:00:23.740]  於是他服侍他們
[00:00:23.740 --> 00:00:25.740]  傍晚日落的時候
[00:00:25.740 --> 00:00:29.240]  有人帶著一切害病的和被鬼附的
[00:00:29.240 --> 00:00:30.740]  來到耶穌跟前
[00:00:30.740 --> 00:00:33.240]  全城的人都聚集在門前
[00:00:33.240 --> 00:00:36.240]  耶穌治好了許多害各樣病的人
[00:00:36.240 --> 00:00:38.240]  又趕出許多鬼
[00:00:38.240 --> 00:00:39.240]  不許鬼說話
[00:00:39.240 --> 00:00:41.240]  因為鬼認識他
[00:00:41.240 --> 00:00:42.240]  次日早晨
[00:00:42.240 --> 00:00:43.740]  天未亮的時候
[00:00:43.740 --> 00:00:46.240]  耶穌起來到曠野地方去
[00:00:46.240 --> 00:00:47.740]  在那裡禱告
[00:00:47.740 --> 00:00:49.740]  西門和同伴出去找他
[00:00:49.740 --> 00:00:51.240]  找到了就對他說
[00:00:51.240 --> 00:00:53.240]  眾人都在找你
[00:00:53.240 --> 00:00:54.240]  耶穌對他們說
[00:00:54.240 --> 00:00:55.740]  讓我們往別處去
[00:00:55.740 --> 00:00:57.240]  到鄰近的鄉村
[00:00:57.240 --> 00:00:59.240]  我也好在那裡傳道
[00:00:59.240 --> 00:01:01.740]  因為我是為這事出來的
[00:01:01.740 --> 00:01:04.240]  於是他走遍全迦利里
[00:01:04.240 --> 00:01:05.740]  在他們的會堂傳道
[00:01:05.740 --> 00:01:06.740]  並且趕鬼
[00:01:06.740 --> 00:01:08.740]  這是上主的話
[00:01:08.740 --> 00:01:11.240]  非常感謝有這個機會
[00:01:11.240 --> 00:01:12.240]  可以站在這裡
[00:01:12.240 --> 00:01:14.240]  跟大家一起分享主的話語
[00:01:14.240 --> 00:01:15.740]  所以在分享之前
[00:01:15.740 --> 00:01:18.240]  我們先一起低頭做一個禱告
[00:01:18.240 --> 00:01:20.240]  親愛的主耶穌基督
[00:01:20.240 --> 00:01:21.240]  感謝你的恩典
[00:01:21.240 --> 00:01:22.740]  讓我們可以聚集在這裡
[00:01:22.740 --> 00:01:24.740]  我們一起分享你的話語
[00:01:24.740 --> 00:01:26.740]  求主你保守以下的時間
[00:01:26.740 --> 00:01:28.240]  安靜我們每個人的心
[00:01:28.240 --> 00:01:30.240]  讓我們都能夠從你的話語中
[00:01:30.240 --> 00:01:31.740]  領受到亮光
[00:01:31.740 --> 00:01:33.240]  讓我們都能夠
[00:01:33.240 --> 00:01:35.240]  能夠認識到你的真理
[00:01:35.240 --> 00:01:36.740]  跟隨你的旨意而行
[00:01:36.740 --> 00:01:39.740]  以下的時間都交託在主你的手上
[00:01:39.740 --> 00:01:41.240]  我們不完全要禱告
[00:01:41.240 --> 00:01:42.240]  完全是奉靠
[00:01:42.240 --> 00:01:44.240]  救主耶穌基督的聖名而求
[00:01:44.240 --> 00:01:45.240]  阿們
[00:01:45.240 --> 00:01:47.240]  感謝剛才
[00:01:47.240 --> 00:01:49.740]  詩篇姊妹窩圍文讀出了經文
[00:01:49.740 --> 00:01:51.740]  那我們已經看過經文之後
[00:01:51.740 --> 00:01:53.740]  我想先問大家一個問題
[00:01:53.740 --> 00:01:55.740]  就是在你們心目當中
[00:01:55.740 --> 00:01:57.740]  你們覺得耶穌
[00:01:57.740 --> 00:01:59.740]  祂是一個什麼樣的人呢
[00:01:59.740 --> 00:02:01.740]  就是祂是做什麼職業的呢
[00:02:01.740 --> 00:02:02.740]  就像我
[00:02:02.740 --> 00:02:04.740]  可能我的職業現在就是學生
[00:02:04.740 --> 00:02:05.740]  那可能
[00:02:05.740 --> 00:02:07.740]  那我們看了經文之後
[00:02:07.740 --> 00:02:10.740]  你們覺得祂是一個趕鬼人嗎
[00:02:10.740 --> 00:02:12.740]  還是說祂是一名醫生呢
[00:02:12.740 --> 00:02:15.740]  可能大家都不是很確定
[00:02:15.740 --> 00:02:16.740]  或者是
[00:02:16.740 --> 00:02:18.740]  我知道有些人可能也搖頭
[00:02:18.740 --> 00:02:20.740]  或者是說不是這樣子
[00:02:20.740 --> 00:02:21.740]  那在這裡呢
[00:02:21.740 --> 00:02:22.740]  我先分享一個
[00:02:22.740 --> 00:02:25.740]  我在以前教會聽到的一個福音見證
[00:02:25.740 --> 00:02:26.740]  我們教會呢
[00:02:26.740 --> 00:02:27.740]  有一個姊妹
[00:02:27.740 --> 00:02:29.740]  她有一個女兒
[00:02:29.740 --> 00:02:31.740]  她的女兒其實
[00:02:31.740 --> 00:02:33.740]  有點點不幸
[00:02:33.740 --> 00:02:35.740]  因為她的女兒有那個
[00:02:35.740 --> 00:02:36.740]  遺傳性的疾病
[00:02:36.740 --> 00:02:38.740]  就是地中海貧血
[00:02:38.740 --> 00:02:40.740]  我不知道大家對這個疾病
[00:02:40.740 --> 00:02:41.740]  有沒有了解過
[00:02:41.740 --> 00:02:43.740]  地中海貧血呢
[00:02:43.740 --> 00:02:44.740]  它是一種遺傳性的
[00:02:44.740 --> 00:02:46.740]  單基因的疾病
[00:02:46.740 --> 00:02:48.740]  就可能沒有辦法去
[00:02:48.740 --> 00:02:50.740]  很完全地去癒合
[00:02:50.740 --> 00:02:52.740]  它可能需要終生
[00:02:52.740 --> 00:02:55.740]  都要進行不停地輸血
[00:02:55.740 --> 00:02:57.740]  那患者的壽命呢
[00:02:57.740 --> 00:03:00.740]  其實平均大概只有10歲左右
[00:03:00.740 --> 00:03:02.740]  唯一可能治癒的辦法呢
[00:03:02.740 --> 00:03:04.740]  這個只是唯一可能
