
[00:00:00.000 --> 00:00:05.680]  十月中的時候,我和師母和家人去了北京旅行
[00:00:05.680 --> 00:00:11.880]  去到長城,真的很開心,人生這麼大,第一次去長城
[00:00:11.880 --> 00:00:17.400]  去到長城的時候,都有點冷,我們穿衣服
[00:00:17.400 --> 00:00:24.080]  重點那天是有一條頸巾,頸巾很特別的
[00:00:24.080 --> 00:00:28.920]  用錢都買不到的,是由婦女心意組織給我的
[00:00:28.920 --> 00:00:38.080]  十月我出發前,他們知道我生日,所以雪芬號召安排不同的婦女
[00:00:38.080 --> 00:00:42.800]  每個人都有份織頸巾,非常有重要意義
[00:00:42.800 --> 00:00:48.920]  其實這個故事會存在我心中,就算我有一天離開柴村家也好
[00:00:48.920 --> 00:00:54.760]  會存在我心中,每一個都有份,每一個都參與
[00:00:54.760 --> 00:01:01.800]  並且這是一件美事,同樣的,今天在經文當中有一個婦女
[00:01:01.800 --> 00:01:06.040]  做了一件美事,而這件美事是為耶穌而做的
[00:01:06.040 --> 00:01:14.200]  不單止這件事記載在聖經上,並且耶穌說每逢講福音的時候都要講這件事
[00:01:14.200 --> 00:01:19.160]  很特別,要紀念這個女人和她所做的事
[00:01:19.160 --> 00:01:26.200]  也讓我們知道她的過程,整件事跟福音有很大的關係
[00:01:26.200 --> 00:01:33.640]  所以今天我們就打開經文,在唐用聖經的第55頁
[00:01:33.640 --> 00:01:38.280]  新約55頁,唐用聖經的55頁
[00:01:38.280 --> 00:01:42.840]  上星期Kendall傳道講到第13章
[00:01:42.840 --> 00:01:54.680]  耶穌預告聖殿將會被毀,末期會有很多的艱難,並且預言祂會再來
[00:01:54.680 --> 00:02:00.600]  經過13章一大段的教導之後,就來到今天的經文第14章1到11節
[00:02:00.600 --> 00:02:07.000]  有一個三文治式的結構,大家吃過三文治或漢堡包的結構
[00:02:07.000 --> 00:02:09.960]  上下都有麵包,中間有一塊肉
[00:02:09.960 --> 00:02:17.240]  第1,第2節是上面的麵包,第10和第11節是下面的麵包
[00:02:17.240 --> 00:02:20.040]  中間的3至9節就是那塊肉
[00:02:20.040 --> 00:02:25.480]  1至2節是講到宗教領袖有一個計謀想要殺害耶穌
[00:02:25.480 --> 00:02:32.520]  最後的第10和第11節是講到猶大有一個計謀想要出賣耶穌
[00:02:32.520 --> 00:02:41.880]  中間有一個女人高抹耶穌,所以大家知道有漢堡包或三文治式的結構
[00:02:41.880 --> 00:02:45.960]  我們先看看最頂的麵包是講什麼的
[00:02:45.960 --> 00:02:51.720]  最頂的麵包,第1節,過兩天是如月節,又叫做除孝節
[00:02:51.720 --> 00:02:55.880]  大家知道passover如月節是講什麼的
[00:02:55.880 --> 00:03:04.520]  每一年猶太人,上千上萬的人都會到耶和華撒冷慶祝這個節期
[00:03:04.520 --> 00:03:09.400]  這個節期的重要性就是在昔日出埃及第12章
[00:03:09.400 --> 00:03:13.960]  耶和華神差派了一個滅命的天使
[00:03:13.960 --> 00:03:19.720]  將埃及地所有投身的新畜和人類,投身的都殺害
[00:03:19.720 --> 00:03:22.920]  以至法老改變了他的心意
[00:03:22.920 --> 00:03:29.080]  釋放,放過,將摩西和以色列子民釋放出來
[00:03:29.080 --> 00:03:36.040]  讓他們離開埃及遺牢之地,到礦野,繼而進入加拿美地
[00:03:36.040 --> 00:03:42.440]  所以很多猶太人在第一世紀想去這個聖殿的時候
[00:03:42.440 --> 00:03:48.040]  他們都有一個期盼,昔日耶和華神如何用大量的手釋放以色列子民
[00:03:48.040 --> 00:03:52.520]  現今第一世紀的猶太人都有這樣的期盼
[00:03:52.520 --> 00:03:57.080]  就是耶和華神在舊約所預言的尼塞亞
[00:03:57.080 --> 00:04:03.320]  有一個受高的君王將會來臨釋放以色列子民
[00:04:03.320 --> 00:04:08.680]  脫離現今羅馬帝國政權的手
[00:04:08.680 --> 00:04:12.280]  有自己的土地,有自己的國民的身份
[00:04:12.280 --> 00:04:16.040]  所以這個期盼是真實的
[00:04:16.040 --> 00:04:19.720]  第一節的下半節和第二節
[00:04:19.720 --> 00:04:23.240]  在這麼多人去朝聖當中
[00:04:23.240 --> 00:04:27.000]  背後就發生了一件事
[00:04:27.000 --> 00:04:34.280]  就是祭司長和民事想殺耶穌
[00:04:34.280 --> 00:04:36.200]  其實這是很奇怪的
[00:04:36.200 --> 00:04:42.200]  很多人去朝聖,去敬拜上帝,耶和華神
[00:04:42.200 --> 00:04:47.480]  但是居然宗教領袖、教導、以色列子民、律法那些
[00:04:47.480 --> 00:04:50.680]  居然想殺耶穌
[00:04:50.680 --> 00:04:54.680]  為什麼要殺耶穌?
[00:04:54.680 --> 00:04:59.160]  在《約翰福音》第十一章47-53節講得很明白
[00:04:59.160 --> 00:05:03.160]  因為《約翰福音》第十一章就講了拉撒路的復活
[00:05:03.160 --> 00:05:06.840]  這件事震撼了整個耶路撒冷的人
[00:05:06.840 --> 00:05:10.840]  所有的猶太人都知道耶穌行了很大的神蹟
[00:05:10.840 --> 00:05:13.400]  很多人開始歸順耶穌
[00:05:13.400 --> 00:05:16.200]  猶太人就講了一句
[00:05:16.200 --> 00:05:18.520]  如果是這樣的話,人人都信耶穌
[00:05:18.520 --> 00:05:22.360]  羅馬人也會奪我們的地方和我們的百姓
[00:05:22.360 --> 00:05:28.120]  宗教領袖就再沒有一個位置在耶路撒冷立足
[00:05:28.120 --> 00:05:31.640]  所以這件事就不得了
[00:05:31.640 --> 00:05:35.160]  當時的大祭司蓋亞法就說
[00:05:35.160 --> 00:05:38.120]  豈不知道一個人要替百姓死嗎?
[00:05:38.120 --> 00:05:39.880]  免得通國都滅亡
[00:05:39.880 --> 00:05:46.920]  所以他們就開始設計一個計謀去殺害耶穌
[00:05:46.920 --> 00:05:49.240]  但經文就告訴我
[00:05:49.240 --> 00:05:54.600]  第二節,宗教領袖不想在大節期,如月節,生亂
[00:05:54.600 --> 00:05:57.400]  因為耶穌太受歡迎
[00:05:57.400 --> 00:05:58.280]  不想這樣做
[00:05:58.280 --> 00:06:01.800]  所以他們不想在這個日子去抓耶穌,殺耶穌
[00:06:01.800 --> 00:06:04.360]  避開這個大日子
[00:06:04.360 --> 00:06:07.160]  不過在神的計劃當中
[00:06:07.160 --> 00:06:09.880]  這個過節,如月節
